Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,8740,1028929,207677,1847050,987512,564104,1316047,373436,4157898,403865,1056240,263450,5400409,296812,1594510,763621,376
2018,10801,1310201,390933,2006778,1054012,563233,1362407,417356,4175286,423030,1214345,270635,5549719,285188,1731571,798891,457
2019,12595,1361258,397562,2165191,1090257,541035,1451799,440677,4332986,433226,1291765,298321,5782031,319492,1811739,831981,1110
2020,14571,1119491,429626,2246270,1080033,536858,1581669,415491,4606841,437342,1368736,288257,5874501,259106,1523828,799525,1686
2021,16670,1121523,395353,2360447,1302536,518462,1613089,420390,4706870,431806,1459913,317372,6020260,293320,1815758,866931,1391
