,fips,relevant_naics,YEAR,estab,emp,payann
670,24,524128,2017,3,0,0
671,24,525990,2017,7,0,0
673,24,523920,2017,636,9418,2043521
675,24,522292,2017,353,7155,847186
677,24,522220,2017,52,1205,125151
679,24,522120,2017,81,627,40147
681,24,523120,2017,384,3488,609963
683,24,524292,2017,74,1741,130721
685,24,523991,2017,27,1884,254189
687,24,532289,2017,81,1283,50771
689,24,532411,2017,4,0,0
691,24,532412,2017,46,697,51939
693,24,532210,2017,117,388,12544
695,24,532310,2017,24,143,7149
697,24,532283,2017,10,131,6171
699,24,531130,2017,230,599,21374
701,24,533110,2017,32,326,30417
703,24,531120,2017,531,3524,386399
705,24,531190,2017,84,243,10161
707,24,531110,2017,1110,8989,417925
709,24,531312,2017,378,3964,321843
711,24,532420,2017,21,223,16806
713,24,531210,2017,1982,6120,429463
715,24,531320,2017,264,615,34132
717,24,531390,2017,209,927,85937
719,24,532490,2017,143,1833,115210
721,24,532112,2017,9,0,0
723,24,532111,2017,188,1635,51041
725,24,532284,2017,31,43,3446
727,24,531311,2017,974,11075,600709
729,24,532120,2017,84,964,53462
731,24,541611,2017,2483,26109,2343588
733,24,541810,2017,157,1628,128482
735,24,541870,2017,6,7,729
737,24,541199,2017,55,164,8326
739,24,541990,2017,229,1507,145778
741,24,541310,2017,342,2724,235833
743,24,541350,2017,131,535,26151
745,24,541922,2017,52,117,4761
747,24,541513,2017,356,8694,674130
749,24,541512,2017,2850,43867,4500867
751,24,541511,2017,1916,25613,2604381
753,24,541860,2017,49,754,33837
755,24,541340,2017,18,63,3013
757,24,541330,2017,1587,39096,3500043
759,24,541620,2017,191,2931,231150
761,24,541360,2017,3,0,0
762,24,541430,2017,328,1110,55473
764,24,541612,2017,146,3199,170363
767,24,541410,2017,206,895,54781
769,24,541320,2017,87,487,31090
771,24,541613,2017,523,7346,474755
773,24,541910,2017,82,684,40484
775,24,541830,2017,8,53,5256
777,24,541840,2017,10,0,0
779,24,541211,2017,1178,9761,780160
781,24,541110,2017,2847,17298,1531027
783,24,541219,2017,818,4269,221690
785,24,541519,2017,298,5580,565682
787,24,541618,2017,58,155,14613
789,24,541690,2017,468,4137,382532
791,24,541890,2017,117,1320,46397
793,24,541490,2017,17,62,2416
795,24,541850,2017,11,90,4594
797,24,541214,2017,88,2408,141449
799,24,541921,2017,165,802,22689
801,24,541614,2017,126,686,55582
803,24,541820,2017,120,627,59213
805,24,541714,2017,193,4397,480074
807,24,541713,2017,113,2489,344732
809,24,541715,2017,354,14120,1490800
811,24,541720,2017,66,11443,442751
813,24,541370,2017,102,799,57021
815,24,541213,2017,468,2936,58707
817,24,541380,2017,114,1426,99754
819,24,541191,2017,349,2103,123221
821,24,541930,2017,72,1015,59253
823,24,541940,2017,565,7539,297616
825,24,551114,2017,1210,55520,5227485
828,24,551112,2017,83,1825,190210
830,24,561499,2017,62,778,40278
832,24,562998,2017,3,60,2556
834,24,561990,2017,228,3648,170172
836,24,561599,2017,46,408,26649
838,24,561613,2017,8,0,0
840,24,561740,2017,118,869,30619
842,24,561440,2017,51,500,30521
844,24,561920,2017,106,2633,100168
847,24,561492,2017,34,203,13054
849,24,561450,2017,7,0,0
851,24,561410,2017,73,561,23812
853,24,561311,2017,86,1424,39432
855,24,561312,2017,100,494,38839
857,24,561710,2017,203,2061,97067
859,24,561210,2017,349,10939,622542
861,24,562211,2017,9,388,23798
863,24,561611,2017,93,1045,34178
865,24,561720,2017,1429,33946,718503
867,24,561730,2017,2027,17302,666382
869,24,561622,2017,71,292,14640
871,24,562920,2017,14,396,25785
873,24,561110,2017,656,10720,713303
875,24,561439,2017,88,921,39526
877,24,561790,2017,273,1567,70154
879,24,562119,2017,8,185,10085
881,24,561910,2017,13,81,3518
883,24,561431,2017,61,320,8155
885,24,561330,2017,33,1152,74668
887,24,562910,2017,94,1929,103029
889,24,561491,2017,6,85,2086
891,24,561612,2017,230,18115,431720
893,24,561621,2017,168,3224,212186
895,24,562991,2017,54,356,16625
897,24,562111,2017,205,3762,198950
899,24,562212,2017,11,154,6608
901,24,561422,2017,64,3213,199129
904,24,561320,2017,658,39008,1814680
906,24,561520,2017,13,89,1979
908,24,561510,2017,262,962,55386
910,24,611699,2017,105,893,12409
912,24,611513,2017,29,368,19105
914,24,611692,2017,94,481,11322
916,24,611310,2017,44,37483,2373001
918,24,611420,2017,35,175,12142
920,24,611511,2017,10,99,3036
922,24,611710,2017,208,2816,144002
924,24,611110,2017,437,23799,979776
926,24,611691,2017,213,1960,41475
928,24,611610,2017,293,1903,33981
930,24,611512,2017,3,0,0
932,24,611630,2017,19,265,3296
934,24,611519,2017,56,783,34698
936,24,611430,2017,134,1343,73503
938,24,611620,2017,370,2808,54258
940,24,621999,2017,55,2880,110945
942,24,621498,2017,252,5254,300069
944,24,621910,2017,33,1636,53539
946,24,623312,2017,359,7902,204105
948,24,621991,2017,15,1470,72159
950,24,624110,2017,152,2252,79044
952,24,624410,2017,1539,19388,435296
954,24,624210,2017,51,346,10713
956,24,623311,2017,135,12704,395402
958,24,621512,2017,161,3721,129782
960,24,624230,2017,12,0,0
962,24,621410,2017,30,162,16501
964,24,621493,2017,200,3421,161202
