,relevant_naics,estab,emp,payann,fips
60878,61,63,1791,44377,24013
60879,99,10,7,533,24021
60881,11,7,14,626,24035
60882,23,274,1748,96441,24037
60884,11,9,18,622,24037
60885,42,37,322,17803,24037
60886,51,28,264,16588,24037
60887,52,69,456,24680,24037
60888,53,91,263,11944,24037
60889,51,641,16004,1709791,24031
60890,54,351,10341,915482,24037
60891,55,8,90,5192,24037
60892,56,93,2298,144971,24037
60893,61,36,586,22753,24037
60894,62,181,4780,207042,24037
60895,62,472,10569,445725,24013
60896,52,1551,20758,2681648,24031
60897,71,54,916,10676,24013
60898,72,286,6658,103906,24013
60899,53,1474,10590,862181,24031
60900,71,28,303,4454,24037
60901,72,194,3997,66373,24037
60902,81,193,1220,39302,24037
60903,22,3,61,6856,24035
60904,23,219,931,47023,24035
60905,42,75,923,63647,24035
60906,81,472,2995,93513,24013
60907,54,5796,77718,7467427,24031
60908,51,22,129,7027,24035
60909,52,59,276,16173,24035
60910,23,345,3371,196903,24017
60912,11,4,13,398,24017
60913,22,5,569,59678,24017
60914,53,56,150,6393,24035
60915,54,163,716,45174,24035
60918,22,4,181,20068,24043
60919,23,328,2512,129067,24043
60920,23,77,507,22373,24019
60921,11,5,40,2299,24043
60923,11,12,176,8751,24045
60924,22,8,389,35967,24045
60925,23,260,2014,106196,24045
60926,42,117,1619,81381,24045
60927,42,61,662,37553,24017
60928,51,43,414,24789,24017
60929,51,46,916,47104,24045
60930,52,113,709,51904,24017
60931,53,101,428,16946,24017
60932,54,286,1700,114857,24017
60933,52,140,1078,58480,24045
60934,53,125,476,17971,24045
60935,54,209,1212,64156,24045
60936,55,11,345,38818,24017
60937,56,117,1475,52397,24017
60938,55,13,321,36643,24045
60939,56,129,2144,82674,24045
60940,61,34,530,13764,24017
60941,62,326,4902,222386,24017
60942,61,23,452,10187,24045
60943,62,341,8909,447543,24045
60944,55,3,17,1344,24035
60945,56,77,533,20381,24035
60946,61,16,153,6748,24035
60947,62,108,1232,55347,24035
60948,55,538,14430,2034165,24031
60949,56,1828,50924,2201692,24031
60950,71,29,462,7583,24017
60951,72,263,5670,94472,24017
60952,81,289,1978,63118,24017
60953,71,24,394,5303,24045
60954,72,212,4287,64772,24045
60955,81,260,1796,51433,24045
60956,71,27,295,6357,24035
60957,72,97,2274,54172,24035
60958,81,129,618,17874,24035
60959,42,30,380,22630,24019
60960,61,597,11821,584608,24031
60961,51,14,75,1993,24019
60962,52,35,196,11855,24019
60963,53,31,120,3109,24019
60964,54,44,217,14475,24019
60965,62,3796,75421,4175095,24031
60966,42,164,2825,144588,24043
60967,71,415,8655,226732,24031
60968,72,1919,35490,824199,24031
60969,81,2528,26818,1528393,24031
60970,55,3,35,1596,24019
60971,56,27,202,3390,24019
60972,61,3,25,419,24019
60973,62,72,1752,71608,24019
60974,71,14,131,2219,24019
60975,72,61,1259,26688,24019
60976,81,80,309,6864,24019
60978,11,15,73,2823,24015
60979,21,5,114,7387,24015
60980,22,7,104,12654,24015
60981,23,196,1031,54974,24015
60982,51,46,1406,52835,24043
60983,52,189,6129,348893,24043
60984,42,66,1073,45918,24015
60985,53,151,740,31800,24043
60986,54,232,1723,94230,24043
60987,55,19,376,20809,24043
60988,56,181,3700,116768,24043
60989,51,16,123,7646,24015
60990,52,69,379,18403,24015
60991,53,88,213,8954,24015
60992,61,31,427,11125,24043
60993,62,433,9632,460744,24043
60994,54,138,698,30684,24015
60995,55,3,79,5320,24015
60996,56,110,939,37162,24015
60997,71,49,818,12255,24043
60998,72,328,6312,104394,24043
60999,99,62,88,13115,24031
61000,61,25,390,12464,24015
61001,62,205,4342,261023,24015
61002,81,397,2442,66892,24043
61003,71,56,790,23080,24015
61004,72,164,3451,61542,24015
61005,81,213,1230,34376,24015
