,fips,relevant_naics,YEAR,estab,emp,payann
1283,26,624229,2017,88,954,30740
1285,26,624190,2017,716,11047,325085
1287,26,623990,2017,185,2731,76397
1289,26,621420,2017,254,6247,261145
1291,26,622210,2017,4,1037,49630
1293,26,623210,2017,1870,21657,489153
1295,26,623220,2017,140,3711,116064
1297,26,624120,2017,846,20194,437902
1299,26,622310,2017,14,2936,138119
1301,26,624221,2017,77,1457,39873
1303,26,624310,2017,215,7471,145713
1305,26,711410,2017,28,384,19959
1307,26,713990,2017,483,3095,60297
1309,26,713120,2017,76,1071,13717
1311,26,713950,2017,158,2812,37365
1313,26,711120,2017,3,0,0
1315,26,713940,2017,808,16516,239761
1317,26,713910,2017,553,6082,257408
1320,26,711510,2017,248,533,19970
1322,26,713930,2017,157,947,40477
1324,26,712110,2017,85,2557,73816
1326,26,711130,2017,55,407,9671
1328,26,712190,2017,10,0,0
1330,26,713290,2017,8,107,1245
1332,26,711190,2017,3,0,751
1333,26,711219,2017,21,102,1937
1335,26,711310,2017,58,2520,30183
1337,26,711320,2017,97,712,22701
1339,26,713920,2017,7,273,3296
1341,26,711211,2017,21,1007,560120
1343,26,711110,2017,38,522,14761
1345,26,712130,2017,3,13,243
1347,26,721199,2017,10,7,208
1349,26,721191,2017,41,124,3018
1351,26,722514,2017,119,1407,18011
1353,26,721120,2017,3,7252,286844
1355,26,722320,2017,313,4654,85512
1357,26,722410,2017,1329,11245,180751
1359,26,722310,2017,844,16617,365131
1361,26,722511,2017,7160,158972,2727580
1363,26,721110,2017,1269,29613,679846
1365,26,722513,2017,7338,136849,1826673
1367,26,722330,2017,72,258,5244
1369,26,721211,2017,144,264,15183
1371,26,721214,2017,57,508,17152
1373,26,721310,2017,67,429,6700
1375,26,722515,2017,1510,17831,238088
1377,26,811198,2017,183,1394,44637
1379,26,812990,2017,585,1766,42201
1381,26,811412,2017,116,508,19951
1383,26,811121,2017,1184,6696,302695
1385,26,811112,2017,42,173,5614
1387,26,811122,2017,164,808,32334
1389,26,811191,2017,489,2413,53754
1391,26,811113,2017,125,388,13611
1393,26,812111,2017,110,234,4646
1395,26,812112,2017,2207,13328,275388
1397,26,813910,2017,374,2540,164256
1399,26,811192,2017,534,4254,70944
1401,26,812220,2017,108,985,40469
1403,26,813410,2017,838,6491,117824
1405,26,812310,2017,259,1067,16130
1407,26,811310,2017,771,6746,354716
1409,26,811213,2017,52,141,4565
1411,26,811212,2017,109,655,35140
1413,26,811211,2017,49,350,12120
1415,26,812191,2017,82,520,7255
1417,26,812320,2017,450,2992,62613
1419,26,813312,2017,124,1260,53053
1421,26,811430,2017,12,27,679
1423,26,812210,2017,501,4835,135760
1425,26,811111,2017,2596,11474,434211
1427,26,813211,2017,264,1641,112381
1429,26,811411,2017,57,124,2807
1431,26,813311,2017,69,574,20760
1433,26,812332,2017,29,1842,66004
1435,26,813930,2017,648,6989,209915
1437,26,812331,2017,19,395,13746
1439,26,812113,2017,85,377,8292
1441,26,811118,2017,121,594,22488
1443,26,811219,2017,103,1233,75597
1445,26,813219,2017,67,793,43858
1447,26,811490,2017,548,1356,47463
1449,26,812199,2017,543,2764,61245
1451,26,813990,2017,278,932,31311
1453,26,813319,2017,151,829,34014
1455,26,812930,2017,138,3542,61657
1457,26,812910,2017,452,2984,56414
1459,26,812921,2017,3,37,1117
1461,26,813940,2017,26,143,6093
1463,26,813920,2017,145,2039,149003
1465,26,813110,2017,5998,48940,1048526
1467,26,811420,2017,67,337,11391
1469,26,813212,2017,76,1785,94643
