Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
45833,23611,8,1,0,5
45833,23611,6,210,0,5
45833,23811,6,1,0,5
45833,23811,5,210,0,5
45833,23814,3,1,0,5
45833,23822,6,1,0,5
45833,23822,3,210,0,5
45833,23891,5,1,0,5
45833,23891,3,210,0,5
45833,33711,3,1,0,5
45833,44111,3,1,0,5
45833,44111,3,241,0,5
45833,44131,4,1,0,5
45833,44711,4,1,0,5
45833,45439,3,1,0,5
45833,45439,3,210,0,5
45833,48412,5,1,0,5
45833,52211,3,1,0,5
45833,52211,3,220,0,5
45833,52421,10,1,0,5
45833,52421,9,210,0,5
45833,53212,3,1,0,5
45833,54111,4,1,0,5
45833,54111,4,210,0,5
45833,54121,5,1,0,5
45833,54121,3,220,0,5
45833,56173,6,1,0,5
45833,56173,5,210,0,5
45833,56199,3,1,0,5
45833,62121,4,1,0,5
45833,62121,3,220,0,5
45833,62134,3,1,0,5
45833,62161,3,1,0,5
45833,72251,14,1,0,5
45833,72251,3,230,0,5
45833,72251,8,241,0,5
45833,81131,3,1,0,5
45833,81311,10,1,0,5
45833,81311,7,210,0,5
45833,81393,3,1,0,5
