	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	GEO_ID	estab_agg	emp_agg	payann_agg	emp_api	payann_api	estab_api
0	48	999	Statewide	11	Fishing	48	1141	0500000US480050500000US480070500000US480070500000US480390500000US480570500000US480570500000US480610500000US480610500000US480710500000US480710500000US481130500000US481570500000US481670500000US481670500000US482010500000US482010500000US482450500000US482450500000US483210500000US483210500000US483550500000US483550500000US48409	127.83333333333331	79.0	8916.0	72.2	5157.0	68.8
1	48	999	Statewide	11	Forest nurseries and gathering of forest products	48	1132	0500000US481650500000US482450500000US482450500000US483870500000US484670500000US48479	6.0	0.0	0.0	0.0	0.0	1.8
2	48	999	Statewide	11	Hunting and trapping	48	1142	0500000US480130500000US480190500000US480190500000US480290500000US480290500000US480310500000US480310500000US480410500000US480470500000US480510500000US480570500000US480730500000US480810500000US480830500000US480830500000US480890500000US480890500000US480910500000US480910500000US481130500000US481130500000US481330500000US481570500000US481570500000US481630500000US481630500000US481710500000US481710500000US481810500000US481810500000US481930500000US481930500000US482010500000US482010500000US482130500000US482210500000US482210500000US482350500000US482350500000US482370500000US482370500000US482450500000US482490500000US482490500000US482650500000US482650500000US482710500000US482710500000US482730500000US482730500000US482830500000US482830500000US482970500000US483110500000US483230500000US483230500000US483250500000US483250500000US483290500000US483330500000US483330500000US483350500000US483350500000US483390500000US483610500000US484250500000US484330500000US484390500000US484410500000US484410500000US484510500000US484510500000US484530500000US484530500000US484630500000US484630500000US484650500000US484670500000US484670500000US484790500000US484790500000US484810500000US484810500000US48489	106.16666666666669	20.75	1810.25	98.8	5397.4	49.4
3	48	999	Statewide	11	Logging	48	1133	0500000US480050500000US480050500000US480210500000US480370500000US480370500000US480410500000US480410500000US480610500000US480610500000US480630500000US480630500000US480670500000US480670500000US480710500000US480730500000US480730500000US481130500000US481130500000US481210500000US481230500000US481570500000US481710500000US481830500000US481830500000US481990500000US481990500000US482010500000US482030500000US482030500000US482150500000US482250500000US482250500000US482410500000US482410500000US482550500000US482550500000US482570500000US482630500000US482630500000US482870500000US482890500000US482910500000US482910500000US483150500000US483150500000US483390500000US483390500000US483470500000US483470500000US483510500000US483510500000US483610500000US483610500000US483650500000US483730500000US483730500000US483750500000US483750500000US483870500000US483870500000US484010500000US484010500000US484030500000US484030500000US484050500000US484050500000US484070500000US484070500000US484190500000US484190500000US484230500000US484230500000US484390500000US484390500000US484550500000US484550500000US484570500000US484570500000US484590500000US484590500000US484690500000US484690500000US484710500000US484710500000US484790500000US484990500000US48499	400.75	1754.0	84935.5	1181.8	48818.0	192.0
4	48	999	Statewide	11	Support activities for animal production	48	1152	0500000US480130500000US480130500000US480150500000US480150500000US480190500000US480190500000US480210500000US480210500000US480270500000US480290500000US480290500000US480310500000US480310500000US480370500000US480370500000US480390500000US480390500000US480410500000US480410500000US480430500000US480510500000US480510500000US480530500000US480530500000US480550500000US480550500000US480610500000US480630500000US480630500000US480690500000US480690500000US480770500000US480850500000US480850500000US480890500000US480890500000US480970500000US480970500000US481110500000US481110500000US481130500000US481130500000US481170500000US481170500000US481210500000US481210500000US481330500000US481330500000US481350500000US481350500000US481390500000US481390500000US481410500000US481410500000US481430500000US481430500000US481470500000US481470500000US481570500000US481570500000US481630500000US481650500000US481650500000US481670500000US481670500000US481750500000US481770500000US481770500000US481810500000US481810500000US481830500000US481830500000US481850500000US481850500000US481870500000US481870500000US481890500000US481890500000US481930500000US482010500000US482010500000US482030500000US482030500000US482050500000US482090500000US482090500000US482150500000US482150500000US482190500000US482190500000US482210500000US482210500000US482310500000US482310500000US482350500000US482350500000US482510500000US482510500000US482550500000US482570500000US482590500000US482590500000US482650500000US482650500000US482710500000US482710500000US482810500000US482850500000US482850500000US482890500000US482890500000US483030500000US483030500000US483090500000US483090500000US483130500000US483130500000US483170500000US483210500000US483210500000US483290500000US483290500000US483310500000US483310500000US483370500000US483390500000US483390500000US483410500000US483410500000US483450500000US483470500000US483470500000US483490500000US483490500000US483550500000US483550500000US483610500000US483630500000US483630500000US483670500000US483670500000US483690500000US483690500000US483710500000US483710500000US483750500000US483750500000US483770500000US483770500000US483810500000US483810500000US483870500000US483950500000US483950500000US484050500000US484150500000US484190500000US484190500000US484210500000US484230500000US484230500000US484310500000US484350500000US484350500000US484390500000US484390500000US484410500000US484490500000US484490500000US484510500000US484510500000US484530500000US484530500000US484570500000US484570500000US484590500000US484590500000US484670500000US484670500000US484690500000US484690500000US484710500000US484710500000US484730500000US484730500000US484770500000US484770500000US484790500000US484790500000US484810500000US484810500000US484830500000US484830500000US484850500000US484850500000US484910500000US484910500000US484970500000US484990500000US485010500000US48501	573.6666666666666	939.25	34623.75	1295.6	49724.6	282.4
5	48	999	Statewide	11	Support activities for crop production	48	1151	0500000US480010500000US480010500000US480090500000US480090500000US480130500000US480130500000US480170500000US480170500000US480190500000US480190500000US480230500000US480230500000US480250500000US480250500000US480270500000US480270500000US480290500000US480290500000US480310500000US480350500000US480350500000US480390500000US480390500000US480410500000US480410500000US480450500000US480450500000US480470500000US480470500000US480490500000US480490500000US480510500000US480510500000US480530500000US480550500000US480550500000US480610500000US480610500000US480650500000US480650500000US480690500000US480690500000US480710500000US480710500000US480730500000US480730500000US480750500000US480750500000US480770500000US480790500000US480790500000US480830500000US480830500000US480850500000US480850500000US480870500000US480870500000US480890500000US480890500000US480910500000US480930500000US480930500000US480950500000US480970500000US481070500000US481070500000US481110500000US481110500000US481130500000US481130500000US481150500000US481150500000US481170500000US481170500000US481210500000US481210500000US481290500000US481390500000US481390500000US481410500000US481410500000US481430500000US481430500000US481450500000US481450500000US481470500000US481470500000US481490500000US481490500000US481510500000US481510500000US481530500000US481530500000US481570500000US481570500000US481630500000US481630500000US481650500000US481650500000US481670500000US481670500000US481710500000US481730500000US481730500000US481750500000US481750500000US481810500000US481830500000US481830500000US481850500000US481850500000US481870500000US481890500000US481890500000US481910500000US481930500000US481930500000US481950500000US481950500000US481990500000US481990500000US482010500000US482010500000US482050500000US482050500000US482070500000US482070500000US482090500000US482090500000US482110500000US482130500000US482150500000US482150500000US482170500000US482170500000US482190500000US482190500000US482270500000US482270500000US482330500000US482390500000US482390500000US482450500000US482450500000US482510500000US482510500000US482530500000US482530500000US482550500000US482550500000US482630500000US482650500000US482730500000US482730500000US482750500000US482750500000US482770500000US482770500000US482790500000US482790500000US482870500000US482870500000US482890500000US482910500000US482930500000US483030500000US483030500000US483050500000US483050500000US483090500000US483090500000US483130500000US483130500000US483170500000US483170500000US483210500000US483210500000US483250500000US483250500000US483290500000US483290500000US483310500000US483310500000US483350500000US483350500000US483370500000US483370500000US483390500000US483390500000US483410500000US483410500000US483450500000US483450500000US483470500000US483470500000US483490500000US483490500000US483530500000US483530500000US483550500000US483550500000US483570500000US483570500000US483670500000US483690500000US483690500000US483710500000US483710500000US483750500000US483750500000US483810500000US483810500000US483890500000US483890500000US483910500000US483910500000US483950500000US483950500000US483970500000US483970500000US483990500000US483990500000US484010500000US484050500000US484050500000US484090500000US484090500000US484110500000US484110500000US484150500000US484150500000US484190500000US484190500000US484210500000US484210500000US484230500000US484230500000US484270500000US484270500000US484290500000US484290500000US484390500000US484390500000US484410500000US484410500000US484450500000US484450500000US484510500000US484510500000US484530500000US484530500000US484550500000US484550500000US484590500000US484630500000US484630500000US484670500000US484690500000US484690500000US484730500000US484730500000US484770500000US484790500000US484790500000US484810500000US484810500000US484830500000US484850500000US484850500000US484870500000US484870500000US484890500000US484890500000US484910500000US484910500000US484930500000US484930500000US484990500000US484990500000US485010500000US485010500000US485030500000US485030500000US485070500000US48507	830.5833333333334	3713.75	141209.25	4055.6	141531.0	401.2
6	48	999	Statewide	11	Support activities for forestry	48	1153	0500000US480050500000US480050500000US480210500000US480210500000US480530500000US480530500000US480670500000US480670500000US480730500000US480730500000US480970500000US480970500000US481130500000US481330500000US481410500000US481810500000US481850500000US481870500000US481870500000US481990500000US481990500000US482010500000US482010500000US482030500000US482030500000US482150500000US482150500000US482410500000US482410500000US482910500000US483390500000US483390500000US483470500000US483470500000US483490500000US483490500000US483650500000US483730500000US483730500000US483870500000US483870500000US484010500000US484010500000US484030500000US484190500000US484190500000US484230500000US484230500000US484530500000US484550500000US484570500000US484570500000US484590500000US484590500000US484650500000US484710500000US48471	100.25	92.25	5313.0	193.8	7300.4	44.4
7	48	999	Statewide	11	Timber tract operations	48	1131	0500000US480010500000US480010500000US480050500000US480050500000US480670500000US480670500000US481130500000US481130500000US482010500000US482010500000US482410500000US482410500000US482450500000US483390500000US483390500000US483410500000US483410500000US483470500000US483470500000US483510500000US483510500000US483670500000US483730500000US483730500000US484010500000US484190500000US484190500000US484670500000US484710500000US48471	32.75	1.5	23.75	63.6	2779.8	14.4
8	48	999	Statewide	21	Coal mining	48	2121	0500000US480210500000US480210500000US480290500000US480430500000US480430500000US480850500000US480850500000US481610500000US481610500000US482010500000US482010500000US482030500000US482030500000US482150500000US482230500000US482890500000US482890500000US482930500000US482930500000US483230500000US483770500000US483950500000US483950500000US484010500000US484010500000US484390500000US484490500000US484490500000US484910500000US48497	54.25	0.0	0.0	2292.2	190857.8	24.4
9	48	999	Statewide	21	Metal ore mining	48	2122	0500000US480290500000US480290500000US480370500000US480370500000US480450500000US480470500000US480470500000US480730500000US480730500000US480850500000US480850500000US481310500000US481310500000US482470500000US482470500000US482550500000US482550500000US482730500000US482730500000US482930500000US483070500000US484530500000US48453	26.5	0.0	800.75	113.4	5760.0	11.2
