,relevant_naics,estab,emp,payann,fips
87378,11,7,33,1456,05057
87379,22,4,126,12137,05057
87382,23,25,109,4066,05135
87383,42,4,21,424,05135
87384,51,8,41,1203,05135
87385,52,22,174,7423,05135
87386,53,10,25,388,05135
87387,54,12,34,632,05135
87388,55,3,25,811,05135
87389,56,11,36,1335,05135
87390,62,52,789,22163,05135
87391,72,25,264,3980,05135
87392,81,49,235,5132,05135
87393,23,22,162,6911,05057
87394,42,13,148,4189,05057
87395,51,10,38,1760,05057
87396,52,24,122,6457,05057
87397,42,274,3280,187989,05143
87398,53,17,52,1507,05057
87399,54,16,200,8052,05057
87400,56,13,122,2610,05057
87401,61,3,13,208,05057
87402,62,47,1014,25973,05057
87403,71,3,5,181,05057
87404,72,38,570,8018,05057
87405,81,49,238,5466,05057
87407,22,4,21,1452,05137
87408,23,18,46,1224,05137
87409,42,4,54,1404,05137
87410,51,3,32,1170,05137
87411,52,21,118,4471,05137
87412,53,7,11,430,05137
87413,54,10,36,730,05137
87414,62,37,520,17821,05137
87415,71,3,11,145,05137
87416,72,24,406,5606,05137
87417,81,27,93,2259,05137
87419,11,6,57,2220,05055
87420,22,3,15,1087,05055
87421,23,66,396,17135,05055
87423,11,7,24,604,05073
87424,21,7,20,443,05073
87425,23,7,77,3791,05073
87426,52,11,53,1860,05073
87427,53,3,6,209,05073
87428,54,7,24,477,05073
87429,61,4,25,370,05073
87430,62,7,57,3130,05073
87431,72,5,54,806,05073
87432,81,8,48,995,05073
87434,11,11,43,3058,05111
87435,22,4,38,2264,05111
87436,23,18,80,3121,05111
87437,42,21,383,17487,05111
87438,51,5,33,3465,05111
87439,52,21,108,3907,05111
87440,53,8,41,823,05111
87441,54,16,51,1378,05111
87442,51,95,1456,75802,05143
87443,55,3,30,2078,05111
87444,56,6,9,131,05111
87445,62,45,792,23667,05111
87446,71,3,9,94,05111
87447,72,42,446,5815,05111
87448,81,43,162,3371,05111
87449,52,320,2454,147857,05143
87451,11,3,16,2263,05005
87452,23,92,556,19762,05005
87453,53,326,1426,52135,05143
87454,54,664,4101,226653,05143
87455,42,26,286,12131,05005
