Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,4488,2465,5778,42132,36427,13611,31889,9718,29607,7163,42352,13693,164574,8142,130005,38349,59
2018,4431,2922,9355,42977,36351,13408,32166,9664,29740,7952,43526,14793,168360,8185,131308,38388,103
2019,4405,3117,9236,45098,36854,13365,31506,9931,30089,7409,46587,15551,172848,8375,129740,38083,60
2020,4277,2439,9315,44222,37072,12666,31610,9915,28399,7010,44972,14586,172720,8100,132806,36882,82
2021,4341,1780,9394,42943,37747,10631,31793,9982,29664,7196,43564,13027,166711,7309,123683,36057,98
