Naics,Establishments,Employees,Payroll
424610,14,110,5651
424690,89,1102,116817
424720,24,126,10820
424920,10,37,982
424930,16,137,4875
424940,15,589,28970
424950,20,133,9407
424990,51,449,19859
425120,272,4624,165441
441110,253,9819,705428
441210,43,627,44667
443141,59,456,22213
443142,148,1212,41468
444110,67,6378,166751
444190,301,2892,129462
445210,35,237,4246
445291,16,135,3105
445292,15,73,1410
445299,28,262,5307
446110,482,6248,249274
447190,119,2254,60123
448110,39,290,8706
448120,314,1625,27505
448130,39,259,3790
424710,60,784,44935
441120,346,2353,105196
424810,27,881,49638
424820,11,485,38545
424910,147,1602,92518
441222,34,374,22075
441228,90,819,45490
441310,503,3663,110081
441320,252,1834,75634
442110,238,1682,80288
442210,105,670,36173
442291,9,42,1363
442299,99,893,16221
446191,72,252,5287
446199,109,498,24485
447110,1348,10249,215931
444120,76,287,12003
445310,351,1914,48449
444130,175,1306,47933
444210,59,385,17140
446120,155,1160,24118
444220,218,2074,69764
446130,35,177,6392
445110,471,18463,444755
445120,143,489,9775
445220,8,42,1098
445230,16,67,756
448190,88,672,14102
448210,161,1492,25915
448310,111,582,28690
451110,194,2200,59716
451120,50,913,22720
451130,29,199,3301
451140,24,111,3804
451211,75,510,15890
451212,4,16,262
452210,33,2531,48280
452319,760,7052,129178
453310,212,1791,31872
454210,37,303,12800
454310,89,601,24235
454390,197,949,37946
481111,12,423,19687
481211,13,21,1240
481219,9,43,2760
484110,237,1695,77244
484122,122,3084,216583
484210,67,622,20479
484220,465,3094,145793
484230,121,4008,243630
485113,3,106,3298
485410,11,461,8283
485510,5,80,2919
485991,24,318,6399
485999,11,147,4524
486210,39,268,30771
486910,12,66,6886
486990,3,3,373
487110,3,1,159
488119,14,343,10954
488210,21,579,34222
488310,5,95,6330
488320,3,95,6310
488330,3,34,2240
488410,103,667,28675
488490,32,480,25074
488991,11,118,6398
492110,116,6477,256518
492210,31,705,19089
493110,102,6689,307111
493120,21,1101,52871
493130,39,315,15236
493190,16,507,18037
511120,37,189,7047
511130,17,218,15724
511140,4,31,2261
511199,6,53,2139
511210,56,3106,229115
512191,3,10,349
512240,9,16,912
512250,5,8,431
515120,18,757,44606
517311,347,3947,321171
517312,218,2603,140037
517911,36,262,8973
519120,9,53,1600
522110,1497,17680,1187896
522220,42,300,30878
522298,160,707,37647
522310,27,60,5081
522320,27,1363,119870
523140,7,20,3487
523930,144,301,33557
448140,198,3592,57070
448150,49,200,4209
452311,148,26523,920087
454110,279,2114,86381
453110,137,573,12048
453210,37,290,7603
453220,145,695,13717
453910,55,588,16416
453920,25,74,1914
453930,34,145,17264
453991,217,1086,24135
453998,209,1055,36290
484121,647,21159,1273431
485310,9,50,2242
485320,9,42,1260
488190,70,797,34374
