	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
28	41	999	Statewide	31	Apparel knitting mills	41	3151	2.0	1.4
46	41	999	Statewide	31	Tobacco manufacturing	41	3122	4.0	2.0
70	41	999	Statewide	33	Alumina and aluminum production and processing	41	3313	7.0	5.6
88	41	999	Statewide	33	Iron and steel mills and ferroalloy manufacturing	41	3311	4.8	3.4
94	41	999	Statewide	33	Motor vehicle manufacturing	41	3361	9.8	7.2
97	41	999	Statewide	33	Nonferrous metal (except aluminum) production and processing	41	3314	6.0	5.4
105	41	999	Statewide	33	Railroad rolling stock manufacturing	41	3365	2.0	1.8
164	41	999	Statewide	48	Other pipeline transportation	41	4869	2.0	1.4
167	41	999	Statewide	48	Pipeline transportation of crude oil	41	4861	1.0	1.0
200	41	999	Statewide	52	Monetary authorities - central bank	41	5211	1.0	1.0
