,fips,relevant_naics,YEAR,estab,emp,payann
1,2,114111,2018,265,188,16447
3,2,113310,2018,18,155,13819
5,2,114119,2018,6,4,139
7,2,114112,2018,135,52,4792
9,2,115210,2018,3,27,241
11,2,115310,2018,3,4,175
13,2,212321,2018,8,46,4174
15,2,211120,2018,16,1367,295261
17,2,213111,2018,12,785,78396
19,2,212221,2018,30,1053,131776
21,2,213114,2018,10,49,8704
23,2,213112,2018,35,2898,298046
25,2,221122,2018,31,498,49762
27,2,221112,2018,16,585,63198
29,2,221111,2018,9,49,5263
31,2,221210,2018,3,184,22405
33,2,221310,2018,9,87,7465
35,2,238990,2018,66,388,33752
37,2,236220,2018,225,2751,264659
39,2,238310,2018,87,265,15249
41,2,238210,2018,207,1523,130236
43,2,238350,2018,79,260,15560
45,2,238330,2018,52,217,9886
47,2,238130,2018,61,152,7487
49,2,238150,2018,11,52,3691
51,2,237310,2018,90,1207,191052
53,2,236210,2018,12,227,26239
54,2,237210,2018,3,3,349
56,2,238140,2018,19,29,2272
58,2,236117,2018,58,254,14768
59,2,236116,2018,3,1,100
61,2,236115,2018,149,399,22849
63,2,237120,2018,13,2052,241380
65,2,238290,2018,15,131,13204
67,2,238390,2018,8,14,647
69,2,238190,2018,11,31,2117
71,2,237990,2018,22,162,19941
73,2,238320,2018,111,282,17541
75,2,238220,2018,251,1840,139156
77,2,238110,2018,52,146,12722
79,2,237130,2018,20,241,29785
81,2,236118,2018,268,723,39877
83,2,238160,2018,53,281,31403
85,2,238170,2018,18,72,4923
87,2,238910,2018,211,1019,87395
89,2,238120,2018,9,75,7703
91,2,238340,2018,24,66,2603
93,2,237110,2018,39,151,16110
95,2,312120,2018,19,254,12575
97,2,311812,2018,4,20,448
98,2,311352,2018,3,36,1001
99,2,312140,2018,3,10,108
101,2,311811,2018,6,100,2423
103,2,311710,2018,95,7732,348031
106,2,321999,2018,3,8,337
108,2,324121,2018,18,55,3113
110,2,323111,2018,32,274,13196
112,2,323113,2018,4,13,971
115,2,327390,2018,3,13,1178
117,2,327320,2018,7,51,4264
119,2,321113,2018,5,69,2039
