Zip Code,naics,Establishments,Employees,Payroll,IND Level
66049,55,4,001,0,2
66049,56,39,001,0,2
66049,56,25,210,0,2
66049,56,9,220,0,2
66049,56,3,230,0,2
66049,61,9,001,0,2
66049,61,6,210,0,2
66049,62,109,001,0,2
66049,62,46,210,0,2
66049,62,18,220,0,2
66049,62,26,230,0,2
66049,62,16,241,0,2
66049,71,16,001,0,2
66049,71,7,210,0,2
66049,71,3,220,0,2
66049,71,3,230,0,2
66049,72,50,001,0,2
66049,72,10,210,0,2
66049,72,6,220,0,2
66049,72,16,230,0,2
66049,72,16,241,0,2
66049,81,65,001,0,2
66049,81,31,210,0,2
66049,81,20,220,0,2
66049,81,7,230,0,2
66049,81,4,241,0,2
66049,81,3,242,0,2
66049,00,664,001,271839,2
66049,00,388,210,0,2
66049,00,109,220,0,2
66049,00,95,230,0,2
66049,00,48,241,0,2
66049,00,13,242,0,2
66049,00,10,251,0,2
66049,23,61,001,0,2
66049,23,46,210,0,2
66049,23,9,220,0,2
66049,23,6,230,0,2
66049,31-33,5,001,0,2
66049,42,14,001,0,2
66049,42,12,210,0,2
66049,44-45,51,001,0,2
66049,44-45,24,210,0,2
66049,44-45,7,220,0,2
66049,44-45,9,230,0,2
66049,44-45,4,241,0,2
66049,44-45,5,251,0,2
66049,48-49,5,001,0,2
66049,48-49,3,210,0,2
66049,51,5,001,0,2
66049,52,74,001,0,2
66049,52,49,210,0,2
66049,52,18,220,0,2
66049,52,6,230,0,2
66049,53,49,001,0,2
66049,53,41,210,0,2
66049,53,4,220,0,2
66049,53,3,230,0,2
66049,54,103,001,0,2
66049,54,81,210,0,2
66049,54,12,220,0,2
66049,54,9,230,0,2
