Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,755,13675,2716,23082,17299,9736,16212,5730,22303,4975,29793,4485,132384,7029,68046,23549,22
2018,678,17902,4857,24516,17377,8994,16022,5926,22996,5454,30517,6857,135185,6713,68832,23287,56
2019,700,18602,5601,25690,17744,8048,15469,5734,23615,5437,31197,7004,132287,6832,69024,23068,27
2020,589,16467,5112,24024,17200,7493,15206,5548,22914,4991,29178,7043,134205,6135,67670,22501,39
2021,586,14500,5078,23375,15956,6784,15015,5223,20920,3952,28619,6841,134440,5588,57583,21048,12
