Naics,Establishments,Employees,Payroll,fips
212312,4,28,1368,17067
221122,3,23,2062,17067
236118,4,8,291,17067
236220,5,39,1261,17067
238220,5,33,2290,17067
238910,5,5,141,17067
311119,3,31,1224,17067
332710,4,19,462,17067
423820,4,52,2700,17067
424510,12,87,4123,17067
424910,10,128,5826,17067
441120,3,9,113,17067
441320,4,23,696,17067
445110,4,70,961,17067
447110,15,150,1958,17067
452319,6,23,515,17067
453220,3,12,119,17067
453310,4,4,34,17067
454390,3,7,375,17067
484121,5,14,189,17067
484110,5,16,929,17067
484220,8,33,1149,17067
517311,3,10,1062,17067
522110,12,121,5033,17067
524210,14,39,1395,17067
541110,4,17,577,17067
541211,3,6,120,17067
561730,5,15,268,17067
621111,4,33,1689,17067
621210,3,11,772,17067
623312,5,60,1463,17067
624410,6,18,271,17067
713910,3,11,181,17067
722410,9,30,266,17067
722511,11,41,636,17067
722513,8,77,1050,17067
722515,3,29,360,17067
811111,5,7,164,17067
811121,5,8,271,17067
811310,5,19,588,17067
812210,3,6,341,17067
813110,28,124,1403,17067
813410,3,4,90,17067
211120,4,7,572,17119
221310,9,457,23939,17119
221122,11,577,85610,17119
236115,39,119,5734,17119
236116,4,7,566,17119
236117,14,76,3385,17119
236118,73,205,7505,17119
236220,21,365,28896,17119
237110,5,84,7977,17119
237120,4,272,23826,17119
237130,6,860,94906,17119
237210,3,3,342,17119
237310,17,203,18018,17119
238110,26,342,28406,17119
238130,10,29,1018,17119
238140,12,31,1209,17119
238150,3,32,2120,17119
238160,16,97,5836,17119
238170,3,11,362,17119
238210,41,710,47262,17119
238220,89,1537,104528,17119
238290,4,72,4183,17119
238310,9,28,568,17119
238320,31,157,8350,17119
238330,11,39,1455,17119
238350,16,52,1235,17119
238390,5,224,9468,17119
238990,27,91,4056,17119
238910,29,218,13743,17119
311811,5,70,1155,17119
312140,3,8,72,17119
323111,13,190,8314,17119
325120,3,135,12394,17119
327320,10,189,8300,17119
327390,6,115,6341,17119
331110,3,1554,123997,17119
332312,3,684,45599,17119
332710,17,191,13044,17119
332812,3,202,15327,17119
332721,3,14,558,17119
332999,4,36,1685,17119
333111,3,14,929,17119
339116,7,18,426,17119
423110,8,345,23388,17119
423220,4,28,3609,17119
423120,7,78,3762,17119
423310,4,71,3810,17119
423420,6,32,1689,17119
423430,4,666,37420,17119
423450,4,66,6508,17119
423510,16,265,14966,17119
423610,7,51,2543,17119
423690,4,12,583,17119
423710,4,24,2296,17119
423720,6,57,3655,17119
423730,9,51,3194,17119
423810,3,36,2360,17119
423820,4,104,10371,17119
423830,12,81,5474,17119
423840,15,119,7104,17119
423850,3,15,785,17119
423860,3,79,7227,17119
423930,14,331,18833,17119
423990,4,38,2081,17119
424120,3,25,873,17119
424130,3,46,2507,17119
424490,9,214,12854,17119
424510,5,25,1296,17119
424690,9,143,5162,17119
424710,3,56,5428,17119
424910,5,54,2831,17119
425120,17,67,3109,17119
441110,19,892,54451,17119
441120,20,112,5023,17119
441228,7,79,2849,17119
441310,35,326,7895,17119
441320,16,126,4884,17119
442110,14,102,4485,17119
442210,12,48,2036,17119
442299,6,27,421,17119
443141,9,60,2237,17119
443142,12,148,3561,17119
444110,6,855,19790,17119
444120,4,26,1136,17119
444130,15,129,3317,17119
444210,4,19,679,17119
444190,32,343,15807,17119
444220,10,94,2292,17119
445120,22,107,2094,17119
445210,6,37,1109,17119
445230,4,13,181,17119
445292,3,15,100,17119
445310,12,53,854,17119
445110,48,1751,43134,17119
446110,31,607,23294,17119
446120,11,78,1243,17119
446130,11,64,2291,17119
446191,11,43,730,17119
446199,11,33,870,17119
447110,90,1002,17885,17119
447190,7,246,4957,17119
