	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
8	26	999	Statewide	21	Coal mining	26	2121	2.0	1.0
36	26	999	Statewide	31	Footwear manufacturing	26	3162	6.0	2.3333333333333335
204	26	999	Statewide	52	Monetary authorities - central bank	26	5211	2.0	1.0
