Naics,Establishments,Employees,Payroll,fips
7224,16,171,2187,31019
7225,99,2010,31021,31019
8111,45,245,8580,31019
2123,4,167,6765,31141
2361,25,82,3375,31141
2362,11,379,25691,31141
2381,11,69,3442,31141
8113,5,48,2471,31019
8114,3,10,457,31019
8121,24,81,1439,31019
8122,5,12,507,31019
8129,8,33,621,31019
8131,47,420,9125,31019
8132,8,101,2183,31019
8133,3,27,454,31019
8134,10,47,649,31019
8139,10,22,871,31019
2382,35,200,9557,31141
2383,17,88,3175,31141
2389,7,47,4289,31141
3111,4,84,4203,31141
3116,3,358,19620,31141
3231,6,19,916,31141
3273,5,87,6877,31141
3323,6,732,32977,31141
3327,8,84,3830,31141
3331,4,374,23294,31141
3339,4,224,9421,31141
3353,3,7,115,31141
3399,5,41,1356,31141
4231,3,44,2356,31141
4236,3,62,3798,31141
4238,19,207,14182,31141
4239,3,51,1932,31141
4249,11,83,4495,31141
4245,10,114,5699,31141
4251,4,41,1242,31141
4411,10,192,8000,31141
4412,3,14,600,31141
4413,9,75,2603,31141
2382,7,25,1305,31143
2383,3,11,192,31143
2389,3,7,221,31143
4238,4,57,2834,31143
4245,4,38,1869,31143
4442,3,10,492,31143
4471,3,52,925,31143
4842,8,9,302,31143
5221,6,33,1720,31143
5242,6,12,653,31143
5411,5,8,96,31143
5416,4,3,225,31143
5617,5,3,122,31143
7225,5,44,452,31143
8111,6,18,584,31143
8131,11,35,484,31143
4422,4,28,914,31141
4431,4,17,347,31141
4441,15,269,7606,31141
4442,5,29,570,31141
4451,5,540,9289,31141
4461,13,186,5527,31141
4471,23,308,5672,31141
4481,14,115,1805,31141
4482,4,25,328,31141
4483,4,12,297,31141
4511,6,35,774,31141
4523,7,361,9569,31141
4531,3,11,109,31141
4532,5,34,1474,31141
4533,4,34,629,31141
4539,5,16,320,31141
4543,9,27,961,31141
4841,20,91,3001,31141
2361,3,4,135,31169
2371,4,13,491,31169
2382,9,28,873,31169
2389,6,18,676,31169
3331,3,478,20401,31169
4238,5,54,3402,31169
4245,7,64,4034,31169
4249,12,126,7572,31169
4842,27,179,9277,31141
4885,5,32,1391,31141
5111,3,24,1063,31141
5173,10,51,2427,31141
5221,28,337,18174,31141
5222,5,28,2613,31141
5223,3,3,136,31141
5231,9,37,2481,31141
5239,12,20,1696,31141
5242,29,88,4220,31141
5311,14,73,1671,31141
5312,13,34,2723,31141
5313,5,11,365,31141
5411,16,34,2956,31141
5412,13,105,3249,31141
4413,4,11,288,31169
4441,3,14,318,31169
4451,4,42,657,31169
4471,7,79,1150,31169
4842,8,9,320,31169
5221,5,72,4230,31169
5242,9,17,749,31169
5411,4,11,405,31169
5412,4,9,61,31169
6231,3,177,3927,31169
7225,11,102,522,31169
8111,7,15,390,31169
8113,5,20,890,31169
8122,4,8,134,31169
8131,15,59,652,31169
5413,8,104,6751,31141
5416,5,36,2607,31141
5419,12,105,3071,31141
5511,5,30,3740,31141
5611,3,24,1321,31141
5613,8,176,6378,31141
5614,3,515,6729,31141
5617,19,117,4225,31141
5619,4,33,818,31141
5621,3,26,681,31141
5629,3,13,401,31141
6111,9,320,7552,31141
6116,5,18,478,31141
6211,20,264,21065,31141
6212,9,73,4423,31141
6213,26,218,10143,31141
6214,13,61,4589,31141
2361,3,9,188,31017
2371,3,11,404,31017
2381,5,2,146,31017
2382,7,15,809,31017
4413,4,28,866,31017
4441,4,15,337,31017
4442,3,71,2879,31017
4471,7,52,1146,31017
4523,3,43,627,31017
4842,8,23,787,31017
5221,5,31,1632,31017
5242,5,18,439,31017
5419,3,10,466,31017
6213,6,37,1280,31017
7224,3,6,75,31017
7225,4,32,309,31017
8111,5,13,394,31017
8131,6,14,194,31017
6219,3,63,2856,31141
6231,5,308,9470,31141
6241,10,163,3523,31141
6244,9,60,1188,31141
7139,10,163,1721,31141
7211,9,120,2326,31141
7223,5,20,463,31141
7224,12,64,854,31141
7225,48,798,11141,31141
8111,29,113,3659,31141
8113,8,25,1035,31141
8121,12,46,932,31141
8122,3,15,722,31141
8123,4,88,3239,31141
8131,24,254,4889,31141
8132,4,9,270,31141
8133,4,15,293,31141
8134,6,58,1151,31141
8139,3,10,468,31141
2361,5,14,347,31013
2371,3,9,496,31013
2381,7,19,1780,31013
2382,8,32,1340,31013
2389,4,12,541,31013
4238,6,63,2949,31013
4244,3,59,1881,31013
4245,5,105,5164,31013
4249,3,29,2137,31013
4413,3,13,441,31013
4441,3,17,563,31013
4451,4,139,3037,31013
4471,6,83,3152,31013
4523,5,92,1518,31013
4842,9,9,463,31013
4882,3,44,3244,31013
5111,3,8,280,31013
5173,6,51,1613,31013
5221,11,75,3225,31013
5239,3,19,1153,31013
5242,7,23,1312,31013
5311,6,20,238,31013
5411,4,7,232,31013
5412,8,30,899,31013
1151,4,48,2824,31001
2361,27,67,2103,31001
2362,5,45,2035,31001
2373,4,194,18607,31001
2381,13,91,3981,31001
2382,31,228,10350,31001
2383,7,20,657,31001
2389,7,10,587,31001
3116,3,458,19968,31001
3219,3,53,1797,31001
3261,8,369,14289,31001
5419,3,43,1284,31013
5617,7,9,253,31013
6211,3,20,946,31013
6212,5,31,1276,31013
6213,7,27,853,31013
6241,6,14,333,31013
6244,3,23,474,31013
7139,3,41,271,31013
7211,7,69,1112,31013
7224,4,15,225,31013
7225,15,187,3503,31013
8111,10,33,1358,31013
8113,3,5,238,31013
8121,3,4,92,31013
8134,3,4,89,31013
8131,12,106,1639,31013
8139,7,44,481,31013
3315,3,113,4113,31001
3327,3,12,594,31001
3331,4,203,9858,31001
3362,3,251,10676,31001
4231,4,23,1028,31001
4236,3,16,782,31001
4237,3,108,6398,31001
4238,11,126,6959,31001
4239,4,19,624,31001
4245,12,248,10874,31001
4246,3,36,1947,31001
4249,11,103,6157,31001
4251,3,7,159,31001
4411,15,169,7193,31001
4412,3,16,639,31001
4413,11,76,2089,31001
4421,3,23,564,31001
4431,6,33,1042,31001
4441,15,255,7589,31001
4442,4,37,1100,31001
4451,5,245,5241,31001
4452,4,22,549,31001
4453,3,22,336,31001
4461,14,131,5129,31001
4471,20,192,3544,31001
3116,3,6,150,31161
4245,4,72,1816,31161
4249,3,13,696,31161
4413,3,4,97,31161
4441,3,9,261,31161
4451,5,74,1240,31161
4471,5,30,681,31161
4523,5,42,666,31161
5221,4,60,3260,31161
5242,9,34,1523,31161
4481,3,21,338,31001
4482,3,18,226,31001
4511,3,21,325,31001
4512,4,6,128,31001
4523,5,313,9337,31001
4533,4,31,537,31001
4539,5,14,195,31001
4543,5,12,412,31001
4841,12,52,2168,31001
4842,23,37,1598,31001
4885,3,20,978,31001
4931,4,12,1001,31001
5173,6,64,2417,31001
5221,17,189,9170,31001
5231,3,6,871,31001
5239,11,39,4474,31001
5241,7,14,436,31001
5242,29,139,7678,31001
5311,19,47,1134,31001
5411,3,10,160,31161
5419,3,11,384,31161
6213,3,8,254,31161
7139,3,5,64,31161
7211,3,3,45,31161
7224,5,11,80,31161
7225,12,94,1275,31161
8111,3,9,266,31161
8131,13,24,280,31161
5313,7,16,470,31001
5312,15,23,822,31001
5411,16,56,2910,31001
5412,13,60,1910,31001
5415,3,11,384,31001
5413,3,5,370,31001
5416,12,21,1120,31001
5418,4,19,1230,31001
5419,8,71,2754,31001
5614,6,17,417,31001
5613,4,138,4040,31001
5616,4,35,854,31001
5617,28,164,3371,31001
5619,3,12,496,31001
5621,3,38,2294,31001
5629,3,7,181,31001
6111,3,98,2586,31001
6116,4,18,123,31001
6211,26,334,27434,31001
6212,10,131,7041,31001
6213,17,97,3587,31001
1151,3,9,458,31109
1152,7,102,272,31109
2211,3,7,1161,31109
6214,11,86,3221,31001
6215,3,31,6344,31001
6219,3,23,651,31001
6233,6,359,8713,31001
6241,12,156,3420,31001
6243,3,135,2784,31001
6244,10,205,4380,31001
7139,10,168,1786,31001
7211,9,82,1488,31001
7223,8,126,1641,31001
7224,8,48,353,31001
7225,62,1105,15183,31001
8111,26,78,2866,31001
8113,4,19,734,31001
8121,4,32,608,31001
8122,3,21,470,31001
8129,5,20,204,31001
8131,30,220,4038,31001
2361,239,769,41459,31109
