	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
1	28	999	Statewide	11	Forest nurseries and gathering of forest products	28	1132	2.0	1.0
8	28	999	Statewide	21	Coal mining	28	2121	7.0	3.888888888888889
28	28	999	Statewide	31	Apparel knitting mills	28	3151	3.0	1.3333333333333333
38	28	999	Statewide	31	Other leather and allied product manufacturing	28	3169	5.0	1.8
67	28	999	Statewide	33	Alumina and aluminum production and processing	28	3313	7.0	3.0
69	28	999	Statewide	33	Audio and video equipment manufacturing	28	3343	1.0	1.0
87	28	999	Statewide	33	Manufacturing and reproducing magnetic and optical media	28	3346	3.0	1.0
91	28	999	Statewide	33	Motor vehicle manufacturing	28	3361	7.0	4.0
101	28	999	Statewide	33	Other transportation equipment manufacturing	28	3369	4.0	2.0
167	28	999	Statewide	48	Scenic and sightseeing transportation, land	28	4871	2.0	2.3333333333333335
181	28	999	Statewide	51	Cable and other subscription programming	28	5152	2.0	1.0
188	28	999	Statewide	51	Satellite telecommunications	28	5174	2.0	1.8888888888888888
198	28	999	Statewide	52	Monetary authorities - central bank	28	5211	1.0	1.0
257	28	999	Statewide	71	Agents and managers for artists, athletes, entertainers, and other public figures	28	7114	7.0	2.8
