,fips,relevant_naics,estab,emp,payann
41894,06,453110,1095,4573,102377
41895,06,453991,1268,2964,62990
41896,06,453998,1839,10486,362880
41897,06,453210,662,7477,189520
41898,06,484121,3578,30834,1611594
41899,06,484122,595,22706,1316001
41900,06,453220,2204,16444,377790
41901,06,453310,1844,20920,489744
41902,06,454310,302,2615,128529
41903,06,453920,669,2334,125704
41904,06,453930,118,540,32576
41905,06,454390,2375,15422,667225
41906,06,454110,7658,90843,6226577
41907,06,454210,263,2818,125096
41908,06,483112,7,2997,181389
41909,06,483113,27,689,70802
41910,06,481111,229,52427,4727962
41911,06,481112,53,786,59865
41912,06,481211,138,3632,416086
41913,06,481212,25,728,80085
41914,06,481219,51,608,50935
41915,06,483114,10,313,14627
41916,06,483211,11,60,2280
41917,06,483212,23,448,21809
41918,06,484110,4679,24389,1143133
41919,06,484210,1102,9290,359301
41920,06,484220,2176,20293,1204201
41921,06,485111,7,18,574
41922,06,485112,3,611,54050
41923,06,485113,129,10146,420480
41924,06,485119,5,22,696
41925,06,486110,31,516,57729
41926,06,485210,84,2757,92305
41927,06,485310,165,3893,538581
41928,06,485320,657,5051,179399
41929,06,485410,156,11464,377692
41930,06,487990,25,199,6640
41931,06,485510,204,3520,145416
41932,06,485991,388,6091,189863
41933,06,485999,286,3568,142168
41934,06,486210,13,160,19763
41935,06,486910,33,643,75478
41936,06,487110,121,1582,55594
41937,06,488330,43,679,78051
41938,06,487210,192,2500,104169
41939,06,488390,56,702,40457
41940,06,488111,4,12,1326
41941,06,488119,179,17486,596164
41942,06,488190,443,7771,470279
41943,06,488210,87,3615,194111
41944,06,488991,189,1933,82067
41945,06,488999,70,135,5099
41946,06,488310,23,682,46548
41947,06,488320,59,20763,2156287
41948,06,488410,1158,10579,434825
41949,06,488490,462,5604,195609
41950,06,488510,3241,38179,2339983
41951,06,492110,1092,74458,3534922
41952,06,492210,666,11575,512666
41953,06,512290,106,580,25713
41954,06,493110,1631,112535,5603953
41955,06,515120,284,17944,1944190
41956,06,493120,212,7840,373257
41957,06,493130,49,1067,50408
41958,06,493190,290,6247,343399
41959,06,511110,554,10210,550097
41960,06,512110,6208,77342,8657493
41961,06,511120,527,7339,630607
41962,06,512120,142,1328,146258
41963,06,511130,290,4428,324792
41964,06,511140,79,864,70216
41965,06,511191,12,33,1173
41966,06,511199,86,647,52152
41967,06,512191,1279,15140,1632738
41968,06,511210,3205,180216,36708283
41969,06,512131,495,19660,354708
41970,06,512132,16,470,11941
41971,06,512199,79,350,44897
41972,06,515210,130,8260,1060556
41973,06,512230,277,1400,148881
41974,06,512240,538,1881,146925
41975,06,512250,205,4799,651320
41976,06,519190,62,897,85218
41977,06,515111,100,1430,103969
41978,06,515112,331,7349,539808
41979,06,517311,2765,69613,5996907
41980,06,517312,3166,32816,1975978
41981,06,519110,57,1436,113688
41982,06,517410,86,1737,174187
41983,06,519130,2033,121380,42400410
41984,06,517911,289,1796,115575
41985,06,517919,255,4290,550340
41986,06,521110,3,1584,223046
41987,06,518210,2619,92485,13833014
41988,06,522120,156,2290,269093
41989,06,522210,46,1294,151346
41990,06,519120,64,669,37515
41991,06,522110,7939,138220,13850847
41992,06,522130,1483,28493,1916172
41993,06,522220,461,9468,909211
41994,06,522291,721,10796,1212477
41995,06,522292,2215,48042,4613314
