Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
79382,00,166,1,55140,2
79382,00,104,210,0,2
79382,00,32,220,0,2
79382,00,11,230,0,2
79382,00,12,241,0,2
79382,00,4,242,0,2
79382,00,3,251,0,2
79382,21,3,1,0,2
79382,21,3,210,0,2
79382,23,35,1,0,2
79382,23,27,210,0,2
79382,23,5,220,0,2
79382,31-33,9,1,0,2
79382,31-33,5,210,0,2
79382,42,13,1,0,2
79382,42,7,210,0,2
79382,42,5,220,0,2
79382,44-45,14,1,0,2
79382,44-45,7,210,0,2
79382,44-45,5,220,0,2
79382,48-49,10,1,0,2
79382,48-49,5,210,0,2
79382,48-49,3,220,0,2
79382,52,6,1,0,2
79382,52,4,210,0,2
79382,53,4,1,0,2
79382,53,4,210,0,2
79382,54,16,1,0,2
79382,54,11,210,0,2
79382,54,3,220,0,2
79382,56,11,1,0,2
79382,56,8,210,0,2
79382,62,12,1,0,2
79382,62,5,210,0,2
79382,71,3,1,0,2
79382,72,9,1,0,2
79382,72,3,210,0,2
79382,72,3,241,0,2
79382,81,15,1,0,2
79382,81,10,210,0,2
79382,81,4,220,0,2
