Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
67439,238,4,001,0,3
67439,423,3,001,0,3
67439,441,3,001,0,3
67439,441,3,210,0,3
67439,444,4,001,0,3
67439,444,3,220,0,3
67439,446,3,001,0,3
67439,447,4,001,0,3
67439,453,3,001,0,3
67439,522,6,001,0,3
67439,522,3,210,0,3
67439,524,4,001,0,3
67439,524,3,210,0,3
67439,541,8,001,0,3
67439,541,4,210,0,3
67439,621,6,001,0,3
67439,621,3,220,0,3
67439,624,8,001,0,3
67439,624,7,210,0,3
67439,722,7,001,0,3
67439,722,4,230,0,3
67439,811,5,001,0,3
67439,811,4,210,0,3
67439,813,9,001,0,3
67439,813,8,210,0,3
