State,StateName,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AL,Alabama,1830000.0,1907000.0,1935000.0,1957000.0,1978000.0,2012000.0,2045000.0,2058000.0,2070000.0,2108000.0,2150000.0,2185000.0,2217000.0,2279000.0,2336000.0,2345000.0,2359000.0,2361000.0,2343000.0,2337000.0,2359000.0,2402000.0,2434000.0,2464000.0,2501000.0,2534000.0,2567000.0,2609000.0,2640000.0,2644000.0,2647000.0,2649000.0,2653000.0,2661000.0,2685000.0,2719000.0,2743000.0,2762000.0,2787000.0,2814000.0,2845000.0,2902000.0,2941000.0,2902000.0,2802000.0,2775000.0,2911000.0,2942000.0,2969000.0,3000000.0,3058000.0,3059000.0,3068000.0,3053000.0,3014000.0,3050000.0,3071000.0,3109000.0,3163000.0,3204000.0,3274000.0,3316000.0,3323000.0,3358000.0,3395000.0,3443000.0,3464000.0,3458000.0,3446000.0,3440000.0,3444354.0,3497076.0,3539400.0,3579780.0,3626499.0,3678814.0,3735139.0,3780403.0,3831836.0,3866248.0,3893888.0,3918531.0,3925266.0,3934102.0,3951820.0,3972523.0,3991569.0,4015264.0,4023844.0,4030222.0,4048508.0,4091025.0,4139269.0,4193114.0,4232965.0,4262731.0,4290403.0,4320281.0,4351037.0,4369862.0,4452173.0,4467634.0,4480089.0,4503491.0,4530729.0,4569805.0,4628981.0,4672840.0,4718206.0,4757938.0,4785514.0,4799642.0,4816632.0,4831586.0,4843737.0,4854803.0,4866824.0,4877989.0,4891628.0,4907965.0,4921532.0,5039877.0,5073903.0,5108468.0
AK,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000.0,158000.0,189000.0,205000.0,215000.0,222000.0,224000.0,231000.0,224000.0,224000.0,229000.0,238000.0,246000.0,256000.0,263000.0,271000.0,271000.0,278000.0,285000.0,296000.0,302583.0,315510.0,324464.0,330543.0,341063.0,376170.0,400969.0,403436.0,404766.0,402753.0,401851.0,418491.0,449606.0,488417.0,513702.0,532495.0,544268.0,539309.0,541983.0,547159.0,553120.0,569273.0,587073.0,596993.0,600624.0,601345.0,604918.0,608846.0,615205.0,619500.0,627963.0,633714.0,642337.0,648414.0,659286.0,666946.0,675302.0,680300.0,687455.0,698895.0,713982.0,722349.0,730810.0,737626.0,737075.0,738430.0,742575.0,740983.0,736624.0,733603.0,731158.0,732673.0,733276.0,733406.0
AZ,Arizona,124000.0,131000.0,138000.0,144000.0,151000.0,158000.0,167000.0,176000.0,186000.0,196000.0,206000.0,212000.0,217000.0,236000.0,253000.0,263000.0,282000.0,311000.0,320000.0,329000.0,340000.0,351000.0,360000.0,371000.0,382000.0,393000.0,403000.0,414000.0,422000.0,430000.0,434000.0,429000.0,426000.0,426000.0,428000.0,434000.0,443000.0,453000.0,466000.0,484000.0,499000.0,490000.0,524000.0,692000.0,610000.0,594000.0,616000.0,653000.0,690000.0,714000.0,756000.0,785000.0,842000.0,894000.0,933000.0,987000.0,1053000.0,1125000.0,1193000.0,1261000.0,1321000.0,1407000.0,1471000.0,1521000.0,1556000.0,1584000.0,1614000.0,1646000.0,1682000.0,1737000.0,1775399.0,1895814.0,2008291.0,2124438.0,2223196.0,2284847.0,2346157.0,2425197.0,2515316.0,2635571.0,2718215.0,2810107.0,2889861.0,2968925.0,3067135.0,3183538.0,3308262.0,3437103.0,3535183.0,3622185.0,3679056.0,3762394.0,3867333.0,3993390.0,4147561.0,4306908.0,4432308.0,4552207.0,4667277.0,4778332.0,5160586.0,5273477.0,5396255.0,5510364.0,5652404.0,5839077.0,6029141.0,6167681.0,6280362.0,6343154.0,6407342.0,6473416.0,6556344.0,6634690.0,6732873.0,6832810.0,6944767.0,7048088.0,7164228.0,7291843.0,7421401.0,7276316.0,7365684.0,7431344.0
AR,Arkansas,1314000.0,1341000.0,1360000.0,1384000.0,1419000.0,1447000.0,1465000.0,1484000.0,1513000.0,1545000.0,1583000.0,1610000.0,1636000.0,1664000.0,1688000.0,1702000.0,1719000.0,1737000.0,1749000.0,1742000.0,1756000.0,1769000.0,1772000.0,1784000.0,1800000.0,1812000.0,1826000.0,1840000.0,1847000.0,1852000.0,1859000.0,1848000.0,1836000.0,1854000.0,1878000.0,1890000.0,1892000.0,1903000.0,1928000.0,1948000.0,1955000.0,1969000.0,1977000.0,1843000.0,1768000.0,1762000.0,1797000.0,1836000.0,1825000.0,1844000.0,1908000.0,1901000.0,1838000.0,1780000.0,1734000.0,1725000.0,1704000.0,1733000.0,1726000.0,1756000.0,1789000.0,1806000.0,1853000.0,1875000.0,1897000.0,1894000.0,1899000.0,1901000.0,1902000.0,1913000.0,1923322.0,1972312.0,2018638.0,2059256.0,2101403.0,2159526.0,2170161.0,2209010.0,2243127.0,2271333.0,2286435.0,2293201.0,2294257.0,2305761.0,2319768.0,2327046.0,2331984.0,2342355.0,2342656.0,2346358.0,2354343.0,2370666.0,2394098.0,2423743.0,2450605.0,2480121.0,2504858.0,2524007.0,2538202.0,2551373.0,2678588.0,2691571.0,2705927.0,2724816.0,2749686.0,2781097.0,2821761.0,2848650.0,2874554.0,2896843.0,2921998.0,2941038.0,2952876.0,2960459.0,2968759.0,2979732.0,2991815.0,3003855.0,3012161.0,3020985.0,3030522.0,3025891.0,3046404.0,3067732.0
CA,California,1490000.0,1550000.0,1623000.0,1702000.0,1792000.0,1893000.0,1976000.0,2054000.0,2161000.0,2282000.0,2406000.0,2534000.0,2668000.0,2811000.0,2934000.0,3008000.0,3071000.0,3171000.0,3262000.0,3339000.0,3554000.0,3795000.0,3991000.0,4270000.0,4541000.0,4730000.0,4929000.0,5147000.0,5344000.0,5531000.0,5711000.0,5824000.0,5894000.0,5963000.0,6060000.0,6175000.0,6341000.0,6528000.0,6656000.0,6785000.0,6950000.0,7237000.0,7735000.0,8506000.0,8945000.0,9344000.0,9559000.0,9832000.0,10064000.0,10337000.0,10677000.0,11134000.0,11635000.0,12251000.0,12746000.0,13133000.0,13713000.0,14264000.0,14880000.0,15467000.0,15870000.0,16497000.0,17072000.0,17668000.0,18151000.0,18585000.0,18858000.0,19176000.0,19394000.0,19711000.0,19971069.0,20345939.0,20585469.0,20868728.0,21173865.0,21537849.0,21935909.0,22352396.0,22835958.0,23256880.0,23667902.0,24285933.0,24820009.0,25360026.0,25844393.0,26441109.0,27102237.0,27777158.0,28464249.0,29218164.0,29950111.0,30414114.0,30875920.0,31147208.0,31317179.0,31493525.0,31780829.0,32217708.0,32682794.0,33145121.0,33987977.0,34479458.0,34871843.0,35253159.0,35574576.0,35827943.0,36021202.0,36250311.0,36604337.0,36961229.0,37319550.0,37636311.0,37944551.0,38253768.0,38586706.0,38904296.0,39149186.0,39337785.0,39437463.0,39437610.0,39368078.0,39237836.0,39040616.0,38965193.0
CO,Colorado,543000.0,581000.0,621000.0,652000.0,659000.0,680000.0,707000.0,733000.0,757000.0,775000.0,804000.0,821000.0,832000.0,835000.0,846000.0,868000.0,892000.0,910000.0,906000.0,938000.0,937000.0,961000.0,965000.0,984000.0,1014000.0,1019000.0,1016000.0,1028000.0,1014000.0,1008000.0,1040000.0,1056000.0,1066000.0,1071000.0,1075000.0,1078000.0,1090000.0,1104000.0,1112000.0,1120000.0,1130000.0,1124000.0,1113000.0,1153000.0,1137000.0,1116000.0,1203000.0,1237000.0,1263000.0,1295000.0,1325000.0,1326000.0,1365000.0,1431000.0,1493000.0,1546000.0,1625000.0,1664000.0,1667000.0,1710000.0,1769000.0,1844000.0,1899000.0,1936000.0,1970000.0,1985000.0,2007000.0,2053000.0,2120000.0,2166000.0,2209596.0,2303524.0,2404619.0,2495868.0,2541406.0,2586192.0,2632306.0,2696140.0,2766748.0,2849234.0,2889964.0,2977898.0,3061564.0,3133630.0,3169992.0,3208723.0,3237450.0,3260480.0,3262281.0,3275818.0,3303862.0,3367567.0,3459995.0,3560884.0,3653910.0,3738061.0,3812716.0,3891293.0,3968967.0,4056133.0,4326921.0,4425687.0,4490406.0,4528732.0,4575013.0,4631888.0,4720423.0,4803868.0,4889730.0,4972195.0,5047539.0,5121900.0,5193660.0,5270774.0,5352637.0,5454328.0,5543844.0,5617421.0,5697155.0,5758486.0,5807719.0,5812069.0,5841039.0,5877610.0
CT,Connecticut,910000.0,931000.0,952000.0,972000.0,987000.0,1010000.0,1033000.0,1057000.0,1077000.0,1097000.0,1122000.0,1149000.0,1176000.0,1208000.0,1233000.0,1258000.0,1294000.0,1327000.0,1329000.0,1359000.0,1391000.0,1415000.0,1431000.0,1455000.0,1481000.0,1506000.0,1531000.0,1557000.0,1577000.0,1594000.0,1613000.0,1628000.0,1637000.0,1642000.0,1650000.0,1666000.0,1672000.0,1678000.0,1684000.0,1696000.0,1708000.0,1746000.0,1792000.0,1792000.0,1778000.0,1769000.0,1906000.0,1967000.0,2014000.0,2032000.0,2016000.0,2028000.0,2081000.0,2168000.0,2249000.0,2300000.0,2316000.0,2359000.0,2446000.0,2523000.0,2544000.0,2586000.0,2647000.0,2727000.0,2798000.0,2857000.0,2903000.0,2935000.0,2964000.0,3000000.0,3032217.0,3060938.0,3068699.0,3067814.0,3074047.0,3082500.0,3083335.0,3085722.0,3091627.0,3095917.0,3107576.0,3128836.0,3139013.0,3162354.0,3180014.0,3201131.0,3223740.0,3247291.0,3271953.0,3283403.0,3289056.0,3288640.0,3274997.0,3272325.0,3268346.0,3265293.0,3267030.0,3268514.0,3272563.0,3282031.0,3411777.0,3432835.0,3458749.0,3484336.0,3496094.0,3506956.0,3517460.0,3527270.0,3545579.0,3561807.0,3579173.0,3588632.0,3595211.0,3595792.0,3595697.0,3588561.0,3579830.0,3575324.0,3574561.0,3566022.0,3557006.0,3605597.0,3608706.0,3617176.0
DE,Delaware,185000.0,187000.0,188000.0,190000.0,192000.0,194000.0,196000.0,197000.0,199000.0,201000.0,203000.0,207000.0,209000.0,213000.0,216000.0,217000.0,219000.0,222000.0,220000.0,221000.0,219000.0,216000.0,214000.0,215000.0,219000.0,222000.0,225000.0,229000.0,233000.0,236000.0,239000.0,242000.0,245000.0,248000.0,250000.0,252000.0,253000.0,254000.0,257000.0,263000.0,269000.0,275000.0,279000.0,282000.0,285000.0,286000.0,299000.0,305000.0,312000.0,316000.0,321000.0,331000.0,341000.0,351000.0,368000.0,389000.0,408000.0,426000.0,433000.0,441000.0,449000.0,461000.0,469000.0,483000.0,497000.0,507000.0,516000.0,525000.0,534000.0,540000.0,548104.0,564708.0,572913.0,577759.0,581418.0,586589.0,590166.0,591829.0,594776.0,594984.0,594338.0,595975.0,599148.0,605458.0,611565.0,618280.0,627559.0,636947.0,647622.0,658273.0,669063.0,680495.0,690158.0,699475.0,708416.0,718265.0,727090.0,735024.0,744066.0,753538.0,786373.0,795699.0,806169.0,818003.0,830803.0,845150.0,859268.0,871749.0,883874.0,891730.0,899647.0,907590.0,915518.0,924062.0,933131.0,942065.0,949989.0,957942.0,966985.0,976668.0,986809.0,1003384.0,1019459.0,1031890.0
FL,Florida,530000.0,544000.0,565000.0,587000.0,599000.0,615000.0,628000.0,645000.0,684000.0,724000.0,756000.0,773000.0,801000.0,828000.0,871000.0,922000.0,924000.0,895000.0,865000.0,898000.0,962000.0,997000.0,1044000.0,1097000.0,1160000.0,1264000.0,1368000.0,1418000.0,1433000.0,1445000.0,1471000.0,1493000.0,1521000.0,1552000.0,1585000.0,1613000.0,1651000.0,1709000.0,1771000.0,1836000.0,1915000.0,2017000.0,2151000.0,2451000.0,2420000.0,2465000.0,2440000.0,2528000.0,2578000.0,2668000.0,2810000.0,2980000.0,3157000.0,3310000.0,3505000.0,3747000.0,4047000.0,4372000.0,4630000.0,4808000.0,5004000.0,5243000.0,5458000.0,5628000.0,5781000.0,5954000.0,6104000.0,6242000.0,6433000.0,6641000.0,6791418.0,7158304.0,7511463.0,7913696.0,8298762.0,8518422.0,8667379.0,8856183.0,9102032.0,9426159.0,9746324.0,10192774.0,10471407.0,10749851.0,11039925.0,11351118.0,11667505.0,11997283.0,12306395.0,12637715.0,13018365.0,13289497.0,13504775.0,13713593.0,13961798.0,14185403.0,14426911.0,14683350.0,14908230.0,15111244.0,16047515.0,16356966.0,16689370.0,17004085.0,17415318.0,17842038.0,18166990.0,18367842.0,18527305.0,18652644.0,18846143.0,19055607.0,19302016.0,19551678.0,19853880.0,20219111.0,20627237.0,20977089.0,21254926.0,21492056.0,21733312.0,21781128.0,22245521.0,22610726.0
GA,Georgia,2220000.0,2263000.0,2305000.0,2346000.0,2387000.0,2427000.0,2466000.0,2505000.0,2543000.0,2580000.0,2618000.0,2644000.0,2676000.0,2733000.0,2776000.0,2810000.0,2856000.0,2885000.0,2941000.0,2870000.0,2926000.0,2965000.0,2965000.0,2954000.0,2920000.0,2883000.0,2869000.0,2891000.0,2903000.0,2903000.0,2910000.0,2924000.0,2935000.0,2950000.0,2964000.0,2955000.0,2978000.0,3037000.0,3091000.0,3120000.0,3119000.0,3179000.0,3209000.0,3245000.0,3176000.0,3119000.0,3242000.0,3272000.0,3259000.0,3325000.0,3458000.0,3531000.0,3584000.0,3558000.0,3602000.0,3636000.0,3701000.0,3766000.0,3804000.0,3868000.0,3956000.0,4015000.0,4086000.0,4172000.0,4258000.0,4332000.0,4379000.0,4408000.0,4482000.0,4551000.0,4587930.0,4711550.0,4809490.0,4910374.0,4999419.0,5064075.0,5132812.0,5219697.0,5295751.0,5401384.0,5463105.0,5568345.0,5649792.0,5728250.0,5834954.0,5962661.0,6084666.0,6208467.0,6316142.0,6411099.0,6506531.0,6621279.0,6759474.0,6894092.0,7045900.0,7188538.0,7332225.0,7486094.0,7636522.0,7788240.0,8227303.0,8377038.0,8508256.0,8622793.0,8769252.0,8925922.0,9155813.0,9349988.0,9504843.0,9620846.0,9712209.0,9803630.0,9903580.0,9975592.0,10071204.0,10183353.0,10308442.0,10417031.0,10519389.0,10628020.0,10710017.0,10799566.0,10913150.0,11029227.0
