State,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AL,Alabama,96764446.73,97383027.11,90208231.03,89067161.97,91249688.73,86055918.13,78850038.4,73701702.4,75880987.4,69819726.9,62793376.9,68215710.1
AK,Alaska,15421107.7,17440426.0,17696455.09,17427265.2,16821886.9,17167608.5,17316714.7,17664752.7,17188712.6,17443597.0,17070189.4,16939106.6
AZ,Arizona,58152457.99,56694089.81,56321170.39,58761116.2,57926199.4,54566811.8,49116294.5,48675815.7,51362816.9,47406751.9,39664432.3,38392400.3
AR,Arkansas,38808194.3,41791242.28,42823900.83,43385719.9,43432226.5,34276949.2,35987371.0,38216285.9,44107864.5,39149463.7,29612211.0,36628789.1
CA,California,100907327.88,94446995.42,106082846.57,107444200.79,108450118.95,104963612.4,97946736.1,94792029.8,96885512.0,93214059.9,91064955.9,91754567.1
CO,Colorado,39066085.96,42708692.08,44488123.73,47272406.77,47273223.31,47278262.42,51494462.25,53776292.47,57675917.91,58653705.41,48893542.71,50334501.47
CT,Connecticut,9665845.1,8290829.3,8531496.9,8629379.4,8511431.7,9300113.6,8803437.2,7997654.7,9844942.5,9112268.4,10377942.1,10812606.9
DE,Delaware,4597934.4,6534291.2,8868021.8,7932196.7,7798502.2,7547437.4,7832060.8,6560049.1,6578229.5,5506618.1,5413261.7,5142434.0
FL,Florida,133513567.02,123368332.45,120435411.07,117882374.98,123068167.81,122066165.14,119733363.49,116905681.57,114478756.09,106375573.51,104672445.5,102634265.8
GA,Georgia,80286845.97,72240985.56,63488233.95,62979970.73,68916956.4,64963972.5,66146213.9,60207152.9,60274357.6,56314887.9,43997423.8,48611013.4
HI,Hawaii,9061988.38,9232938.38,8888298.6,8296729.2,8484269.6,8362286.2,8274164.9,7831062.8,7853284.0,7669070.9,6798273.0,6673998.5
ID,Idaho,2733773.48,2889484.47,3135942.71,4022349.76,3492209.9,4077248.6,3811339.6,3681801.6,3653801.8,4349367.0,4214346.0,4517006.4
IL,Illinois,128799381.33,127105695.26,119796906.93,122533580.5,121519520.6,108777960.0,96055580.5,92802931.5,97198885.5,88619785.4,70100418.7,79693912.1
IN,Indiana,139448382.09,141379724.43,134568469.84,132085516.0,136297473.1,117448577.1,118038056.7,117555306.6,122696675.8,109620775.8,93164613.4,100804811.4
IA,Iowa,58328480.44,55424995.84,52870762.31,50853404.4,51349009.1,47379077.6,43572646.8,47662754.0,52855488.8,46187311.7,37711454.2,45162631.1
