StateCode,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IA,Iowa,58328.48,55425.0,52870.76,50853.4,51349.01,47379.08,43572.65,47662.75,52855.49,46187.31,37711.45,45162.63
KS,Kansas,46293.55,45864.98,41992.84,43147.12,42419.5,38327.73,36763.32,33019.74,34469.85,31689.2,30662.58,32461.76
KY,Kentucky,102765.3,102279.74,95739.87,94003.88,94824.97,84683.12,78982.92,69102.18,74552.68,66014.7,56890.72,64178.47
LA,Louisiana,110671.97,119343.85,116274.41,114696.81,115163.18,115819.65,117695.12,119350.57,122768.06,124736.49,114693.29,116792.45
ME,Maine,5555.33,5076.91,4482.53,4032.79,4194.25,3585.48,3232.39,2630.82,2765.66,2516.11,2498.39,2910.16
MD,Maryland,31700.64,28918.8,23321.75,21405.23,23750.52,21125.8,20996.94,16111.28,20897.58,16993.63,14289.29,17015.85
MA,Massachusetts,20835.59,17115.99,14758.28,15343.1,13559.45,13970.12,13267.59,12725.64,10353.59,8553.79,8178.01,8637.53
MI,Michigan,89953.67,85549.69,83846.91,83602.65,79755.75,81260.16,73976.53,73448.81,76267.2,70412.77,58353.04,66347.75
MN,Minnesota,45770.73,45209.36,40726.45,41368.43,44845.1,40971.6,40482.11,40613.8,42290.9,37517.78,32655.7,35987.01
MS,Mississippi,26976.18,25498.55,26567.06,26220.5,26397.83,29379.5,30840.26,28981.5,30760.48,29342.96,30574.82,29458.75
MO,Missouri,88401.84,91682.44,85352.54,86727.6,83712.37,77204.03,72592.58,78960.9,76608.54,68851.5,65585.96,70588.15
MT,Montana,23567.64,20658.01,19946.65,20651.09,21330.81,21855.51,20076.15,19174.02,18858.04,19885.64,13635.02,15890.74
NE,Nebraska,29287.2,30790.5,29516.77,30574.51,29228.18,28432.74,26245.97,26547.71,28667.56,26005.76,24446.0,24174.38
NV,Nevada,17352.39,15559.2,15448.18,16746.2,16753.38,14906.77,14010.5,13044.72,14066.3,14037.32,13559.38,14058.51
NH,New Hampshire,5651.56,5287.72,4505.4,3607.97,3502.54,3719.01,2589.86,2066.72,2365.24,2058.19,1827.14,2329.56
NJ,New Jersey,24707.69,22891.63,21646.3,20837.93,23659.5,24820.52,26551.72,23460.05,23362.87,23682.96,19091.77,18687.48
NM,New Mexico,34898.1,39161.05,38193.25,38595.79,34776.02,34361.49,31289.43,31180.07,27848.28,29615.1,26929.66,24897.24
NY,New York,47479.57,43006.56,41612.51,39888.51,40325.48,39608.56,36884.43,31346.2,34132.65,31035.56,32138.29,33983.92
NC,North Carolina,72437.05,62395.63,58313.5,52823.52,55109.82,51822.59,51491.76,45355.27,46571.35,43811.9,35396.4,39118.92
ND,North Dakota,36871.85,36721.21,38092.66,36414.3,36944.38,40126.44,38908.59,39101.05,43096.9,41533.73,37809.91,38679.39
OK,Oklahoma,64846.3,73316.73,71758.63,70034.69,70034.12,67432.18,63899.58,60690.32,63730.12,57538.03,51771.5,52312.15
OR,Oregon,12477.3,8894.92,9480.24,11764.15,10756.53,11331.08,10468.54,10401.43,11228.08,13524.57,11932.37,11214.4
PA,Pennsylvania,145399.6,140559.48,130731.19,131282.1,123705.05,115472.05,110120.54,104954.23,104267.65,103811.64,94795.78,101933.29
RI,Rhode Island,3375.62,3769.18,3577.02,2708.25,2721.25,3032.98,2779.52,3143.67,3433.61,3099.13,3477.41,3621.41
SC,South Carolina,46975.24,44164.26,39718.52,35196.5,40261.33,37239.91,35311.03,32056.27,35933.38,31883.39,29977.08,32699.95
SD,South Dakota,6166.05,5661.5,5701.14,6091.47,5868.02,4917.08,5632.76,5602.64,5877.81,6418.74,5126.96,5346.41
TN,Tennessee,48956.22,47113.71,45119.51,41858.96,44682.32,40522.47,42634.94,40268.9,34657.51,32976.87,27979.96,32511.08
TX,Texas,353416.61,385582.26,375476.28,391097.56,394272.06,382932.18,389029.33,396208.26,405685.64,410191.06,377755.3,382860.2
UT,Utah,40189.94,39072.06,37711.98,41329.78,41343.31,39865.44,34706.29,34244.11,34795.69,34668.31,31865.77,36065.74
VT,Vermont,165.55,158.14,148.62,165.07,163.65,154.06,149.28,148.25,154.66,157.58,125.13,130.63
VA,Virginia,43510.81,37761.05,34971.42,40138.75,39449.14,39776.74,42199.56,37503.71,38803.8,35827.92,37152.09,32731.14
WA,Washington,23628.32,18141.04,16738.95,22827.06,22457.47,21329.94,20115.29,20539.01,20470.04,24703.91,21062.3,19942.32
WV,West Virginia,77855.62,77226.17,71472.01,73216.82,78681.64,71384.42,74178.04,71749.28,65757.42,62663.78,55224.34,64439.68
WI,Wisconsin,54157.8,52964.72,47269.76,53420.7,50228.16,51752.81,48070.86,50385.15,48586.49,41366.26,38459.72,42563.81
WY,Wyoming,59094.14,63411.59,66006.67,66359.22,61755.83,62160.02,57296.52,60036.2,59192.34,54439.38,52525.47,50790.07
DC,District of Columbia,362.58,256.46,108.01,95.48,93.87,84.07,87.01,93.55,103.88,104.47,98.98,88.59
PR,Puerto Rico,14090.72,13391.38,13446.1,11684.58,11228.6,12013.45,9302.97,7932.71,7726.4,7450.25,9925.04,1479.75
