StateCode,State,2021
AL,Alabama,7657.44
AK,Alaska,871.68
AZ,Arizona,1361.14
AR,Arkansas,2123.89
CA,California,8737.63
CO,Colorado,8793.63
CT,Connecticut,309.11
DE,Delaware,401.67
FL,Florida,6603.96
GA,Georgia,5377.83
HI,Hawaii,208.84
ID,Idaho,558.38
IL,Illinois,5301.28
IN,Indiana,5277.59
IA,Iowa,1500.49
KS,Kansas,1463.06
KY,Kentucky,2891.22
LA,Louisiana,3368.35
ME,Maine,208.12
MD,Maryland,1164.38
MA,Massachusetts,674.95
MI,Michigan,5256.87
MN,Minnesota,1675.89
MS,Mississippi,1576.14
MO,Missouri,1651.45
MT,Montana,446.92
NE,Nebraska,1070.5
NV,Nevada,261.1
NH,New Hampshire,392.25
NJ,New Jersey,1602.84
NM,New Mexico,2772.71
NY,New York,2724.2
NC,North Carolina,4155.22
ND,North Dakota,901.45
OH,Ohio,6528.39
OK,Oklahoma,7676.41
OR,Oregon,807.87
PA,Pennsylvania,13102.08
RI,Rhode Island,151.56
SC,South Carolina,1915.54
SD,South Dakota,311.8
TN,Tennessee,2318.73
TX,Texas,36975.52
UT,Utah,1572.52
VT,Vermont,55.13
VA,Virginia,5569.92
WA,Washington,1616.99
WV,West Virginia,9444.0
WI,Wisconsin,1272.15
WY,Wyoming,627.35
DC,District of Columbia,0.04
PR,Puerto Rico,515.81
