StateCode,State,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AL,Alabama,1830.0,1907.0,1935.0,1957.0,1978.0,2012.0,2045.0,2058.0,2070.0,2108.0,2150.0,2185.0,2217.0,2279.0,2336.0,2345.0,2359.0,2361.0,2343.0,2337.0,2359.0,2402.0,2434.0,2464.0,2501.0,2534.0,2567.0,2609.0,2640.0,2644.0,2647.0,2649.0,2653.0,2661.0,2685.0,2719.0,2743.0,2762.0,2787.0,2814.0,2845.0,2902.0,2941.0,2902.0,2802.0,2775.0,2911.0,2942.0,2969.0,3000.0,3058.0,3059.0,3068.0,3053.0,3014.0,3050.0,3071.0,3109.0,3163.0,3204.0,3274.0,3316.0,3323.0,3358.0,3395.0,3443.0,3464.0,3458.0,3446.0,3440.0,3444.35,3497.08,3539.4,3579.78,3626.5,3678.81,3735.14,3780.4,3831.84,3866.25,3893.89,3918.53,3925.27,3934.1,3951.82,3972.52,3991.57,4015.26,4023.84,4030.22,4048.51,4091.02,4139.27,4193.11,4232.96,4262.73,4290.4,4320.28,4351.04,4369.86,4452.17,4467.63,4480.09,4503.49,4530.73,4569.8,4628.98,4672.84,4718.21,4757.94,4785.51,4799.64,4816.63,4831.59,4843.74,4854.8,4866.82,4877.99,4891.63,4907.96,4921.53,5039.88,5074.3
AK,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,158.0,189.0,205.0,215.0,222.0,224.0,231.0,224.0,224.0,229.0,238.0,246.0,256.0,263.0,271.0,271.0,278.0,285.0,296.0,302.58,315.51,324.46,330.54,341.06,376.17,400.97,403.44,404.77,402.75,401.85,418.49,449.61,488.42,513.7,532.5,544.27,539.31,541.98,547.16,553.12,569.27,587.07,596.99,600.62,601.34,604.92,608.85,615.21,619.5,627.96,633.71,642.34,648.41,659.29,666.95,675.3,680.3,687.46,698.9,713.98,722.35,730.81,737.63,737.08,738.43,742.58,740.98,736.62,733.6,731.16,732.67,733.58
AZ,Arizona,124.0,131.0,138.0,144.0,151.0,158.0,167.0,176.0,186.0,196.0,206.0,212.0,217.0,236.0,253.0,263.0,282.0,311.0,320.0,329.0,340.0,351.0,360.0,371.0,382.0,393.0,403.0,414.0,422.0,430.0,434.0,429.0,426.0,426.0,428.0,434.0,443.0,453.0,466.0,484.0,499.0,490.0,524.0,692.0,610.0,594.0,616.0,653.0,690.0,714.0,756.0,785.0,842.0,894.0,933.0,987.0,1053.0,1125.0,1193.0,1261.0,1321.0,1407.0,1471.0,1521.0,1556.0,1584.0,1614.0,1646.0,1682.0,1737.0,1775.4,1895.81,2008.29,2124.44,2223.2,2284.85,2346.16,2425.2,2515.32,2635.57,2718.22,2810.11,2889.86,2968.92,3067.14,3183.54,3308.26,3437.1,3535.18,3622.18,3679.06,3762.39,3867.33,3993.39,4147.56,4306.91,4432.31,4552.21,4667.28,4778.33,5160.59,5273.48,5396.26,5510.36,5652.4,5839.08,6029.14,6167.68,6280.36,6343.15,6407.34,6473.42,6556.34,6634.69,6732.87,6832.81,6944.77,7048.09,7164.23,7291.84,7421.4,7276.32,7359.2
AR,Arkansas,1314.0,1341.0,1360.0,1384.0,1419.0,1447.0,1465.0,1484.0,1513.0,1545.0,1583.0,1610.0,1636.0,1664.0,1688.0,1702.0,1719.0,1737.0,1749.0,1742.0,1756.0,1769.0,1772.0,1784.0,1800.0,1812.0,1826.0,1840.0,1847.0,1852.0,1859.0,1848.0,1836.0,1854.0,1878.0,1890.0,1892.0,1903.0,1928.0,1948.0,1955.0,1969.0,1977.0,1843.0,1768.0,1762.0,1797.0,1836.0,1825.0,1844.0,1908.0,1901.0,1838.0,1780.0,1734.0,1725.0,1704.0,1733.0,1726.0,1756.0,1789.0,1806.0,1853.0,1875.0,1897.0,1894.0,1899.0,1901.0,1902.0,1913.0,1923.32,1972.31,2018.64,2059.26,2101.4,2159.53,2170.16,2209.01,2243.13,2271.33,2286.44,2293.2,2294.26,2305.76,2319.77,2327.05,2331.98,2342.36,2342.66,2346.36,2354.34,2370.67,2394.1,2423.74,2450.6,2480.12,2504.86,2524.01,2538.2,2551.37,2678.59,2691.57,2705.93,2724.82,2749.69,2781.1,2821.76,2848.65,2874.55,2896.84,2922.0,2941.04,2952.88,2960.46,2968.76,2979.73,2991.82,3003.86,3012.16,3020.98,3030.52,3025.89,3045.64
CA,California,1490.0,1550.0,1623.0,1702.0,1792.0,1893.0,1976.0,2054.0,2161.0,2282.0,2406.0,2534.0,2668.0,2811.0,2934.0,3008.0,3071.0,3171.0,3262.0,3339.0,3554.0,3795.0,3991.0,4270.0,4541.0,4730.0,4929.0,5147.0,5344.0,5531.0,5711.0,5824.0,5894.0,5963.0,6060.0,6175.0,6341.0,6528.0,6656.0,6785.0,6950.0,7237.0,7735.0,8506.0,8945.0,9344.0,9559.0,9832.0,10064.0,10337.0,10677.0,11134.0,11635.0,12251.0,12746.0,13133.0,13713.0,14264.0,14880.0,15467.0,15870.0,16497.0,17072.0,17668.0,18151.0,18585.0,18858.0,19176.0,19394.0,19711.0,19971.07,20345.94,20585.47,20868.73,21173.86,21537.85,21935.91,22352.4,22835.96,23256.88,23667.9,24285.93,24820.01,25360.03,25844.39,26441.11,27102.24,27777.16,28464.25,29218.16,29950.11,30414.11,30875.92,31147.21,31317.18,31493.52,31780.83,32217.71,32682.79,33145.12,33987.98,34479.46,34871.84,35253.16,35574.58,35827.94,36021.2,36250.31,36604.34,36961.23,37319.55,37636.31,37944.55,38253.77,38586.71,38904.3,39149.19,39337.79,39437.46,39437.61,39368.08,39237.84,39029.34
CO,Colorado,543.0,581.0,621.0,652.0,659.0,680.0,707.0,733.0,757.0,775.0,804.0,821.0,832.0,835.0,846.0,868.0,892.0,910.0,906.0,938.0,937.0,961.0,965.0,984.0,1014.0,1019.0,1016.0,1028.0,1014.0,1008.0,1040.0,1056.0,1066.0,1071.0,1075.0,1078.0,1090.0,1104.0,1112.0,1120.0,1130.0,1124.0,1113.0,1153.0,1137.0,1116.0,1203.0,1237.0,1263.0,1295.0,1325.0,1326.0,1365.0,1431.0,1493.0,1546.0,1625.0,1664.0,1667.0,1710.0,1769.0,1844.0,1899.0,1936.0,1970.0,1985.0,2007.0,2053.0,2120.0,2166.0,2209.6,2303.52,2404.62,2495.87,2541.41,2586.19,2632.31,2696.14,2766.75,2849.23,2889.96,2977.9,3061.56,3133.63,3169.99,3208.72,3237.45,3260.48,3262.28,3275.82,3303.86,3367.57,3460.0,3560.88,3653.91,3738.06,3812.72,3891.29,3968.97,4056.13,4326.92,4425.69,4490.41,4528.73,4575.01,4631.89,4720.42,4803.87,4889.73,4972.2,5047.54,5121.9,5193.66,5270.77,5352.64,5454.33,5543.84,5617.42,5697.16,5758.49,5807.72,5812.07,5839.93
CT,Connecticut,910.0,931.0,952.0,972.0,987.0,1010.0,1033.0,1057.0,1077.0,1097.0,1122.0,1149.0,1176.0,1208.0,1233.0,1258.0,1294.0,1327.0,1329.0,1359.0,1391.0,1415.0,1431.0,1455.0,1481.0,1506.0,1531.0,1557.0,1577.0,1594.0,1613.0,1628.0,1637.0,1642.0,1650.0,1666.0,1672.0,1678.0,1684.0,1696.0,1708.0,1746.0,1792.0,1792.0,1778.0,1769.0,1906.0,1967.0,2014.0,2032.0,2016.0,2028.0,2081.0,2168.0,2249.0,2300.0,2316.0,2359.0,2446.0,2523.0,2544.0,2586.0,2647.0,2727.0,2798.0,2857.0,2903.0,2935.0,2964.0,3000.0,3032.22,3060.94,3068.7,3067.81,3074.05,3082.5,3083.34,3085.72,3091.63,3095.92,3107.58,3128.84,3139.01,3162.35,3180.01,3201.13,3223.74,3247.29,3271.95,3283.4,3289.06,3288.64,3275.0,3272.32,3268.35,3265.29,3267.03,3268.51,3272.56,3282.03,3411.78,3432.84,3458.75,3484.34,3496.09,3506.96,3517.46,3527.27,3545.58,3561.81,3579.17,3588.63,3595.21,3595.79,3595.7,3588.56,3579.83,3575.32,3574.56,3566.02,3557.01,3605.6,3626.2
DE,Delaware,185.0,187.0,188.0,190.0,192.0,194.0,196.0,197.0,199.0,201.0,203.0,207.0,209.0,213.0,216.0,217.0,219.0,222.0,220.0,221.0,219.0,216.0,214.0,215.0,219.0,222.0,225.0,229.0,233.0,236.0,239.0,242.0,245.0,248.0,250.0,252.0,253.0,254.0,257.0,263.0,269.0,275.0,279.0,282.0,285.0,286.0,299.0,305.0,312.0,316.0,321.0,331.0,341.0,351.0,368.0,389.0,408.0,426.0,433.0,441.0,449.0,461.0,469.0,483.0,497.0,507.0,516.0,525.0,534.0,540.0,548.1,564.71,572.91,577.76,581.42,586.59,590.17,591.83,594.78,594.98,594.34,595.98,599.15,605.46,611.57,618.28,627.56,636.95,647.62,658.27,669.06,680.5,690.16,699.48,708.42,718.26,727.09,735.02,744.07,753.54,786.37,795.7,806.17,818.0,830.8,845.15,859.27,871.75,883.87,891.73,899.65,907.59,915.52,924.06,933.13,942.06,949.99,957.94,966.98,976.67,986.81,1003.38,1018.4
FL,Florida,530.0,544.0,565.0,587.0,599.0,615.0,628.0,645.0,684.0,724.0,756.0,773.0,801.0,828.0,871.0,922.0,924.0,895.0,865.0,898.0,962.0,997.0,1044.0,1097.0,1160.0,1264.0,1368.0,1418.0,1433.0,1445.0,1471.0,1493.0,1521.0,1552.0,1585.0,1613.0,1651.0,1709.0,1771.0,1836.0,1915.0,2017.0,2151.0,2451.0,2420.0,2465.0,2440.0,2528.0,2578.0,2668.0,2810.0,2980.0,3157.0,3310.0,3505.0,3747.0,4047.0,4372.0,4630.0,4808.0,5004.0,5243.0,5458.0,5628.0,5781.0,5954.0,6104.0,6242.0,6433.0,6641.0,6791.42,7158.3,7511.46,7913.7,8298.76,8518.42,8667.38,8856.18,9102.03,9426.16,9746.32,10192.77,10471.41,10749.85,11039.92,11351.12,11667.5,11997.28,12306.4,12637.72,13018.36,13289.5,13504.78,13713.59,13961.8,14185.4,14426.91,14683.35,14908.23,15111.24,16047.52,16356.97,16689.37,17004.08,17415.32,17842.04,18166.99,18367.84,18527.3,18652.64,18846.14,19055.61,19302.02,19551.68,19853.88,20219.11,20627.24,20977.09,21254.93,21492.06,21733.31,21781.13,22244.82
GA,Georgia,2220.0,2263.0,2305.0,2346.0,2387.0,2427.0,2466.0,2505.0,2543.0,2580.0,2618.0,2644.0,2676.0,2733.0,2776.0,2810.0,2856.0,2885.0,2941.0,2870.0,2926.0,2965.0,2965.0,2954.0,2920.0,2883.0,2869.0,2891.0,2903.0,2903.0,2910.0,2924.0,2935.0,2950.0,2964.0,2955.0,2978.0,3037.0,3091.0,3120.0,3119.0,3179.0,3209.0,3245.0,3176.0,3119.0,3242.0,3272.0,3259.0,3325.0,3458.0,3531.0,3584.0,3558.0,3602.0,3636.0,3701.0,3766.0,3804.0,3868.0,3956.0,4015.0,4086.0,4172.0,4258.0,4332.0,4379.0,4408.0,4482.0,4551.0,4587.93,4711.55,4809.49,4910.37,4999.42,5064.08,5132.81,5219.7,5295.75,5401.38,5463.1,5568.34,5649.79,5728.25,5834.95,5962.66,6084.67,6208.47,6316.14,6411.1,6506.53,6621.28,6759.47,6894.09,7045.9,7188.54,7332.22,7486.09,7636.52,7788.24,8227.3,8377.04,8508.26,8622.79,8769.25,8925.92,9155.81,9349.99,9504.84,9620.85,9712.21,9803.63,9903.58,9975.59,10071.2,10183.35,10308.44,10417.03,10519.39,10628.02,10710.02,10799.57,10912.88
