	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
15	6	999	Statewide	21	All other metal ore mining	6	212299	4.0	1.6
17	6	999	Statewide	21	Bituminous coal and lignite surface mining	6	212111	3.0	1.4
18	6	999	Statewide	21	Bituminous coal underground mining	6	212112	3.0	1.0
29	6	999	Statewide	21	Iron ore mining	6	212210	3.0	1.2
30	6	999	Statewide	21	Kaolin and ball clay mining	6	212324	2.0	1.0
31	6	999	Statewide	21	Lead ore and zinc ore mining	6	212231	1.0	1.0
34	6	999	Statewide	21	Other chemical and fertilizer mineral mining	6	212393	6.0	1.8
36	6	999	Statewide	21	Potash, soda, and borate mineral mining	6	212391	8.0	4.444444444444445
37	6	999	Statewide	21	Support activities for coal mining	6	213113	4.0	1.5
42	6	999	Statewide	22	Electric bulk power transmission and control	6	221121	9.75	3.6666666666666665
48	6	999	Statewide	22	Nuclear electric power generation	6	221113	2.0	1.0
91	6	999	Statewide	31	Beet sugar manufacturing	6	311313	6.0	3.4
128	6	999	Statewide	31	Malt manufacturing	6	311213	3.0	2.3333333333333335
203	6	999	Statewide	32	Newsprint mills	6	322122	2.0	1.0
215	6	999	Statewide	32	Petrochemical manufacturing	6	325110	5.0	1.8
232	6	999	Statewide	32	Pulp mills	6	322110	1.0	1.0
240	6	999	Statewide	32	Softwood veneer and plywood manufacturing	6	321212	9.0	3.6
268	6	999	Statewide	33	Ammunition (except small arms) manufacturing	6	332993	7.5	3.0
319	6	999	Statewide	33	Household refrigerator and home freezer manufacturing	6	335222	4.0	1.4
605	6	999	Statewide	48	All other pipeline transportation	6	486990	3.0	1.2
612	6	999	Statewide	48	Commuter rail systems	6	485112	7.0	2.888888888888889
713	6	999	Statewide	52	Monetary authorities - central bank	6	521110	6.0	3.0
