Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
30519,55,4,001,0,2
30519,56,53,001,0,2
30519,56,42,210,0,2
30519,56,8,220,0,2
30519,61,15,001,0,2
30519,61,10,210,0,2
30519,62,70,001,0,2
30519,62,49,210,0,2
30519,62,8,220,0,2
30519,62,8,230,0,2
30519,62,5,241,0,2
30519,00,152,230,0,2
30519,00,1154,001,364728,2
30519,00,686,210,0,2
30519,00,144,220,0,2
30519,00,119,241,0,2
30519,00,31,242,0,2
30519,00,18,251,0,2
30519,00,3,252,0,2
30519,23,146,001,0,2
30519,23,126,210,0,2
30519,23,12,220,0,2
30519,23,6,230,0,2
30519,71,4,230,0,2
30519,71,22,001,0,2
30519,71,12,210,0,2
30519,72,125,001,0,2
30519,72,21,210,0,2
30519,72,18,220,0,2
30519,72,30,230,0,2
30519,72,41,241,0,2
30519,72,12,242,0,2
30519,72,3,251,0,2
30519,31-33,15,001,0,2
30519,31-33,10,210,0,2
30519,31-33,4,220,0,2
30519,81,91,001,0,2
30519,81,64,210,0,2
30519,81,13,220,0,2
30519,81,6,230,0,2
30519,81,7,241,0,2
30519,42,59,001,0,2
30519,42,53,210,0,2
30519,44-45,275,001,0,2
30519,44-45,66,210,0,2
30519,44-45,55,220,0,2
30519,44-45,72,230,0,2
30519,44-45,51,241,0,2
30519,44-45,13,242,0,2
30519,44-45,15,251,0,2
30519,44-45,3,252,0,2
30519,48-49,28,001,0,2
30519,48-49,25,210,0,2
30519,51,22,001,0,2
30519,51,14,210,0,2
30519,51,6,230,0,2
30519,52,41,001,0,2
30519,52,32,210,0,2
30519,52,6,220,0,2
30519,52,3,230,0,2
30519,53,50,001,0,2
30519,53,42,210,0,2
30519,53,4,220,0,2
30519,54,135,001,0,2
30519,54,117,210,0,2
30519,54,7,220,0,2
30519,54,7,230,0,2
