,fips,relevant_naics,YEAR,estab,emp,payann
1,56,11,2018,79,189,7808
3,56,21,2018,644,15671,1388580
5,56,22,2018,129,2465,234547
7,56,23,2018,2721,17879,1021981
9,56,42,2018,777,7123,447409
11,56,51,2018,403,3957,186860
13,56,52,2018,1050,6496,385624
15,56,53,2018,1213,4616,243118
17,56,54,2018,2461,9785,593264
19,56,55,2018,80,968,84530
21,56,56,2018,1095,6512,268062
23,56,61,2018,181,2069,62787
25,56,62,2018,2031,32906,1650035
27,56,71,2018,450,5175,120408
29,56,72,2018,1808,28125,600538
31,56,81,2018,1836,8433,279763
33,56,99,2018,64,68,2577
