,relevant_naics,estab,emp,payann,fips
315341,621111,15,108,9065,29175
315342,621210,6,38,2656,29175
315343,621310,4,6,61,29175
315344,621320,3,0,0,29175
315345,621420,4,33,953,29175
315346,623110,4,380,8395,29175
315347,624120,19,122,1648,29175
315348,624410,5,44,519,29175
315349,722310,4,29,515,29175
315350,531120,3,0,0,29069
315351,531190,3,4,35,29069
315352,531210,5,6,104,29069
315353,532210,4,28,862,29069
315354,541110,13,36,869,29069
315355,541211,4,19,605,29069
315356,541213,3,26,144,29069
315357,561720,3,0,0,29069
315358,561730,3,0,0,29069
315359,551114,4,0,0,29069
315360,621111,14,62,3210,29069
315361,621210,5,31,1418,29069
315362,621320,3,16,523,29069
315363,621420,6,0,0,29069
315364,621492,3,0,0,29069
315365,621610,15,310,5681,29069
315366,621910,5,0,0,29069
315367,623110,8,602,11527,29069
315368,624120,53,392,6803,29069
315369,624410,9,92,1493,29069
315370,722511,19,231,2638,29175
315371,722513,14,324,3951,29175
315372,811111,6,39,1061,29175
315373,811121,5,9,227,29175
315374,812112,6,40,445,29175
315375,812210,3,13,425,29175
315376,813110,27,103,1538,29175
315377,813930,3,0,0,29175
315378,236118,5,6,75,29175
315379,236220,3,68,2854,29175
315380,238110,7,15,416,29175
315381,238210,5,10,465,29175
315382,238220,6,30,792,29175
315383,238990,3,28,963,29175
315384,321920,6,59,1509,29175
315385,423820,3,30,1105,29175
315386,425120,3,0,0,29175
315387,441120,8,14,380,29175
315388,441310,5,35,671,29175
315389,441320,3,14,439,29175
315390,442110,3,22,586,29175
315391,443142,3,0,0,29175
315392,444190,4,21,598,29175
315393,444220,4,39,1460,29175
315394,445110,4,92,1816,29175
315395,446110,5,83,2758,29175
315396,447110,10,92,1856,29175
315397,721110,3,13,153,29069
315398,722511,24,235,3003,29069
315399,722513,16,373,4579,29069
315400,115111,6,45,4156,29069
315401,236115,3,8,224,29069
315402,236118,3,7,177,29069
315403,811111,4,9,262,29069
315404,811121,4,10,261,29069
315405,812112,3,0,0,29069
315406,812210,5,31,986,29069
315407,236220,4,0,0,29069
315408,237110,4,32,1475,29069
315409,238160,3,0,0,29069
315410,238210,3,0,0,29069
315411,238220,3,8,233,29069
315412,238910,3,0,0,29069
315413,813110,42,106,1576,29069
315414,813410,6,12,84,29069
315415,423820,7,71,4421,29069
315416,424910,7,71,3716,29069
315417,441110,6,137,5598,29069
315418,441120,6,20,442,29069
315419,441310,8,47,1061,29069
315420,441320,5,27,935,29069
315421,443141,3,10,117,29069
315422,444130,3,4,74,29069
315423,444190,5,21,884,29069
315424,445110,11,217,3227,29069
315425,445310,3,7,132,29069
315426,446110,8,90,3549,29069
315427,447110,19,191,2895,29069
315428,447190,4,14,462,29069
315429,448210,3,0,0,29069
315430,452319,10,0,0,29069
315431,453110,3,5,63,29069
315432,453220,3,4,51,29069
315433,453998,6,32,657,29069
315434,484110,3,0,0,29069
315435,484121,17,137,5901,29069
315436,484220,10,49,2166,29069
315437,484230,4,5,409,29069
315438,511110,3,0,0,29069
315439,517311,3,0,0,29069
315440,522110,13,169,5851,29069
315441,522291,7,22,686,29069
315442,522298,4,5,186,29069
315443,522390,6,15,284,29069
315444,524210,19,45,1261,29069
315445,332710,19,275,13812,29071
315446,332721,4,30,1378,29071
315447,332812,3,0,0,29071
315448,332813,4,137,4515,29071
315449,333511,4,259,15796,29071
315450,512131,3,0,0,29071
315451,515112,3,44,1099,29071
315452,517311,14,241,13742,29071
315453,517312,3,0,0,29071
315454,517911,3,0,0,29071
315455,624120,28,286,6426,29071
315456,624190,4,35,742,29071
315457,624310,3,0,0,29071
315458,624410,22,230,3019,29071
315459,337110,5,20,532,29071
315460,339950,4,0,0,29071
315461,339999,7,49,1296,29071
315462,444130,4,23,614,29083
315463,444190,7,68,2044,29083
315464,444220,5,37,774,29083
315465,445110,4,96,1438,29083
315466,446110,6,56,3394,29083
315467,447110,16,156,2346,29083
315468,448120,4,18,186,29083
315469,448210,3,12,135,29083
315470,452319,6,0,0,29083
315471,453998,3,6,83,29083
315472,484121,6,44,2173,29083
315473,484220,4,9,226,29083
315474,517311,4,0,0,29083
315475,522110,13,99,3824,29083
315476,522291,4,8,276,29083
315477,523920,3,0,0,29083
315478,524210,15,87,5028,29083
315479,522110,42,699,30277,29071
315480,522291,14,30,1075,29071
315481,522292,6,22,1904,29071
315482,522298,7,15,279,29071
315483,713910,6,146,2234,29071
315484,713940,13,169,1329,29071
315485,713950,3,0,0,29071
315486,713990,7,15,415,29071
315487,423120,3,39,1704,29071
315488,423390,4,22,532,29071
315489,423510,5,78,3600,29071
315490,423610,3,26,1983,29071
315491,423690,3,0,0,29071
315492,522390,10,15,460,29071
315493,523120,3,16,1811,29071
