Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,6166,165893,46809,677493,506456,244607,519829,198923,702390,310711,690757,193264,1522143,151053,1208079,454718,703
2018,6482,181576,52529,691959,513575,263572,534669,205026,712661,312190,710151,199700,1537010,153154,1236473,462443,947
2019,6355,190730,53942,716587,526112,263720,533662,211548,726854,313553,721639,205931,1580677,161063,1267717,466797,1042
2020,6329,172399,53608,717031,521089,258363,550178,216580,747823,324307,708788,211446,1610707,158636,1276923,463851,1317
2021,6504,134682,52907,685142,498286,239177,560781,207482,741868,305907,696458,198676,1586364,124681,1157353,430515,1327
