Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,250173,270412,323090,4182212,4124447,1981801,4774997,996277,7155821,1751104,3048730,711310,11806798,318975,2843161,2163866,1575
2018,260318,371496,1613575,4599743,4207226,1969106,5027426,1004790,7784932,1866940,3248353,725854,12597433,363558,3000866,2263089,2220
2019,284861,444351,1664950,4967146,4312749,1904094,5259999,1061602,8301825,1779224,3290574,749533,12915425,387358,3160477,2356797,2902
2020,304834,408222,1692484,5185731,4386063,1937811,5761345,1147997,8798442,1878072,3429558,745024,13081586,345064,2856846,2298061,3174
2021,318901,343214,1669209,5628018,4737369,1839148,6019261,1280886,9008312,2136289,3834019,773676,13817707,394768,3290790,2437168,3240
