Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,6254,3627,3843,82289,74480,33415,68341,23035,97922,17816,102439,23475,252257,17259,186293,81879,93
2018,6172,4487,15378,85655,72729,33800,69388,23158,100802,18813,106273,24040,266640,20554,189772,82167,88
2019,6372,5370,15532,90987,73842,31880,68219,23457,104200,19222,104789,24447,263953,21133,193902,81491,141
2020,6338,5441,14654,92175,73784,30156,67570,23643,108209,20907,107991,23953,270589,21418,191463,80084,143
2021,6489,4452,13618,94253,71879,26250,68874,23667,107745,21123,109509,22057,256589,17038,172181,74173,121
