Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,478,135,92,2458,712,401,760,945,1917,167,1147,270,2701,567,2217,1830,13
2018,470,144,94,2461,696,403,765,980,1925,163,1113,270,2708,576,2186,1849,36
2019,473,137,93,2521,699,401,742,974,1919,155,1141,267,2719,585,2207,1853,38
2020,474,134,95,2509,669,401,738,1001,1932,153,1123,275,2746,562,2097,1855,34
2021,495,147,99,2574,683,394,734,1082,1920,149,1193,280,2787,584,2158,1880,18
