Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
47348,8131,10,1,0,4
47348,8131,6,210,0,4
47348,8131,3,220,0,4
47348,8134,3,1,0,4
47348,8134,3,210,0,4
47348,8139,5,1,0,4
47348,8139,4,210,0,4
47348,2381,3,1,0,4
47348,2382,3,1,0,4
47348,4249,3,1,0,4
47348,4411,3,1,0,4
47348,4413,3,1,0,4
47348,4471,5,1,0,4
47348,4471,3,220,0,4
47348,4523,3,1,0,4
47348,4841,7,1,0,4
47348,4841,3,230,0,4
47348,5182,3,1,0,4
47348,5221,4,1,0,4
47348,5242,4,1,0,4
47348,5242,4,210,0,4
47348,5617,4,1,0,4
47348,5617,4,210,0,4
47348,6211,12,1,0,4
47348,6211,6,210,0,4
47348,6211,3,230,0,4
47348,6241,4,1,0,4
47348,7225,9,1,0,4
47348,7225,3,241,0,4
47348,8111,3,1,0,4
47348,8111,3,210,0,4
