,fips,relevant_naics,estab,emp,payann
9981,23,444120,35,167,4983
9982,23,444130,148,1237,31025
9983,23,446110,203,2697,112017
9984,23,453910,59,451,9340
9985,23,484110,113,910,41172
9986,23,488410,45,197,5869
9987,23,512131,34,700,8340
9988,23,512132,3,0,0
9989,23,522120,220,3131,187387
9990,23,532120,26,355,17622
9991,23,337212,17,250,10227
9992,23,337215,6,64,2231
9993,23,339992,11,183,9419
9994,23,339999,37,362,16785
9995,23,423120,39,471,16909
9996,23,423810,33,480,30613
9997,23,424470,8,66,2197
9998,23,424480,23,254,8214
9999,23,444190,228,2494,115781
10000,23,446120,32,377,5970
10001,23,451110,159,1983,44323
10002,23,453920,58,124,3492
10003,23,484121,142,2407,113933
10004,23,488490,17,382,11007
10005,23,512191,9,21,798
10006,23,512240,6,10,906
10007,23,522130,191,2367,110700
10008,23,524210,453,2915,195386
10009,23,532210,44,277,7980
10010,23,541211,208,1683,111867
10011,23,541213,109,604,8204
10012,23,541512,169,1062,80737
10013,23,541513,24,185,13815
10014,23,541519,16,53,3167
10015,23,423130,13,157,6301
10016,23,423140,14,175,4046
10017,23,423820,24,185,10743
10018,23,424490,82,804,38980
10019,23,441210,21,165,9617
10020,23,446130,35,172,4692
10021,23,446191,26,139,3826
10022,23,451120,54,494,7990
10023,23,453930,19,89,4274
10024,23,484122,38,679,38772
10025,23,488510,54,199,9219
10026,23,522210,7,0,0
10027,23,522220,16,181,13598
10028,23,524291,18,89,5069
10029,23,524292,14,526,34716
10030,23,524298,17,108,3650
10031,23,532282,5,22,494
10032,23,532283,17,125,4741
10033,23,532284,27,38,1452
10034,23,532289,25,222,7290
10035,23,541214,33,479,21743
10036,23,541219,179,585,18496
10037,23,423210,16,91,5810
10038,23,423220,18,715,41435
10039,23,423830,86,1096,68105
10040,23,424610,10,47,2825
10041,23,441222,62,484,22299
10042,23,441228,66,517,21668
10043,23,444210,44,371,15008
10044,23,446199,41,222,8508
10045,23,451130,43,220,2967
10046,23,453991,66,264,6328
10047,23,453998,114,434,17168
10048,23,484210,36,500,17499
10049,23,488991,5,41,1189
10050,23,515111,4,15,686
10051,23,515112,29,405,15883
10052,23,515120,17,603,31155
10053,23,522291,6,0,0
10054,23,522292,63,1222,89128
10055,23,522298,14,63,1948
10056,23,532310,22,111,4204
10057,23,541611,267,977,80090
10058,23,423840,41,360,21274
10059,23,423850,13,51,1672
10060,23,424690,28,191,14887
10061,23,444220,96,840,20136
10062,23,451140,14,66,1624
10063,23,484220,315,1318,56138
10064,23,492110,48,1963,86579
10065,23,515210,7,20,440
10066,23,522310,19,56,4412
10067,23,532412,12,187,11931
10068,23,541310,121,648,44809
10069,23,541612,18,50,3600
10070,23,541613,127,492,23927
10071,23,423310,29,411,24994
10072,23,423320,12,70,3373
10073,23,423860,7,50,3756
10074,23,424710,26,354,22638
10075,23,424720,10,97,4046
10076,23,441310,232,2206,56897
10077,23,447110,699,7016,132913
10078,23,451211,37,260,4197
10079,23,492210,7,129,3312
10080,23,522320,25,1144,117484
10081,23,522390,11,66,3959
10082,23,531110,291,1089,37209
10083,23,532490,31,162,6953
10084,23,533110,4,8,545
10085,23,541320,22,69,3897
10086,23,541614,19,48,2222
10087,23,541618,7,15,460
10088,23,541620,74,303,17190
10089,23,423330,15,194,12804
10090,23,423390,13,69,3277
10091,23,423910,24,80,3145
10092,23,424810,16,1200,56249
10093,23,441320,87,828,29714
10094,23,447190,95,538,13626
10095,23,452210,16,1314,22104
10096,23,454110,182,2275,78612
10097,23,484230,76,536,21450
10098,23,517311,193,2725,189323
10099,23,517312,68,1551,67259
10100,23,541330,298,3022,238424
10101,23,541340,17,55,2433
10102,23,541690,81,439,29927
10103,23,423410,4,16,592
10104,23,423420,24,414,23813
10105,23,423930,50,312,13560
10106,23,423940,9,17,876
10107,23,424820,13,177,8148
10108,23,445110,374,16047,381092
10109,23,454210,15,130,3941
10110,23,485210,5,0,0
10111,23,493110,50,4371,206912
10112,23,493120,6,45,2161
10113,23,493190,9,87,3820
