Fips,Establishments,Employees,Payroll
01001,676,7787,30790
01003,4414,47673,206717
01005,292,2594,9300
01007,198,2598,29225
01009,495,4279,20374
01011,69,993,12759
01013,292,3244,14285
01015,1620,21459,106566
01017,391,3318,13071
01019,262,2509,10992
01021,547,4170,19066
01023,162,1254,8999
01025,402,3645,18510
01027,122,1085,10109
01029,114,906,12426
01031,696,7785,40959
01033,865,14196,83435
01035,132,1464,10058
01037,72,595,3794
01039,582,5904,30405
01041,152,1689,11179
01043,1223,14802,81657
01045,506,5889,26220
01047,460,4930,26942
01049,741,8314,47345
01051,923,9125,45084
01053,523,5453,28959
01055,1414,18989,145625
01057,170,1419,13618
01059,353,3557,17845
01061,282,2128,13833
01063,54,512,4653
01065,111,1069,7999
01067,206,2504,61122
01069,1983,30861,227921
01071,554,5151,29524
01073,12967,266348,1737434
01075,146,969,4557
01077,1445,17474,93661
01079,282,2340,11378
01081,2266,30082,136730
01083,1096,10728,54575
01085,54,434,4853
01087,140,3969,65919
01089,6916,137467,2020435
01091,297,3606,19677
01093,339,4007,23907
01095,1272,16032,80507
01097,6637,108554,536690
01099,273,2349,12729
01101,4290,75262,412056
01103,1916,25656,141621
01105,74,889,5680
01107,161,1510,12278
01109,449,6618,30089
01111,213,1774,9730
01113,604,6178,27900
01115,1010,11261,50722
01117,4339,68759,377030
01119,128,1422,11346
01121,853,10921,47963
01123,563,6198,35149
01125,3126,49135,278271
01127,874,9011,58224
01129,128,1194,9305
01131,105,801,4764
01133,272,3720,22086
02013,35,110,1828
02016,73,662,6939
02020,7336,117264,871591
02050,147,1152,26168
02060,58,137,3106
02068,74,732,20171
02070,56,814,35323
02090,2011,19702,198498
02100,98,368,2930
02105,39,131,1699
02110,882,8313,65565
02122,1746,10767,101961
02130,409,2905,19964
02150,351,2086,21808
02158,27,139,1382
02164,24,45,1220
02170,2036,15333,144116
02180,124,1583,63065
02185,99,4052,162117
02188,37,1269,55011
02195,119,501,5360
02198,118,586,4721
02220,266,1925,24708
02230,42,180,2446
02240,117,1067,38152
02261,356,1601,14845
02275,61,291,4496
02282,9,31,1202
02290,48,134,725
04001,318,4911,72473
04003,1651,19496,118790
04005,3030,40037,273042
04007,811,8242,62233
04009,400,5582,59655
04011,55,3361,189451
04012,219,2325,21669
04013,84239,1407390,7859746
04015,3070,30020,202228
04017,1437,14258,113437
04019,16875,249971,1455443
04021,3176,38126,216384
04023,704,7142,74194
04025,4991,46577,301091
04027,2431,33133,185246
05001,329,3174,19570
05003,254,2513,17231
05005,821,9140,109357
05007,5868,89325,1014493
05009,622,7265,47300
05011,186,1467,9060
05013,23,147,1905
05015,516,4430,16653
05017,142,1359,15059
05019,386,4088,19724
05021,198,1726,14576
05023,442,3272,15558
05025,36,398,2706
05027,375,4213,17405
05029,286,2668,17849
05031,1906,30015,273175
05033,790,7402,34325
05035,599,7334,32125
05037,267,2467,13558
05039,110,1116,11328
05041,200,1604,10471
05043,290,3072,18467
05045,2163,25351,124976
05047,200,1871,11154
05049,109,1129,11593
05051,2194,25547,162034
05053,199,1842,6438
05055,536,7759,51764
05057,264,2735,13276
05059,356,2941,16836
05061,184,2262,18273
05063,549,8308,77886
05065,143,1182,11188
05067,215,1881,18245
05069,899,11926,87766
05071,263,2273,19659
05073,66,431,2213
05075,178,2057,12322
05077,82,648,6602
05079,108,738,5704
05081,103,912,6074
05083,260,1858,13406
05085,842,7527,32055
05087,156,910,4502
05089,162,829,3497
05091,518,5565,18869
05093,520,5803,37584
05095,125,1122,7118
05097,97,619,4454
05099,82,605,5868
05101,45,419,3625
05103,352,3431,22557
05105,78,496,3246
05107,251,2458,15538
05109,130,1065,3784
05111,230,1951,12272
05113,288,2669,20672
05115,1182,14365,70120
05117,95,700,3983
05119,9933,167243,1266728
05121,196,2636,17576
05123,325,3401,27018
05125,1658,16445,86791
05127,100,858,7787
05129,61,594,4743
05131,2533,37925,257733
05133,181,2094,12370
05135,223,1737,14799
05137,160,1332,11468
05139,779,10028,69202
05141,211,2087,10886
05143,4623,62151,384224
05145,1139,14555,92786
05147,79,503,5274
05149,219,2217,19038
06001,33990,535395,4520042
06003,33,507,2719
06005,630,5942,49601
06007,3721,48259,366489
06009,714,4794,27496
06011,245,2438,19393
06013,21393,276672,2186620
06015,316,3025,34151
06017,3955,40471,242133
06019,13719,203691,1221550
06021,339,3190,26424
06023,2429,25878,153448
06025,1832,20756,122834
06027,374,3890,34008
06029,10345,147354,790940
06031,1274,16202,126915
06033,868,7248,61849
06035,321,2753,20995
06037,242668,3001855,18656179
06039,1549,19800,197885
06041,8791,84862,645947
06043,255,2142,14319
06045,1841,16065,94224
06047,2394,27567,166632
06049,118,893,9659
06051,549,5950,66181
06053,6994,89159,515478
06055,3242,43992,308491
06057,2597,21879,125800
06059,85896,1221006,7233116
06061,9622,130733,872127
06063,499,2861,22465
06065,33130,432908,2403962
06067,25816,403920,3047501
06069,825,7876,52507
06071,28801,408182,2682507
06073,74715,1051024,7869012
06075,30487,651397,10718163
06077,9026,125884,795576
06079,6932,74345,415897
06081,18292,330919,8759310
06083,9790,120894,741048
06085,41820,946760,17876328
06087,5768,63042,380997
06089,3559,38236,261661
06091,51,179,1788
06093,833,5853,38423
06095,5736,82575,734649
06097,11426,126133,855865
06099,7110,95564,766704
06101,1397,15841,91114
06103,730,7648,54102
06105,179,990,7437
06107,5019,63690,391035
06109,1008,9523,71221
06111,17963,194923,1268897
06113,3424,49394,283141
06115,628,9796,89895
08001,8345,131064,944268
08003,374,4354,42409
08005,16835,254762,1773846
08007,406,2887,13743
08009,58,407,6232
08011,29,209,2452
08013,11191,122895,1192992
08014,1905,36801,458266
08015,794,4978,26833
08017,42,526,8741
08019,262,2636,18973
08021,65,405,4955
08023,22,99,548
08025,16,124,1827
08027,109,340,1794
08029,661,4759,30024
08031,23152,391672,2507672
08033,40,160,1225
08035,8719,94477,575004
08037,3039,27045,153635
08039,559,2317,28777
08041,15376,207238,1181085
08043,715,5971,43645
08045,2148,17276,111228
08047,108,3863,63530
08049,740,7575,32033
08051,983,5427,29463
08053,39,90,791
08055,111,843,10460
08057,39,185,1664
08059,15204,162950,960803
08061,15,176,3271
08063,212,1450,8423
08065,174,1146,4516
08067,2019,18174,119404
08069,9456,97745,566509
08071,283,2263,17670
08073,103,982,6324
08075,413,3433,22872
08077,3664,41359,283749
08079,45,130,1891
08081,296,2511,17689
08083,578,4670,28985
08085,1065,8778,67630
08087,545,5580,31271
08089,306,2993,24615
08091,255,1006,8201
08093,412,1328,9214
08095,98,807,8718
08097,1385,16205,96586
08099,243,1913,13792
08101,2518,39037,300820
08103,150,1410,25218
08105,285,1919,11186
08107,1530,12085,63193
08109,96,664,4667
08111,43,138,1305
08113,588,4749,27250
08115,43,319,2931
08117,1940,17674,98372
08119,672,5101,26061
08121,78,252,1217
08123,5347,67096,426605
08125,274,1905,13554
09001,22211,332183,3068112
09003,17946,346246,3138396
09005,3637,34292,249487
09007,3288,43498,399960
09009,15132,263457,2032298
09011,4556,72336,567480
09013,1853,18183,124958
09015,1546,17380,156454
10001,3329,39045,278892
10003,14032,224552,2035821
10005,4709,46947,311758
12001,5214,81153,773583
12003,301,3777,37573
12005,3829,43715,254597
12007,308,2278,11305
12009,11896,140961,853345
12011,54015,567451,2996173
12013,140,1140,11477
12015,3376,28424,203576
12017,2274,24356,224652
12019,3315,34533,209901
12021,11012,110224,598262
12023,1071,14299,118240
12027,369,3060,21310
12029,132,699,2770
12031,21592,357038,2083537
12033,5666,91240,555004
12035,1938,14818,69150
12037,222,1680,8889
12039,506,5803,50334
12041,203,1681,13027
12043,86,611,4179
12045,267,1437,5975
12047,105,617,3136
12049,308,3467,19130
12051,489,4617,24683
12053,2833,25717,211273
12055,1546,14823,130245
12057,33043,523502,3092012
12059,193,1272,9663
12061,3652,36021,210112
12063,581,5832,32242
12065,203,1007,3678
12067,61,389,2464
12069,6424,65572,411918
12071,16636,182146,1028723
12073,6666,84167,495650
12075,587,3725,17843
12077,50,451,6241
12079,222,1862,15713
12081,7945,79117,368312
12083,5898,59323,332907
12085,4750,47478,306520
12086,73745,756596,4131574
12087,3020,25254,223514
12089,1586,14634,78780
12091,4562,46893,281663
12093,641,5007,30526
12095,33925,636246,2805283
12097,5720,69401,332504
12099,43808,445268,2357598
12101,8415,77939,514751
12103,24683,315775,1960451
12105,9679,136800,681890
12107,957,7938,47700
12109,5911,51927,248805
12111,5246,48831,272940
12113,2529,22792,110977
12115,12209,113790,711915
12117,11929,148866,755248
12119,1373,21790,127790
12121,503,4672,23242
12123,284,2055,10474
12125,83,871,7030
12127,10805,117813,577395
12129,361,2248,9016
12131,2228,17722,108462
12133,326,3223,14372
13001,267,3796,51101
13003,42,570,5962
13005,154,2001,10777
13007,15,111,1798
13009,598,9392,91410
13011,214,2222,11681
13013,1032,11784,64655
13015,1649,19935,86754
13017,181,1923,9835
13019,173,1125,5408
13021,3152,57472,405474
13023,122,1200,4467
13025,130,758,3822
13027,157,1548,10838
13029,575,4890,20051
13031,1157,12455,66733
13033,265,10093,350986
13035,262,2483,13384
13037,40,303,3087
13039,660,6974,39111
13043,151,1557,8788
13045,1650,22313,134911
13047,687,6987,30550
13049,103,1136,11128
13051,6224,96789,480838
13053,87,1432,21530
13055,218,1868,8948
13057,4879,42447,206965
13059,2483,34998,263218
13061,18,179,5331
13063,2688,42094,201967
13065,88,823,4161
13067,18192,287710,1802392
13069,555,7014,45628
13071,626,6571,54806
13073,2163,22364,89830
13075,199,1834,7768
13077,2135,24744,122919
13079,80,343,1855
13081,331,4396,27557
13083,138,1716,13931
13085,513,4283,19295
13087,420,3939,19951
13089,14676,221136,1387070
13091,210,2063,17778
13093,97,773,3411
13095,1656,26349,181640
13097,2081,24857,128707
13099,134,1619,7085
13101,14,64,1690
13103,609,4750,26334
13105,272,1997,8303
13107,244,2397,14895
13109,134,1609,7593
13111,480,3524,19637
13113,3045,32669,179709
13115,1500,24001,188440
13117,5938,58071,329664
13119,302,3159,14146
13121,33845,684841,5679444
13123,439,3357,12674
13125,12,98,2214
13127,2012,22616,145492
13129,692,10384,62548
13131,310,2331,9901
13133,355,4260,35097
13135,21150,261534,1414643
13137,651,6257,23954
13139,3579,49503,383043
13141,28,302,2992
13143,324,2806,17580
13145,375,2539,8751
13147,308,2363,8507
13149,77,580,8216
13151,3186,36961,194002
13153,2009,28546,162214
13155,80,999,8140
13157,1009,11166,57669
13159,142,858,4515
13161,130,1588,7190
13163,201,1834,6913
13165,70,813,5404
13167,80,494,3369
13169,262,1953,9155
13171,193,1844,7580
13173,63,494,4306
13175,770,10115,73584
13177,314,3311,30944
13179,634,7917,48520
13181,110,578,2576
13183,68,327,1350
13185,2112,28617,159798
13187,421,3623,20064
13189,289,2953,15708
13191,119,804,4057
13193,112,958,7260
13195,286,1780,8285
13197,47,707,10865
13199,185,1973,19858
13201,95,1085,16218
13205,241,1920,9823
13207,406,4116,22890
13209,63,516,4258
13211,395,3676,16230
13213,240,2928,22179
13215,3399,64380,477280
13217,1107,12114,77040
13219,1074,9637,46969
13221,133,926,4407
13223,1738,14959,80283
13225,327,3344,14216
13227,573,4664,34634
13229,230,1972,9537
13231,213,1544,9755
13233,416,4583,25395
13235,123,1609,22967
13237,337,2764,11204
13239,13,42,525
13241,397,3267,16114
13243,90,760,5904
13245,3266,66921,700495
13247,1665,21059,121582
13249,41,226,1733
13251,148,953,5029
13253,109,1137,10022
13255,836,11321,85201
13257,364,4266,22100
13259,36,619,13371
13261,418,5700,59505
13263,42,411,5202
13265,3,4,69
13267,215,3073,18741
13269,79,597,4431
13271,110,1180,7870
13273,111,870,3272
13275,847,12135,91817
13277,767,12049,90732
13279,467,5816,40556
13281,217,1856,12016
13283,41,260,1993
13285,1030,16617,80762
13287,102,811,3556
13289,45,371,3272
13291,451,4044,34182
13293,320,3234,34338
13295,478,5063,17317
13297,1436,11384,55607
13299,617,7304,53003
13301,46,313,2818
13303,243,3209,22752
13305,426,3814,24694
13307,14,62,793
13309,20,129,5520
13311,477,4578,21568
13313,1465,25803,145782
13315,53,709,6239
13317,117,999,5636
13319,87,1335,20811
13321,194,1747,9609
15001,3264,41036,227296
15003,17495,284334,1494161
15007,1656,21075,113874
15009,3745,52751,350271
16001,12923,172713,1011915
16003,78,267,1314
16005,1774,18265,117269
16007,89,705,7768
16009,185,1063,6902
16011,710,7124,49284
16013,1315,10175,55810
16015,141,566,2570
16017,1392,9129,37639
16019,2996,44173,387961
16021,303,1669,10702
16023,35,233,3629
16025,21,83,681
16027,3996,38960,200908
16029,128,773,6826
16031,508,4782,23581
16033,3,6,353
16035,176,1255,12825
16037,141,523,3512
16039,342,2581,15112
16041,243,1461,8438
16043,235,1320,8864
16045,332,2215,16815
16047,249,1742,16204
16049,366,2224,19809
16051,435,2790,17873
16053,378,3168,15305
16055,4408,42855,265267
16057,777,7130,29717
16059,231,1475,11273
16061,74,398,2038
16063,56,293,2301
16065,729,16205,103786
16067,329,3316,27270
16069,869,10073,60562
16071,56,399,3843
16073,166,1610,8974
16075,439,3591,18702
16077,123,968,5176
16079,256,2824,17703
16081,483,2260,17360
16083,2160,21812,119748
16085,576,3656,20949
16087,161,1116,6628
17001,1345,20256,161230
17003,52,367,2891
17005,235,2342,9933
17007,593,5076,22951
17009,76,2663,90381
17011,530,5663,48949
17013,46,311,1466
17015,258,1806,10740
17017,168,1785,11618
17019,3368,51239,396731
17021,531,5054,27092
17023,258,2071,8755
17025,251,1878,13121
17027,648,5969,32494
17029,866,13681,103559
17031,107191,1900926,14340315
17033,323,3242,15478
17035,129,878,6143
17037,1526,17204,107638
17039,264,3024,28564
17041,351,2757,13421
17043,26897,444653,2841688
17045,230,2798,26194
17047,100,542,4230
17049,924,21576,229724
17051,358,3081,14002
17053,247,2807,33425
17055,503,4476,19202
17057,452,4345,34641
17059,46,275,1775
17061,143,1120,6459
17063,891,9666,67472
17065,135,1006,7063
17067,267,1861,11757
17069,34,421,7576
17071,78,508,3884
17073,766,6586,39619
17075,494,3961,29187
17077,949,11264,91497
17079,157,1077,5994
17081,692,9116,86784
17083,307,3469,16579
17085,472,3809,17943
17087,115,921,3747
17089,10057,129991,687227
17091,1704,23642,156131
17093,1753,13708,52938
17095,738,9504,55044
17097,16066,237035,2213984
17099,1883,22060,90886
17101,182,1881,9557
17103,534,5507,43723
17105,608,6187,34870
17107,430,4727,26267
17109,488,5237,35890
17111,6306,56826,346633
17113,2758,57588,768284
17115,1779,29425,184022
17117,628,5594,24293
17119,4376,57144,294977
17121,653,6364,53800
17123,172,1261,7621
17125,187,1456,12492
17127,164,2104,18355
17129,141,678,3252
17131,194,1294,6751
17133,676,6435,23723
17135,496,4823,24753
17137,577,8527,44329
17139,227,2170,13388
17141,760,6946,38722
17143,3369,81727,856680
17145,303,2989,21746
17147,251,1625,10001
17149,258,2090,13891
17151,36,161,947
17153,55,331,2097
17155,89,497,8437
17157,485,6198,42608
17159,328,3087,19794
17161,2438,42367,299216
17163,3927,50402,293580
17165,394,4751,41916
17167,3939,65287,532995
17169,119,848,6708
17171,58,308,2837
17173,311,2444,10482
17175,71,501,5214
17177,764,10421,83974
17179,2141,25920,109819
17181,266,2177,20659
17183,985,14181,134124
17185,196,2357,18226
17187,269,2281,11022
17189,278,2902,21347
17191,261,2229,17408
17193,250,2132,11248
17195,844,9612,58942
17197,12073,162544,839445
17199,1208,15783,156776
17201,4531,70607,468625
17203,562,5201,26268
18001,498,5075,27786
18003,7343,125141,821312
18005,1386,26959,178292
18007,106,633,3596
18009,165,1274,10422
18011,1299,15537,79326
18013,245,1585,7538
18015,275,1892,7189
18017,466,6550,49248
18019,1849,27716,147975
18021,329,2661,15784
18023,427,3947,20408
18025,91,655,4801
18027,638,6631,37706
18029,699,8202,50629
18031,421,5154,27995
18033,697,7569,35776
18035,1810,30275,212048
18037,901,13428,104180
18039,3279,47276,275579
18041,284,2849,21545
18043,1519,19567,147213
18045,213,1405,5728
18047,318,3200,18574
18049,299,2376,14158
18051,487,6302,25396
18053,929,18116,114996
18055,394,2957,17660
18057,8281,131775,848975
18059,1172,14407,114860
18061,498,5861,41336
18063,2721,40789,245496
18065,612,6787,46492
18067,1332,17008,107414
18069,610,6907,29414
18071,715,9175,54823
18073,519,4517,19898
18075,304,2411,11412
18077,477,6358,40280
18079,291,2847,26104
18081,2544,31616,168143
18083,627,9656,69916
18085,1451,20547,172874
18087,534,4332,20488
18089,7737,117241,815773
18091,1591,20899,120368
18093,636,6639,48827
18095,1741,23319,123738
18097,19011,406656,2589964
18099,738,9306,44506
18101,137,1287,27494
18103,402,3338,17780
18105,2522,37938,216827
18107,615,6158,32237
18109,918,8344,39809
18111,164,1227,6698
18113,582,5983,26270
18115,62,768,7676
18117,267,4655,76773
18119,217,1548,7386
18121,187,1243,5106
18123,236,2513,17997
18125,137,1407,11423
18127,2833,35446,180073
18129,387,3239,14138
18131,215,1714,14095
18133,563,6847,36291
18135,322,2843,15920
18137,466,5467,35296
18139,264,2474,15069
18141,4471,87371,465656
18143,284,3445,21141
18145,687,8153,47705
18147,295,2508,10433
18149,205,1535,7779
18151,646,6588,25380
18153,234,2277,11146
18155,90,1178,15479
18157,2908,42885,267112
18159,226,1922,12646
18161,70,411,1582
18163,3936,76739,473206
18165,182,2446,29018
18167,1808,28177,210957
18169,532,6708,32989
18171,87,598,6108
18173,985,11162,118808
18175,323,2021,11394
18177,1040,15616,134536
18179,464,5422,41310
18181,404,3210,13501
18183,494,4991,24132
19001,154,1076,5720
19003,64,486,6141
19005,271,2156,16002
19007,201,1983,17507
19009,126,891,6739
19011,380,2709,17641
19013,2391,39078,235312
19015,462,4689,32525
19017,454,6331,44592
19019,348,2987,22108
19021,388,4233,22122
