Fips,Establishments,Employees,Payroll
01001,678,7386,7564
01003,5423,62375,39754
01005,271,3058,13243
01007,146,1980,22272
01009,496,3839,3635
01011,37,613,11443
01013,261,2858,3928
01015,1932,26205,17461
01017,378,3098,4175
01019,225,1818,4655
01021,563,4161,3933
01023,146,1148,5826
01025,427,3979,6180
01027,97,2388,51079
01029,79,442,1169
01031,726,7288,9497
01033,977,12450,11458
01035,102,1103,3555
01037,37,116,621
01039,599,5396,5654
01041,115,846,2772
01043,1499,17367,14732
01045,500,7713,101380
01047,465,3781,3764
01049,892,11406,12399
01051,1014,9677,8915
01053,560,4992,5038
01055,1650,22898,24363
01057,143,1024,1408
01059,345,4097,11180
01061,273,1542,2211
01063,32,287,3612
01065,73,673,2059
01067,164,1192,2211
01069,2397,32988,25811
01071,593,4893,5382
01073,16249,331394,321705
01075,119,926,2026
01077,1651,18980,13840
01079,262,1871,2990
01081,2710,36775,20525
01083,1205,11109,10992
01085,48,297,2075
01087,102,1013,1852
01089,8364,167306,421483
01091,278,2983,6566
01093,352,4105,12563
01095,1604,28048,89332
01097,8530,145384,80197
01099,247,2739,9130
01101,5231,90891,67956
01103,2301,35913,28955
01105,46,322,1311
01107,141,1254,3526
01109,458,6917,12551
01111,185,1312,2299
01113,612,6313,7125
01115,1114,13158,11629
01117,5046,78296,79725
01119,90,1426,15073
01121,988,12737,12573
01123,566,6445,8636
01125,3782,62654,43182
01127,984,9804,9359
01129,103,668,3564
01131,85,573,1539
01133,273,4362,21501
02013,34,2268,85005
02016,37,2722,87108
02020,8398,140898,142843
02050,150,1522,6524
02060,46,166,8878
02068,54,218,3592
02070,41,459,5018
02090,2192,21576,20282
02100,47,188,1554
02105,45,174,1217
02110,839,7399,8086
02122,1951,12191,17043
02130,400,2778,4869
02150,312,3602,36741
02158,47,468,2871
02164,21,62,1822
02170,2165,17630,13112
02180,72,864,8385
02185,79,2799,169660
02188,21,257,4065
02195,64,279,8206
02198,95,686,2686
02220,216,1485,5185
02230,39,153,1070
02240,74,956,41151
02261,320,1403,5334
02275,27,45,276
02290,52,170,596
04001,304,4972,29790
04003,1882,22539,20175
04005,3478,46098,55510
04007,785,7681,26343
04009,337,3815,4100
04011,26,239,2003
04012,198,2084,3949
04013,99995,1819396,870138
04015,3664,42316,36194
04017,1541,16194,19840
04019,20130,318414,194076
04021,3660,46800,38986
04023,862,8575,21092
04025,5846,55940,47183
04027,2847,36887,21865
05001,312,4119,17674
05003,226,1920,3452
05005,791,7755,8863
05007,6788,120480,634076
05009,630,7440,9770
05011,136,996,5599
05013,14,42,248
05015,499,4143,5758
05017,114,760,2109
05019,339,3380,5983
05021,174,1318,2890
05023,387,3195,5599
05025,21,146,2147
05027,351,3780,6660
05029,225,1992,4503
05031,2316,32677,23894
05033,811,10853,42350
05035,622,8248,9663
05037,230,1894,2748
05039,79,707,4813
05041,175,1385,2210
05043,241,2225,3902
05045,2437,27686,24636
05047,142,1295,4685
05049,83,732,1908
05051,2512,26694,18508
05053,142,1163,3903
05055,535,6207,12288
05057,214,1960,3063
05059,336,3114,6157
05061,133,1203,3674
05063,566,9153,38957
05065,99,953,2311
05067,164,1098,2046
05069,983,9514,10315
05071,216,1884,3924
05073,45,209,828
05075,157,1109,1812
05077,42,340,1804
05079,68,498,1798
05081,71,614,1942
05083,217,2117,8446
05085,870,7614,8614
05087,103,617,1426
05089,126,1750,22949
05091,478,6506,10371
05093,548,8635,102300
05095,96,762,2155
05097,46,221,501
05099,50,276,754
05101,33,357,965
05103,309,3121,5034
05105,42,225,532
05107,201,2070,3949
05109,124,874,1305
05111,234,2182,4191
05113,230,1963,2836
05115,1287,13573,8788
05117,74,418,1052
05119,11989,204191,225274
05121,169,2207,6402
05123,296,2454,2415
05125,1875,18746,12811
05127,56,475,1281
05129,45,290,729
05131,3037,47627,40702
05133,140,1654,6395
05135,192,1496,3270
05137,108,612,1642
05139,808,9386,26078
05141,160,1228,2619
05143,5451,83838,72061
05145,1324,13006,12795
05147,61,466,1679
05149,208,1644,3360
06001,40974,691465,509273
06003,16,78,861
06005,607,4675,6327
06007,4335,58413,81823
06009,717,4916,4377
06011,228,2021,7542
06013,24511,338587,296724
06015,263,2467,7059
06017,4422,42896,32617
06019,17384,276428,149205
06021,328,2658,2899
06023,2888,31073,21615
06025,2290,26627,15158
06027,325,2969,5129
06029,13163,193431,114004
06031,1449,18151,24326
06033,852,6902,7749
06035,252,2030,4689
06037,291217,3911936,2037647
06039,1804,19219,15711
06041,9751,99128,98928
06043,157,1418,5345
06045,2133,20225,19142
06047,3004,38815,24759
06049,48,316,2439
06051,476,5441,25228
06053,8590,113520,93958
06055,4082,55194,147075
06057,2848,24373,18432
06059,101378,1544072,794574
06061,11114,153715,116528
06063,456,3106,11536
06065,41485,611604,315934
06067,31050,497728,375736
06069,789,7280,7885
06071,37721,628695,424906
06073,88377,1327067,824206
06075,34367,710332,1742431
06077,11892,191438,128181
06079,8301,89729,47276
06081,21201,428426,2636018
06083,11702,147148,108293
06085,48694,1117689,5798399
06087,6683,76287,57099
06089,4115,47124,34613
06091,26,111,548
06093,824,5342,4630
06095,6981,109088,91659
06097,13937,166624,102217
06099,9058,137455,99180
06101,1685,19675,15557
06103,764,8492,15818
06105,123,673,1494
06107,6358,90557,64083
06109,985,7290,7427
06111,21440,256579,151437
06113,3957,61544,37990
06115,591,5666,8463
08001,10319,182279,150838
08003,312,3295,4057
08005,19152,294546,294968
08007,318,1765,3068
08009,36,127,658
08011,6,38,620
08013,12711,151323,140703
08014,2012,39122,203246
08015,784,4333,5134
08017,16,273,9903
08019,193,1026,3750
08021,38,181,933
08023,11,78,469
08025,7,30,405
08027,70,231,1426
08029,592,3662,3659
08031,26514,468398,448286
08033,7,27,746
08035,9698,110455,78948
08037,3324,26762,33587
08039,464,1996,4217
08041,17906,250505,150142
08043,683,5621,5242
08045,2280,17174,13665
08047,41,3702,59240
08049,704,7267,14035
08051,954,4994,5721
08053,14,28,438
08055,63,390,1255
08057,14,73,852
08059,17382,196158,118386
08061,4,73,1630
08063,154,1119,2115
08065,99,544,1289
08067,2134,16814,15624
08069,11044,125073,66166
08071,207,1682,3025
08073,58,584,1885
08075,371,2758,3278
08077,4266,50397,42999
08079,22,61,681
08081,204,1283,1769
08083,518,3792,4072
08085,1059,8494,6082
08087,524,6843,36471
08089,225,1700,2346
08091,190,825,2349
08093,333,1170,1999
08095,51,369,2752
08097,1456,16409,37800
08099,182,1374,2241
08101,2885,40449,24896
08103,109,760,3634
08105,209,1488,3950
08107,1542,11770,19062
08109,56,304,1525
08111,31,71,626
08113,503,4558,10462
08115,12,33,318
08117,2102,19750,33592
08119,579,3733,8395
08121,39,134,1207
08123,6401,86238,83518
08125,218,1258,2778
09001,26347,419516,414618
09003,22279,455305,433190
09005,4303,47089,32717
09007,3887,48912,45012
09009,18886,334189,442362
09011,5517,76348,76812
09013,2060,22155,17862
09015,1808,22282,19315
10001,3843,44130,23628
10003,16494,272243,331987
10005,5743,70280,70891
12001,6146,98106,173717
12003,262,3095,12456
12005,4550,54768,46443
12007,252,2609,6553
12009,14375,184371,134501
12011,64313,731985,371840
12013,77,508,1185
12015,3872,37111,34920
12017,2570,27505,35702
12019,3846,39500,30642
12021,12690,135216,103915
12023,1139,14728,31480
12027,320,3424,12013
12029,102,989,6795
12031,26417,466488,279110
12033,6813,109044,122017
12035,2081,16054,13627
12037,168,1373,3468
12039,457,3028,2611
12041,142,775,1249
12043,37,202,595
12045,203,1325,1744
12047,69,591,1611
12049,247,2585,4529
12051,430,3830,4293
12053,3222,33091,31700
12055,1750,17807,19758
12057,39363,633220,370143
12059,149,956,1508
12061,4164,43986,33676
12063,620,6646,7768
12065,128,646,1107
12067,36,188,1377
12069,7648,86125,60085
12071,19832,232971,150610
12073,7613,94200,50172
12075,569,4027,5521
12077,22,144,2828
12079,164,1416,2281
12081,9504,105176,54049
12083,7168,76871,41346
12085,5515,59095,44410
12086,90124,1004133,566337
12087,3646,31139,62214
12089,1693,16444,17087
12091,5388,60188,44405
12093,634,4752,4240
12095,40866,782747,551516
12097,6865,83716,71139
12099,51236,548972,321306
12101,10239,104198,88460
12103,29643,398906,264233
12105,12207,192582,141103
12107,998,8704,6034
12109,6847,62792,43615
12111,6157,62057,38092
12113,2761,26879,21967
12115,14196,144263,100177
12117,13978,182740,102283
12119,1470,20577,24378
12121,472,4445,6166
12123,249,2126,3406
12125,51,431,1668
12127,13109,153046,94531
12129,296,2098,2260
12131,2479,20186,23995
12133,252,1926,2824
13001,210,2442,5912
13003,23,169,891
13005,113,682,1552
13009,628,7480,7548
13011,154,1644,4435
13013,1072,10692,9640
13015,1875,24235,16571
13017,153,1371,3054
13019,117,960,1632
13021,3865,69950,104448
13023,68,739,1575
13025,117,636,1339
13027,84,464,1060
13029,520,4591,5299
13031,1262,12830,10405
13033,220,2536,26817
13035,239,2611,4158
13037,17,106,2593
13039,625,6776,13656
13043,117,1071,1924
13045,1877,24612,22859
13047,715,7550,7945
13049,58,449,1731
13051,7945,139260,134018
13053,45,970,16117
13055,184,1491,2431
13057,5560,53391,30566
13059,2844,36522,34590
13061,6,37,347
13063,3667,63519,50742
13065,42,247,739
13067,21195,341818,342276
13069,619,7777,12807
13071,688,5402,4520
13073,2349,27221,18116
13075,153,1389,3680
13077,2439,29400,21437
13079,49,244,800
13081,299,3321,5004
13083,96,1356,10047
13085,551,6337,6890
13087,392,3117,3409
13089,17575,275570,308308
13091,155,1589,2894
13093,80,739,2134
13095,1942,27906,20415
13097,2459,32731,21621
13099,104,1106,4170
13101,3,16,1042
13103,602,4583,5629
13105,272,2628,16521
13107,218,1925,3129
13109,94,790,2365
13111,443,3346,5006
13113,3430,38252,28591
13115,1720,24259,24572
13117,6651,67591,37874
13119,269,2714,4391
13121,38802,840083,1151722
13123,382,3342,4396
13125,3,5,93
13127,2308,25064,23872
13129,786,15211,46522
13131,241,1800,4074
13133,273,3446,21012
13135,25361,336982,166906
13137,623,5433,6223
13139,4308,63087,76644
13141,17,89,536
13143,301,2879,4786
13145,300,2162,3100
13147,237,1667,2715
13149,39,245,4979
13151,3909,50049,42004
13153,2394,32974,24774
13155,23,91,454
13157,1180,21934,67872
13159,85,451,1011
13161,134,1785,7282
13163,171,1795,6012
13165,30,273,1604
13167,56,321,1136
13169,189,1389,1785
13171,143,1065,1586
13173,39,267,739
13175,834,9780,8477
13177,229,2095,3040
13179,654,9706,33376
13181,76,408,1559
13183,24,116,572
13185,2524,33967,24375
13187,346,2976,4875
13189,242,2330,3643
13191,80,623,1843
13193,70,590,3695
13195,239,1591,2199
13197,27,162,655
13199,162,1260,3355
13201,41,283,2096
13205,196,1391,2003
13207,367,4183,10234
13209,48,279,1114
13211,305,2838,6856
13213,240,4300,23521
13215,4104,75066,97505
13217,1232,11800,11355
13219,1005,9593,8758
13221,79,423,1348
13223,1902,16796,14948
13225,321,3175,4032
13227,493,3894,6349
13229,193,1632,2995
13231,139,825,2561
13233,408,4475,6035
13235,83,667,1521
13237,284,2176,3112
13239,6,16,472
13241,330,2965,5023
13243,48,366,3196
13245,4004,74216,212972
13247,1890,24275,24584
13249,16,32,303
13251,120,838,1305
13253,85,648,1517
13255,885,12241,14186
13257,305,2963,4126
13259,6,13,176
13261,382,4495,13287
13263,9,212,4654
13267,193,1895,6705
13269,55,425,2409
13271,84,634,1673
13273,57,578,2020
13275,888,11099,29057
13277,838,12428,14346
13279,461,4724,6038
13281,150,1143,2598
13283,24,132,658
13285,1140,19394,28492
13287,72,566,1315
13289,22,128,639
13291,391,3016,7829
13293,292,2690,6799
13295,475,4185,6282
13297,1517,12958,13088
13299,657,7052,7385
13301,16,71,254
13303,194,2512,13933
13305,415,3267,4206
13307,6,31,993
13309,23,177,4246
13311,461,3916,5128
13313,1903,48446,192307
13315,35,165,1189
13317,88,807,3492
13319,64,1365,16836
13321,137,1610,5564
15001,3915,52365,49821
15003,21058,359175,208892
15007,1870,23897,29784
15009,4545,63540,100261
16001,15014,214433,165063
16003,30,130,978
16005,1971,19813,15190
16007,45,320,688
16009,145,1380,13828
16011,719,6670,10324
16013,1329,10187,13805
16015,93,320,780
16017,1472,9599,6097
16019,3465,43881,40168
16021,259,1482,2996
16023,3,25,628
16027,4664,48293,21250
16029,59,365,1191
16031,502,4518,4160
16035,115,645,1857
16037,83,320,1504
16039,307,2426,2040
16041,188,908,1631
16043,211,946,1332
16045,275,1533,1789
16047,233,1428,1733
16049,333,1700,1932
16051,412,2697,3954
16053,383,3344,5259
16055,5058,51624,29682
16057,739,6513,5038
16059,148,816,1151
16061,35,307,2064
16063,25,97,744
16065,767,6237,4930
16067,289,2691,5655
16069,894,9634,7991
16071,33,225,1312
16073,106,693,1326
16075,359,3003,6931
16077,58,687,7164
16079,188,1482,4856
16081,396,1869,3337
16083,2498,23902,13113
16085,501,3350,6545
16087,109,690,1384
17001,1441,19144,26373
17003,18,93,319
17005,173,1164,1729
17007,570,5205,5451
17009,30,228,1283
17011,499,4322,6150
17013,21,136,565
17015,194,1171,1679
17017,126,804,1696
17019,3940,55013,35208
17021,510,4326,6081
17023,202,1487,3398
17025,197,3079,49415
17027,649,6118,6112
17029,856,12236,12906
17031,133684,2436407,1764826
17033,260,2358,3178
17035,84,718,2242
17037,1652,19571,20344
17039,198,1600,5870
17041,367,3258,4790
17043,33671,572557,362802
17045,197,1847,3135
17047,66,380,1521
17049,987,22791,187904
17051,319,2618,2841
17053,208,1824,4422
17055,498,3884,3794
17057,414,3781,4875
17059,22,132,1375
17061,135,979,2302
17063,926,11933,32761
17065,78,457,1114
17067,262,1555,2371
17069,18,74,562
17071,54,329,1649
17073,785,6937,8309
17075,460,3294,3824
17077,967,10768,11397
17079,118,744,1824
17081,679,7581,9235
17083,244,2224,2957
17085,474,3429,4939
17087,75,671,1735
17089,12636,177454,88397
17091,1980,26793,16593
17093,2015,19772,16891
17095,765,9506,8402
17097,19490,308580,572666
17099,2242,27538,18485
17101,129,1103,2455
17103,481,4261,6304
17105,640,6898,12401
17107,395,3337,3849
17109,417,4019,3971
17111,7708,79239,46668
17113,3191,62031,511656
17115,2038,33354,53488
17117,647,4952,5031
17119,5250,77997,53059
17121,638,4861,4401
17123,131,974,2779
17125,145,989,2566
17127,100,724,1804
17129,83,500,1569
17131,144,747,1748
17133,619,5767,7075
17135,471,3983,4485
17137,557,6142,6746
17139,190,2643,19202
17141,784,8450,21910
17143,3968,89311,373995
17145,230,1708,2313
17147,191,1157,2538
17149,211,1735,3144
17151,11,77,548
17153,39,228,1828
17155,39,223,3762
17157,447,4940,9324
17159,270,2937,13622
17161,2768,52548,134568
17163,4726,65004,38308
17165,364,3833,7403
17167,4582,68354,57319
17169,66,347,861
17171,31,119,673
17173,264,1680,2156
17175,38,186,1302
17177,767,10083,20754
17179,2461,35319,25895
17181,216,1787,3354
17183,1064,14189,39576
17185,126,1050,4835
17187,217,1791,2451
17189,223,2422,8615
17191,233,1460,2069
17193,214,1655,3432
17195,865,10758,12113
17197,15552,230756,133006
17199,1282,17703,29116
17201,5906,106994,70679
17203,555,6396,8201
18001,511,4789,3795
18003,9035,166154,109581
18005,1584,36280,77588
18007,77,410,1455
18009,135,983,2651
18011,1332,18348,45870
18013,183,1137,2735
18015,249,1584,2207
18017,457,6796,7385
18019,2205,38469,33557
18021,304,2697,3698
18023,403,4089,7165
18025,44,443,5039
18027,698,6707,6640
18029,717,6821,6466
18031,388,4758,6581
18033,694,10886,15960
18035,2059,31510,32830
18037,1035,20107,43360
18039,4665,121066,407984
18041,223,2331,5078
18043,1566,20647,16248
18045,169,1196,2185
18047,275,2734,3936
18049,268,2172,2349
18051,498,8049,23031
18053,975,14471,21833
18055,333,2103,2213
18057,9269,146099,128271
18059,1159,13625,15449
18061,475,3831,3432
18063,3227,60263,93356
18065,589,5751,6665
18067,1530,24173,86250
18069,600,5637,6001
18071,759,9954,15930
18073,538,5119,5771
18075,237,1707,4076
18077,449,5275,5568
18079,251,2508,5147
18081,3032,44351,28741
18083,594,7490,8118
18085,1658,28180,113032
18087,635,9309,107478
18089,9782,161038,146486
18091,1871,23622,18864
18093,658,6760,6986
18095,1960,25691,23359
18097,23184,516953,352036
18099,782,9598,8432
18101,99,1136,18588
18103,363,3162,4381
18105,2805,46027,53599
18107,601,5517,6326
18109,943,8496,7119
18111,148,995,2822
18113,614,7098,12662
18115,18,42,198
18117,202,4539,44117
18119,179,1289,1697
18121,126,753,1136
18123,169,1133,1766
18125,78,682,3242
18127,3290,46779,77841
18129,333,4724,22700
18131,180,1117,1525
18133,506,5765,8302
18135,272,2053,2736
18137,448,5324,17679
18139,205,1504,2897
18141,5600,113669,130669
18143,234,3003,6049
18145,653,6407,6421
18147,241,1724,2773
18149,157,1156,2404
18151,679,7287,6111
18153,171,1452,1864
18155,42,182,568
18157,3383,56028,42230
18159,158,1260,2707
18161,36,191,678
18163,4792,89243,51942
18165,142,1515,4079
18167,2077,30058,19738
18169,495,4687,4070
18171,45,226,1202
18173,969,10112,19202
18175,265,1600,2212
18177,1144,14759,13699
18179,412,5247,12475
18181,375,2712,2908
18183,452,5486,7142
19001,106,732,1238
19003,28,124,466
19005,228,1658,2786
19007,126,1377,2927
19009,96,458,1010
19011,383,2546,2704
19013,2856,51050,56308
19015,388,3987,12471
19017,408,5350,13809
19019,323,2769,4151
19021,351,3346,4018
19023,220,1282,3185
19025,175,1269,2977
19027,644,5298,5300
19029,292,2498,3625
19031,316,2781,4449
19033,1135,13463,14794
19035,198,1668,2919
19037,237,1646,3232
19039,67,580,1161
19041,371,3655,5132
19043,374,2516,3790
19045,873,9053,8463
19047,268,2448,3732
19049,1983,35025,235470
19051,75,460,1130
19053,34,173,659
19055,317,2042,2779
19057,818,10136,10750
19059,551,3920,4347
19061,2407,42796,32362
19063,159,1251,1865
19065,385,2879,3296
19067,233,2207,3355
19069,171,1151,2527
19071,101,850,3882
19073,132,1076,6426
19075,180,1688,4187
19077,193,1039,1453
19079,228,2602,13402
19081,202,1434,2813
19083,360,3386,5336
19085,226,1384,2700
19087,287,2275,3903
19089,130,1037,2445
19091,148,1326,3669
19093,126,834,3340
19095,310,2588,3212
19097,332,2316,2770
19099,555,4986,4645
19101,438,3491,19144
19103,3106,59147,195396
19105,326,1993,2826
19107,136,871,1925
19109,389,2940,4001
19111,648,8895,23008
19113,5393,99622,57258
19115,107,897,2685
19117,79,420,877
19119,278,1780,3628
19121,254,1587,2396
19123,361,2692,2678
19125,604,5288,5097
19127,568,8672,45356
19129,134,806,1328
19131,204,1491,3269
19133,116,903,2926
19135,71,532,1349
19137,152,1206,2852
19139,690,12320,35267
19141,335,3001,4733
19143,88,473,1490
19145,256,2121,2990
19147,167,1313,2970
19149,494,4743,7737
19151,106,510,1652
19153,13227,272448,235253
19155,1708,24708,32078
19157,396,3884,17715
19159,52,322,1851
19161,214,1267,4524
19163,4171,74854,46879
19165,233,2121,7204
19167,1112,13459,17142
19169,1842,23417,21128
19171,190,1518,3136
19173,60,619,5517
19175,166,1479,3632
19177,57,323,1450
19179,485,6862,8581
19181,716,5887,5339
19183,520,3742,4094
19185,58,284,866
19187,767,11445,29154
19189,165,1668,3539
19191,409,4011,4631
19193,2343,37159,27410
19195,83,375,1039
19197,237,1677,3371
20001,183,1261,1688
20003,80,489,1231
20005,200,1683,1936
20007,78,397,1510
20009,714,7367,10154
20011,178,1808,4567
20013,129,1172,2920
20015,1075,10066,6652
20017,10,78,732
20019,18,124,564
20021,184,2468,18616
20023,38,191,1224
20025,24,64,718
20027,128,839,1451
20029,146,912,1417
20031,106,705,1606
20033,22,87,447
20035,494,6584,24543
20037,698,7867,8582
20039,32,164,845
20041,281,2220,2957
20043,69,450,2419
20045,2444,28493,14736
20047,16,86,1178
20049,18,70,331
20051,885,7510,4610
20053,64,384,1427
20055,764,7881,5754
20057,536,6220,6011
20059,349,3384,4461
20061,387,4529,7820
20063,49,288,869
20065,18,55,816
20067,114,985,2703
20069,132,843,2663
20071,4,9,123
20073,75,428,2555
20075,18,76,1543
