Fips,Establishments,Employees,Payroll
01001,777,8848,12392
01003,5647,66137,59385
01005,329,3677,12328
01007,190,2397,19721
01009,603,5525,7097
01011,44,712,10028
01013,333,3918,6997
01015,2142,29729,24618
01017,454,4870,11581
01019,294,2417,5365
01021,677,5214,5830
01023,175,1310,5447
01025,505,5291,7945
01027,128,2493,48970
01029,122,717,1678
01031,864,11753,22979
01033,1139,18596,21768
01035,115,1258,3804
01037,58,218,1033
01039,704,7011,9658
01041,136,986,3469
01043,1661,22723,23903
01045,593,8815,91157
01047,575,5619,5811
01049,1012,13419,16346
01051,1128,11859,14442
01053,651,6724,9840
01055,1832,27200,27709
01057,178,1307,2088
01059,430,5345,11974
01061,335,2498,4642
01063,51,440,2621
01065,101,852,2400
01067,211,2649,56902
01069,2615,37618,36149
01071,716,6994,8101
01073,16450,338273,384408
01075,150,1606,5413
01077,1844,22060,20038
01079,324,2401,4635
01081,2885,40911,37305
01083,1382,15066,19328
01085,52,348,2085
01087,129,1194,2070
01089,8591,178203,488890
01091,337,3938,7904
01093,435,5973,16209
01095,1773,32196,85374
01097,8694,149961,109901
01099,309,3578,9046
01101,5413,98363,82246
01103,2517,41917,44224
01105,55,398,1284
01107,171,1715,6250
01109,546,9124,18604
01111,244,2380,3829
01113,713,7445,9818
01115,1258,15752,16234
01117,5235,82847,104627
01119,118,1561,14362
01121,1146,17083,17299
01123,678,8215,13559
01125,3995,68807,67947
01127,1139,11738,12219
01129,134,1669,35955
01131,104,713,1691
01133,346,6374,29232
02013,39,2287,84303
02016,57,3221,75079
02020,8598,143480,185476
02050,165,1625,7460
02060,47,176,8592
02068,61,269,4025
02070,50,485,4904
02090,2399,23496,26985
02100,67,239,1435
02105,48,178,1222
02110,1012,9564,17508
02122,2126,13901,18771
02130,483,3306,5298
02150,356,3799,35283
02158,49,484,2927
02164,28,95,1338
02170,2357,18916,20295
02180,97,1175,9277
02185,95,3921,139741
02188,26,298,4156
02195,83,412,6200
02198,127,784,2484
02220,291,1847,4912
02230,50,186,1180
02240,96,1045,37748
02261,376,1653,5862
02275,38,72,461
02282,5,6,422
02290,61,203,658
