,relevant_naics,estab,emp,payann,fips
56223,53,43,111,3788,53017
56224,54,46,243,10119,53017
56225,55,4,52,7396,53017
56226,56,51,448,10785,53017
56227,61,5,56,799,53017
56228,62,69,922,27551,53017
56229,71,13,123,2696,53017
56230,72,64,1046,21720,53017
56231,81,74,245,7194,53017
56232,99,6,3,88,53017
56233,42,37,176,10726,53029
56234,23,2720,23327,1588614,53053
56235,11,6,107,5381,53069
56236,23,13,63,2575,53069
56237,51,3,19,1202,53069
56238,52,3,11,345,53069
56239,53,4,5,111,53069
56240,54,5,17,387,53069
56241,56,4,21,492,53069
56242,62,4,49,1075,53069
56243,72,10,18,423,53069
56244,81,7,17,273,53069
56245,51,28,244,10991,53029
56246,52,78,362,21688,53029
56247,53,128,376,13463,53029
56248,54,181,798,45306,53029
56249,56,116,421,14270,53029
56251,11,12,74,2545,53071
56252,22,17,159,14667,53071
56253,23,178,973,46599,53071
56254,42,54,384,18472,53071
56255,42,815,12838,777514,53053
56256,51,27,346,15044,53071
56257,52,73,676,39697,53071
56258,53,67,228,8103,53071
56259,54,110,483,24054,53071
56260,56,80,500,14060,53071
56261,61,11,2710,62965,53071
56262,62,157,4611,268323,53071
56263,71,25,351,7671,53071
56264,72,134,2113,43105,53071
56265,81,120,593,15281,53071
56266,61,35,223,5358,53029
56267,62,164,2580,119731,53029
56268,21,3,43,2032,53021
56269,22,4,18,1719,53021
56270,22,7,13,139,53025
56272,11,33,860,44663,53021
56273,23,217,1232,75363,53025
56274,42,133,1898,99901,53025
56275,51,31,381,27854,53025
56276,52,93,561,31549,53025
56277,51,231,2984,164587,53053
56278,71,45,344,7093,53029
56279,72,160,1988,43981,53029
56280,81,166,883,20979,53029
56281,99,5,4,183,53029
56282,23,278,2059,113317,53021
56283,53,120,276,7810,53025
56284,54,107,1376,97584,53025
56285,55,3,66,8087,53025
56286,56,72,1209,44441,53025
56287,42,130,1796,110876,53021
56288,61,13,113,2509,53025
56289,62,167,3009,139470,53025
56290,52,940,9974,710889,53053
56291,53,1226,5172,244067,53053
56292,51,23,205,7379,53021
56293,52,48,377,23190,53021
56294,53,79,348,12324,53021
56295,54,1588,9779,627086,53053
56296,54,98,569,31956,53021
56297,55,3,146,12068,53021
56298,56,99,1021,42761,53021
56299,61,18,293,13545,53021
56300,71,21,244,6719,53025
56301,72,204,2178,43967,53025
56302,81,186,723,16875,53025
56303,99,9,5,369,53025
56305,11,85,312,20054,53073
56306,21,9,130,9108,53073
56307,22,19,193,20943,53073
56308,23,937,8276,571155,53073
56309,55,84,7703,421628,53053
56310,56,1082,15699,683682,53053
56311,61,207,6648,186096,53053
56312,42,332,3108,175019,53073
56313,62,153,2009,107903,53021
56314,71,15,370,9937,53021
56315,72,142,2305,43212,53021
56316,81,147,756,22433,53021
56317,99,3,2,22,53021
56318,62,2054,50642,3196139,53053
56319,71,265,7731,194704,53053
56320,72,1684,29348,659082,53053
56321,81,1904,12903,444657,53053
56322,99,31,20,1508,53053
56323,51,107,1811,102299,53073
56324,52,287,2343,166055,53073
56325,53,415,1593,71136,53073
56326,54,723,3533,228449,53073
56327,55,27,569,33674,53073
56328,56,363,3703,118569,53073
56329,61,99,1392,30675,53073
56330,62,711,10513,504859,53073
56331,71,127,1833,28697,53073
56332,72,560,9328,208093,53073
56333,81,610,3757,125676,53073
56334,99,10,2,321,53073
