Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,4802,2888,4869,46804,48588,20060,37267,12576,36816,16983,44344,11211,179143,9834,107016,41451,59
2018,4733,3173,6918,48289,48503,20595,37271,12820,37890,37381,45509,15204,180779,10430,109297,41886,81
2019,4456,3085,7085,49747,47394,20535,38803,13195,38641,36206,46810,15327,185946,10445,110085,42026,47
2020,4442,2795,7036,50791,47769,20104,39153,13284,38525,35508,45761,15477,184770,10599,110002,42094,76
2021,4486,2637,7413,51755,44870,19611,37948,13267,35931,35448,46926,14466,178357,8536,102795,39256,65
