Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,43,3,63,2880,1584,511,1443,2042,3343,257,1870,532,3683,510,3866,3555,22
2018,41,3,69,2890,1545,542,1473,2061,3363,246,1845,543,3708,523,3895,3570,30
2019,35,3,70,2886,1519,540,1478,2049,3330,234,1843,553,3721,538,3907,3608,43
2020,29,3,71,2890,1464,573,1477,2010,3329,234,1822,559,3706,542,3842,3553,56
2021,43,4,77,2942,1417,547,1475,2038,3350,226,1797,549,3743,538,3799,3545,41
