Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
44060,4231,8,1,0,4
44060,4231,3,210,0,4
44060,4231,3,220,0,4
44060,4233,7,1,0,4
44060,4234,10,1,0,4
44060,4234,3,210,0,4
44060,4236,14,1,0,4
44060,4236,5,210,0,4
44060,4236,3,220,0,4
44060,4236,3,230,0,4
44060,4236,3,241,0,4
44060,5511,22,1,0,4
44060,5511,12,210,0,4
44060,5511,3,241,0,4
44060,5611,4,1,0,4
44060,5611,3,210,0,4
44060,5613,31,1,0,4
44060,5613,14,210,0,4
44060,5613,8,241,0,4
44060,5613,3,242,0,4
44060,4237,8,1,0,4
44060,4237,7,210,0,4
44060,4238,23,1,0,4
44060,4238,12,210,0,4
44060,4238,6,220,0,4
44060,4238,3,230,0,4
44060,4239,6,1,0,4
44060,4239,6,210,0,4
44060,4242,4,1,0,4
44060,4242,3,210,0,4
44060,5614,6,1,0,4
44060,5614,4,210,0,4
44060,5615,5,1,0,4
44060,5615,4,210,0,4
44060,5616,5,1,0,4
44060,5617,44,1,0,4
44060,5617,34,210,0,4
44060,5617,7,220,0,4
44060,5619,8,1,0,4
44060,6111,3,1,0,4
44060,4244,3,1,0,4
44060,4246,4,1,0,4
44060,4249,7,1,0,4
44060,4249,4,210,0,4
44060,4249,3,220,0,4
44060,4251,12,1,0,4
44060,4251,10,210,0,4
44060,4411,12,1,0,4
44060,4411,6,241,0,4
44060,4411,4,242,0,4
44060,6116,9,1,0,4
44060,6116,5,230,0,4
44060,6211,56,1,0,4
44060,6211,17,210,0,4
44060,6211,20,220,0,4
44060,6211,8,230,0,4
44060,6211,10,241,0,4
44060,6212,37,1,0,4
44060,6212,12,210,0,4
44060,6212,12,220,0,4
44060,6212,8,230,0,4
44060,6212,5,241,0,4
44060,4413,14,1,0,4
44060,4413,7,220,0,4
44060,4413,5,230,0,4
44060,4421,18,1,0,4
44060,4421,12,210,0,4
44060,4421,3,220,0,4
44060,4421,3,241,0,4
44060,4422,8,1,0,4
44060,4422,4,210,0,4
44060,4431,14,1,0,4
44060,4431,6,210,0,4
44060,6213,32,1,0,4
44060,6213,12,210,0,4
44060,6213,15,220,0,4
44060,6213,4,230,0,4
44060,6214,11,1,0,4
44060,6214,3,210,0,4
44060,6214,6,241,0,4
44060,4431,5,220,0,4
44060,4441,18,1,0,4
44060,4441,7,210,0,4
44060,4441,3,220,0,4
44060,4441,4,230,0,4
44060,4442,4,1,0,4
44060,4442,3,210,0,4
44060,4451,17,1,0,4
44060,4451,5,210,0,4
44060,4451,3,230,0,4
44060,4451,3,251,0,4
44060,6216,7,1,0,4
44060,6219,3,1,0,4
44060,6232,14,1,0,4
44060,6232,7,210,0,4
44060,6232,3,220,0,4
44060,6232,3,230,0,4
44060,6233,6,1,0,4
44060,6233,3,242,0,4
44060,4452,3,1,0,4
44060,4452,3,230,0,4
44060,4453,6,1,0,4
44060,4453,3,210,0,4
44060,4461,27,1,0,4
44060,4461,9,210,0,4
44060,4461,5,220,0,4
44060,4461,7,230,0,4
44060,4461,5,241,0,4
44060,6241,15,1,0,4
44060,6241,5,210,0,4
44060,6241,4,241,0,4
44060,6244,16,1,0,4
44060,6244,4,210,0,4
44060,6244,8,230,0,4
44060,6244,3,241,0,4
44060,7139,18,1,0,4
44060,7139,9,210,0,4
44060,7139,3,230,0,4
44060,7139,4,241,0,4
44060,4471,17,1,0,4
44060,4471,6,210,0,4
44060,4471,5,220,0,4
44060,4471,4,241,0,4
44060,4481,46,1,0,4
44060,4481,11,210,0,4
44060,4481,11,220,0,4
44060,4481,12,230,0,4
44060,4481,8,241,0,4
44060,4481,4,242,0,4
44060,7211,9,1,0,4
44060,7211,4,230,0,4
44060,7211,3,241,0,4
44060,7223,4,1,0,4
44060,7224,11,1,0,4
44060,7224,7,210,0,4
44060,7224,4,220,0,4
44060,7225,176,1,0,4
44060,7225,31,210,0,4
44060,7225,26,220,0,4
44060,7225,41,230,0,4
44060,7225,62,241,0,4
44060,7225,15,242,0,4
44060,4482,12,1,0,4
44060,4482,5,220,0,4
44060,4482,5,230,0,4
44060,4483,8,1,0,4
44060,4483,4,210,0,4
44060,4483,3,230,0,4
44060,4511,14,1,0,4
44060,4511,3,210,0,4
44060,4511,3,220,0,4
44060,4511,3,230,0,4
44060,4511,3,241,0,4
44060,8111,34,1,0,4
44060,8111,20,210,0,4
44060,8111,8,220,0,4
44060,8111,5,230,0,4
44060,4522,4,1,0,4
44060,4522,4,251,0,4
44060,4523,13,1,0,4
44060,4523,5,220,0,4
44060,4523,3,251,0,4
44060,4531,3,1,0,4
44060,4532,9,1,0,4
44060,4532,3,210,0,4
44060,4532,4,230,0,4
44060,4533,4,1,0,4
44060,8113,6,1,0,4
44060,8113,5,210,0,4
44060,8121,65,1,0,4
44060,8121,34,210,0,4
44060,8121,16,220,0,4
44060,8121,10,230,0,4
44060,8121,3,241,0,4
44060,4539,15,1,0,4
44060,4539,6,210,0,4
44060,4539,7,220,0,4
44060,4541,9,1,0,4
44060,4541,7,210,0,4
44060,4841,6,1,0,4
44060,4842,6,1,0,4
44060,4842,3,210,0,4
44060,4931,4,1,0,4
44060,8129,7,210,0,4
44060,8123,3,1,0,4
44060,8129,10,1,0,4
44060,8129,3,220,0,4
44060,8131,30,1,0,4
44060,8131,12,210,0,4
44060,8131,10,220,0,4
44060,8131,4,230,0,4
44060,8132,4,1,0,4
44060,8132,3,210,0,4
44060,5173,15,1,0,4
44060,5173,6,210,0,4
44060,5173,5,220,0,4
44060,5221,32,1,0,4
44060,5221,4,210,0,4
44060,5221,21,220,0,4
44060,5221,5,230,0,4
44060,5222,16,1,0,4
44060,8133,3,1,0,4
44060,8134,4,1,0,4
44060,8139,9,1,0,4
44060,8139,8,210,0,4
44060,2361,34,1,0,4
44060,2361,29,210,0,4
44060,2362,14,1,0,4
44060,2362,6,210,0,4
44060,2362,4,220,0,4
44060,2381,12,1,0,4
44060,2381,10,210,0,4
44060,5222,13,210,0,4
44060,5223,6,1,0,4
44060,5223,5,210,0,4
44060,5231,12,1,0,4
44060,5231,11,210,0,4
44060,5239,22,1,0,4
44060,5239,18,210,0,4
44060,5239,3,220,0,4
44060,5241,103,1,0,4
44060,5241,102,210,0,4
44060,2382,7,220,0,4
44060,2382,38,1,0,4
44060,2382,20,210,0,4
44060,2382,5,230,0,4
44060,2382,5,241,0,4
44060,2383,27,1,0,4
44060,2383,17,210,0,4
44060,2383,8,220,0,4
44060,5242,33,1,0,4
44060,5242,26,210,0,4
44060,5242,5,220,0,4
44060,5311,26,1,0,4
44060,5311,20,210,0,4
44060,5311,5,220,0,4
44060,5312,27,1,0,4
44060,5312,25,210,0,4
44060,2389,12,1,0,4
44060,2389,6,210,0,4
44060,2389,3,220,0,4
44060,3118,4,1,0,4
44060,3231,11,1,0,4
44060,3231,6,210,0,4
44060,3252,3,1,0,4
44060,3255,3,1,0,4
44060,5313,6,1,0,4
44060,5313,6,210,0,4
44060,5321,3,1,0,4
44060,5322,4,1,0,4
44060,5324,3,1,0,4
44060,5411,28,1,0,4
44060,5411,21,210,0,4
44060,5411,4,220,0,4
44060,5412,36,1,0,4
44060,5412,25,210,0,4
44060,5412,5,220,0,4
44060,5412,4,230,0,4
44060,3261,6,1,0,4
44060,3261,3,251,0,4
44060,3262,3,1,0,4
44060,3321,5,1,0,4
44060,3323,7,1,0,4
44060,3323,3,210,0,4
44060,3327,11,220,0,4
44060,3327,55,1,0,4
44060,3327,19,210,0,4
44060,3327,13,230,0,4
44060,3327,7,241,0,4
44060,3327,4,242,0,4
44060,5413,31,1,0,4
44060,5413,18,210,0,4
44060,5413,8,220,0,4
44060,5414,7,1,0,4
44060,5414,6,210,0,4
44060,5415,21,1,0,4
44060,5415,13,210,0,4
44060,5415,6,220,0,4
