Zip Code,naics,Establishments,Employees,Payroll,IND Level
67505,00,77,001,65610,2
67505,00,33,210,0,2
67505,00,14,220,0,2
67505,00,16,230,0,2
67505,00,9,241,0,2
67505,00,3,251,0,2
67505,23,9,001,0,2
67505,23,5,210,0,2
67505,31-33,11,001,0,2
67505,31-33,3,230,0,2
67505,42,4,001,0,2
67505,42,3,241,0,2
67505,44-45,14,001,0,2
67505,44-45,3,210,0,2
67505,44-45,6,220,0,2
67505,44-45,5,230,0,2
67505,52,5,001,0,2
67505,52,4,210,0,2
67505,54,4,001,0,2
67505,56,3,001,0,2
67505,72,8,001,0,2
67505,72,3,210,0,2
67505,72,3,241,0,2
67505,81,11,001,0,2
67505,81,6,210,0,2
67505,81,3,220,0,2
