,fips,relevant_naics,YEAR,estab,emp,payann
807,15,611691,2017,65,497,7637
809,15,611610,2017,55,351,5068
811,15,611512,2017,5,31,1196
813,15,611210,2017,5,145,4956
815,15,611630,2017,21,257,4363
817,15,611519,2017,18,94,1986
819,15,611430,2017,24,60,2202
821,15,611620,2017,94,770,16056
823,15,621999,2017,27,306,15188
825,15,621498,2017,58,2047,113905
827,15,621910,2017,10,0,0
829,15,623312,2017,49,553,14911
831,15,624110,2017,77,1020,35584
833,15,624410,2017,266,2949,72175
835,15,624210,2017,11,109,3833
837,15,623311,2017,10,1418,51091
839,15,621512,2017,20,168,8719
841,15,624230,2017,3,25,1232
843,15,621410,2017,4,17,966
845,15,621493,2017,19,368,19063
847,15,622110,2017,21,18575,1459225
849,15,621491,2017,56,0,0
851,15,621610,2017,96,4492,138291
853,15,621492,2017,37,0,0
855,15,621511,2017,36,0,0
857,15,623110,2017,51,4347,163455
859,15,621399,2017,91,300,11781
861,15,621310,2017,91,219,7406
863,15,621210,2017,621,4097,206524
865,15,621330,2017,142,470,16093
867,15,621320,2017,109,536,22372
869,15,621340,2017,149,1048,44130
871,15,621111,2017,1054,6244,533456
873,15,621112,2017,52,166,9958
875,15,621391,2017,20,42,1639
877,15,624229,2017,41,289,10999
879,15,624190,2017,132,1601,55894
881,15,623990,2017,11,155,4699
883,15,621420,2017,36,1093,33818
885,15,623210,2017,7,129,4103
887,15,623220,2017,45,1214,37626
889,15,624120,2017,120,5270,82184
891,15,622310,2017,4,2353,178849
893,15,624221,2017,20,575,18584
895,15,624310,2017,53,1331,31708
897,15,711410,2017,7,11,2121
899,15,713990,2017,131,1338,37189
901,15,713120,2017,14,79,1707
903,15,713950,2017,5,262,4425
905,15,711120,2017,4,0,0
907,15,713940,2017,83,1987,34910
909,15,713910,2017,47,2865,89221
911,15,712120,2017,5,231,7830
913,15,711510,2017,70,153,7657
915,15,713930,2017,7,110,3285
917,15,712110,2017,21,1120,34528
919,15,711130,2017,19,154,2416
921,15,711219,2017,10,9,654
923,15,711320,2017,17,69,3656
925,15,711110,2017,21,1241,32808
927,15,712130,2017,16,520,15852
929,15,721199,2017,23,86,1993
931,15,721191,2017,20,69,1335
933,15,722514,2017,5,72,1311
935,15,722320,2017,49,907,13132
937,15,722410,2017,205,1698,33652
939,15,722310,2017,80,3060,78987
941,15,722511,2017,1290,38745,922308
943,15,721110,2017,287,42200,1899946
945,15,722513,2017,1366,21183,373645
947,15,722330,2017,62,228,3953
949,15,721214,2017,3,4,177
951,15,722515,2017,465,4852,81148
953,15,811198,2017,11,28,1008
955,15,812990,2017,114,829,25912
957,15,811412,2017,22,70,2696
959,15,811121,2017,121,977,49393
961,15,811112,2017,4,0,0
963,15,811122,2017,23,119,5735
965,15,811191,2017,14,138,3695
967,15,811113,2017,9,35,1510
969,15,812111,2017,37,137,3735
971,15,812112,2017,336,1930,45052
973,15,813910,2017,59,274,16103
975,15,811192,2017,41,447,9341
977,15,812220,2017,8,123,3636
979,15,813410,2017,86,1539,29958
981,15,812310,2017,27,124,3460
983,15,811310,2017,61,235,12240
985,15,811212,2017,16,54,1869
987,15,812191,2017,5,24,443
989,15,812320,2017,31,787,25671
991,15,813312,2017,62,412,17813
993,15,812210,2017,14,283,8038
995,15,811111,2017,255,1057,47453
997,15,813211,2017,41,379,21572
999,15,813311,2017,14,78,3892
1001,15,812332,2017,4,314,7230
1003,15,813930,2017,82,997,46832
1005,15,812331,2017,7,455,14593
1007,15,812113,2017,65,309,5445
1009,15,811118,2017,7,34,1262
1011,15,811219,2017,5,34,2933
1013,15,813219,2017,8,57,2685
1015,15,811490,2017,31,132,3823
1017,15,812199,2017,102,426,9744
1019,15,813990,2017,909,4764,165319
1021,15,813319,2017,42,374,18682
1023,15,812930,2017,167,2112,34755
1025,15,812910,2017,37,224,4144
1027,15,812921,2017,3,11,209
1029,15,813940,2017,4,5,106
1031,15,813920,2017,16,75,4428
1033,15,813110,2017,552,4659,115049
1035,15,811420,2017,15,53,1354
1037,15,813212,2017,23,241,9461
