Naics,Establishments,Employees,Payroll,fips
1133,41,172,8244,23017
2211,4,31,2239,23017
2361,63,215,8879,23017
2381,21,55,2491,23017
2382,45,178,9318,23017
2383,26,51,2044,23017
2389,33,169,9172,23017
3118,6,41,717,23017
3121,3,18,790,23017
3211,7,575,27329,23017
3231,4,12,233,23017
3323,3,74,3755,23017
3327,7,448,34119,23017
3399,3,3,42,23017
4231,4,46,1834,23017
4234,3,3,117,23017
4239,8,48,2721,23017
4238,5,23,963,23017
4244,4,41,1554,23017
4249,7,32,983,23017
4251,3,11,135,23017
4411,9,139,6098,23017
4413,15,112,3174,23017
4422,5,8,221,23017
4431,4,13,478,23017
4441,16,119,4399,23017
4442,7,42,979,23017
4451,18,494,10968,23017
4453,3,17,244,23017
4461,8,67,2175,23017
4471,43,361,7622,23017
4481,4,18,228,23017
4483,3,5,135,23017
4511,11,47,1084,23017
4523,12,505,13950,23017
4531,6,11,185,23017
4532,5,10,230,23017
4539,14,44,1578,23017
4541,12,43,2022,23017
4543,19,243,11786,23017
4841,8,50,2046,23017
4842,22,112,6034,23017
5111,4,9,139,23017
5151,4,14,413,23017
5173,16,144,7342,23017
5191,6,25,289,23017
5221,20,260,14389,23017
5239,4,10,675,23017
5242,16,54,2343,23017
5311,8,24,444,23017
5312,16,27,1143,23017
5313,13,52,1907,23017
5322,9,55,1690,23017
5411,15,60,2420,23017
5412,16,49,927,23017
5413,12,54,2399,23017
5416,11,23,558,23017
5419,9,104,4962,23017
5613,4,14,853,23017
5617,45,82,2720,23017
5619,6,16,436,23017
5621,4,48,1537,23017
5629,4,7,339,23017
6111,6,374,14965,23017
6116,6,28,829,23017
6211,5,44,3954,23017
6212,13,83,5114,23017
6213,17,75,3073,23017
6214,10,151,6664,23017
6219,5,75,1734,23017
6231,5,443,12930,23017
6232,20,347,10407,23017
6241,17,281,8232,23017
6242,5,6,188,23017
6243,3,12,337,23017
6244,27,172,3768,23017
7113,3,31,1792,23017
7121,4,14,526,23017
7139,21,172,2535,23017
7211,20,1558,35952,23017
7212,27,113,8227,23017
7223,5,36,709,23017
7225,94,1044,18177,23017
8111,37,126,4510,23017
8113,6,45,1013,23017
8121,10,29,525,23017
8122,4,14,439,23017
8123,3,10,189,23017
8129,8,43,712,23017
8131,36,100,1400,23017
8133,7,7,230,23017
8134,6,21,375,23017
8139,13,74,1428,23017
1133,4,12,291,23027
2361,40,174,6427,23027
2379,3,9,364,23027
2381,12,41,2181,23027
2382,32,100,4220,23027
2383,33,112,4226,23027
2389,24,55,4151,23027
3118,3,6,125,23027
3121,6,23,1219,23027
3219,4,154,6557,23027
3231,3,35,839,23027
3335,3,12,308,23027
3366,6,122,5354,23027
3399,6,149,5555,23027
4239,5,14,484,23027
4244,6,236,9411,23027
4247,3,68,5646,23027
4411,9,67,2825,23027
4412,3,108,3321,23027
4413,11,83,2645,23027
4441,14,188,8230,23027
4451,17,495,11549,23027
4452,4,11,352,23027
4461,4,50,1731,23027
4471,24,291,5943,23027
4481,6,25,635,23027
4511,7,46,1117,23027
4523,11,111,2213,23027
4532,6,15,326,23027
4533,8,35,828,23027
4541,4,10,276,23027
4543,13,85,4430,23027
4841,7,17,617,23027
4842,16,79,4033,23027
4883,5,33,2737,23027
5111,4,27,1737,23027
5121,4,17,172,23027
5173,6,33,2098,23027
5191,4,8,78,23027
5221,11,73,3056,23027
5222,5,270,28009,23027
5239,5,9,449,23027
5242,6,30,1070,23027
5311,11,12,702,23027
5312,16,26,1163,23027
5313,3,3,214,23027
5322,4,10,246,23027
5411,10,21,1252,23027
5412,12,41,1178,23027
