Naics,Establishments,Employees,Payroll
332999,140,2011,99537
333111,29,232,13125
333112,26,132,5132
333120,25,807,47163
333132,9,414,28263
333249,64,1470,91394
333241,13,397,24570
333242,4,261,33226
333243,7,136,7402
333244,14,150,7737
333515,30,410,21736
333314,21,320,22506
333316,6,68,4423
333318,81,4518,430375
333413,29,992,43320
333414,12,151,8562
333415,56,2842,154536
333511,36,952,43889
333514,37,221,9666
333612,6,172,6738
333517,28,201,8195
333519,8,114,7576
333611,6,964,74515
333613,7,263,21540
333618,16,319,16506
333924,8,56,2372
333912,13,470,27735
333914,28,850,56322
333921,18,633,33654
333922,19,605,31707
333923,30,549,29050
333996,3,34,1378
333991,4,14,434
333992,42,455,18027
333993,30,945,66942
333994,4,35,1740
333995,5,188,9303
333997,4,183,9337
333999,68,1813,107705
334118,22,1187,109767
334111,20,342,24554
334112,4,92,3775
334210,17,277,13448
334220,45,2672,222810
334290,25,219,14025
334310,32,875,49042
334412,13,594,26741
334413,30,987,134689
334416,13,512,18332
334417,8,759,53156
334418,40,2288,122475
334419,50,2351,173039
334510,44,3535,312609
334511,51,13039,1229781
334512,11,162,6964
334513,39,646,43956
334514,7,263,13593
334515,32,479,35389
334516,28,1178,82300
334517,10,390,30035
334519,41,1473,114472
334613,4,27,938
334614,25,100,6165
335122,23,851,42656
335110,3,48,1327
335121,15,328,12342
335129,19,277,12848
335210,9,38,1375
335220,7,85,6226
335311,18,825,49422
335312,15,484,21255
335313,19,936,54330
335314,29,1221,71307
335911,4,492,36595
335912,3,43,3573
335921,7,298,15322
335929,11,817,37364
336120,7,1233,76741
335931,15,1181,45472
335999,45,889,51174
336310,34,346,14632
336211,20,1001,42638
336212,19,551,20001
336214,31,749,32384
336340,4,348,11454
336320,20,185,9552
336330,11,346,19862
336350,11,218,9641
336360,14,909,60217
336390,45,769,42253
336370,8,201,11439
336411,29,5177,534632
336412,45,2433,190569
336413,67,2653,167260
336414,6,1227,151518
336415,3,655,90928
336510,5,103,8092
336611,70,3119,198531
336612,205,8076,370018
336991,18,83,3197
336999,21,108,4735
337110,429,2601,100213
337121,48,512,20888
337122,116,561,19744
337124,19,645,22425
337125,17,223,8233
337127,31,514,26591
337211,15,133,6060
337212,149,3123,147990
337214,3,11,867
337215,29,715,26834
337910,31,1194,50911
337920,54,852,25971
339112,74,6532,419117
339113,114,4539,249283
339114,36,168,6303
339115,30,2736,267575
339116,471,2342,94971
339910,91,275,10600
339920,104,1165,46080
339930,25,434,17049
339940,21,1553,78600
339999,182,2659,110952
339950,421,4012,171664
339991,31,1037,70824
339992,17,56,1763
339993,5,12,590
339994,7,150,6241
339995,3,5,263
423110,496,6134,405317
423120,940,9409,430931
423130,232,2674,123565
423140,103,1101,46776
423210,407,3261,196821
423220,576,5168,282866
423310,514,8388,489260
423320,296,1846,112397
423330,294,4236,280382
423390,329,4156,238605
423410,56,457,31921
423420,617,6166,402494
423430,624,6577,653280
423440,348,3803,227407
423450,1145,15080,1411023
423460,148,1878,108793
423490,187,1582,108702
423510,480,5797,349587
423520,10,67,5392
423610,1090,13603,1038978
423620,283,3100,243359
423690,1020,10934,1035685
423710,414,3466,192626
423720,405,5732,343426
423730,483,5161,376706
423740,103,672,40741
423810,308,5935,440672
423820,277,2479,138705
423830,1903,17112,1267976
423840,441,3268,222590
423850,359,3456,181819
423860,548,6689,538773
423910,561,4329,252419
423920,155,1510,110208
423930,384,3722,169763
423940,618,2803,155533
423990,1134,5731,277771
424110,61,1339,71337
424120,211,2593,147189
424130,246,3228,206505
424210,939,14389,1130235
424310,158,897,41739
424320,224,3970,180262
424330,434,3171,128317
424340,118,627,32833
424410,264,9108,564575
424420,321,8482,534352
424430,116,1631,89125
424440,24,397,24975
424450,163,1231,60706
424460,241,2081,103464
424470,134,1993,89284
424480,479,8195,396836
424490,1065,16693,785112
424510,45,412,29608
424520,13,54,1622
424590,51,315,21116
424610,175,1031,61914
424690,577,5231,361931
424710,143,2275,143792
424720,128,1742,214736
424810,77,7302,394087
424820,200,7200,663265
424910,268,2496,183667
424920,78,359,15899
424930,496,7776,326631
424940,179,4185,268624
424950,178,1461,83693
424990,1076,6553,311753
425110,73,328,18331
425120,3201,16554,826899
441110,1203,85965,5061360
441120,1944,10444,477996
441210,161,4692,231327
441222,756,5858,293396
441228,547,5392,222896
441310,2489,22537,601085
441320,1527,10899,424999
442110,1799,17012,725797
442210,780,4999,233093
442291,270,902,35616
442299,982,13746,247585
443141,433,2757,108105
443142,1420,19030,559216
444110,379,56192,1335031
444120,539,3032,131584
444130,793,8341,223694
444190,1793,14882,715317
444210,202,1416,57955
444220,554,4206,120786
445110,3686,196030,4327315
445120,2749,9014,161732
445210,227,1905,44433
445220,170,1190,31968
445230,214,1736,47568
445291,207,1217,25935
445292,200,1495,20375
445299,442,2882,50315
445310,1470,8095,200966
446110,2984,48018,1992602
446120,1492,12063,264462
446130,1070,7712,219215
446191,869,3441,75746
446199,884,4681,209329
447110,5910,47329,971398
447190,412,4501,103676
448110,504,4073,105475
448120,2245,21790,410155
448130,397,3816,55979
448140,2567,70420,1185563
448150,788,5703,140432
448190,1036,9716,207235
448210,1639,17057,317221
448310,1855,9107,342070
448320,114,574,31077
451110,1551,12533,311894
451120,473,6021,108123
451130,215,2206,33879
451140,195,1519,38648
451211,338,3374,56440
451212,20,73,1568
452210,257,29445,677229
452311,492,113732,3372219
452319,2781,32490,453218
453110,589,2650,59384
453210,380,4207,86284
453220,1399,11780,237825
453310,1325,11853,247260
453910,861,9136,193225
453920,416,1273,44151
453930,120,543,32685
453991,802,2764,68164
453998,1998,9610,296544
454110,4043,35983,1661447
454210,339,1931,61416
454310,192,1897,87412
454390,1993,9512,413949
481111,156,34145,2830050
481112,53,1560,115074
481211,185,2787,245967
481212,44,1709,118022
481219,72,717,29041
483111,55,2090,172366
483112,41,10584,1077237
483113,70,2089,262702
483114,59,443,34773
483211,21,91,5762
483212,47,292,10852
484110,2140,9997,422611
484121,2376,16907,784168
484122,396,10244,588970
484210,714,5328,183589
484220,1024,6722,308124
484230,578,7010,379114
485112,3,118,10157
485113,29,321,6808
485119,5,123,10583
485210,31,419,15489
485310,153,645,20755
485320,351,1502,40312
485410,79,2446,57738
485510,75,2465,85207
485991,217,4446,147310
485999,206,1372,41163
486110,4,16,2122
486210,48,288,26996
486910,8,57,5750
487110,31,945,54662
487210,491,2153,67552
487990,33,107,3495
531190,945,4695,155342
488111,27,224,19047
488119,216,16936,473949
488190,633,14701,924460
488210,60,1475,50873
488310,50,1967,66474
488320,62,7418,234200
488330,222,1069,84030
488390,202,965,56265
488410,523,2572,92220
488490,283,2483,71768
488510,2124,19597,1160939
488991,151,804,23462
488999,105,370,15627
492110,810,49887,1793012
492210,455,6143,160325
493110,570,33328,1515379
493120,82,4589,205124
493130,10,102,4310
493190,133,3979,156672
511110,256,6588,300894
511120,391,3691,239301
511130,132,1955,103351
511140,49,330,25383
511191,7,19,1377
511199,59,564,45378
511210,710,29634,4049376
512110,837,3893,321846
512120,24,82,6307
512131,218,8814,136451
512132,6,65,841
512191,125,284,13415
512199,27,47,1928
512230,42,135,9798
512240,146,338,12766
512250,42,197,31092
512290,31,84,3772
515111,39,316,48591
515112,217,4471,279641
515120,208,10850,1020674
515210,64,1812,189731
517311,1856,42367,2939903
517312,1949,22899,1306445
517410,39,644,57563
517911,323,2794,209255
517919,160,2579,440254
518210,1057,27688,3184700
519110,23,510,30380
519120,23,237,7819
519130,581,3573,340883
519190,162,492,26495
521110,3,284,26135
522110,5262,72083,6284499
522120,235,3849,328020
522130,1004,23356,1390482
522210,55,4032,300133
522220,299,4413,303539
522291,430,2978,235852
522292,1282,11856,1249174
522293,34,169,18526
522294,19,30,3571
522298,819,4716,255477
522310,754,2174,176221
522320,458,10280,945329
522390,1128,9378,605974
523110,290,2136,461086
523120,1989,19427,3116698
523130,65,605,36019
523140,65,332,56225
523910,589,2080,314889
523920,2309,11723,2141571
523930,1811,5088,487125
523991,145,1598,148870
523999,222,2187,238351
524113,450,14286,1370788
524114,753,36519,2835587
524126,869,37984,3049791
524127,346,2475,214790
524128,70,3480,298516
524130,55,757,115921
524210,9545,53878,3519916
524291,850,4647,311865
524292,592,23684,1621419
524298,434,3100,267440
525910,37,75,5291
525990,107,276,21186
531110,4232,21090,931487
531120,2833,12618,713999
531130,1355,3778,125289
561520,354,6267,312301
531210,16697,37971,2342559
531311,4500,42070,1753775
531312,1531,13536,696499
531320,1208,2505,123313
531390,2166,4489,297144
532111,969,12201,574337
532112,43,303,18393
532120,376,4372,189464
532210,380,1933,68861
532281,32,136,2667
532282,41,96,3005
532283,146,1906,91598
532284,435,2196,60785
532289,461,3605,126167
532310,136,911,34651
532411,84,329,29422
532412,214,2929,190582
532420,58,547,37353
532490,701,8556,505753
533110,185,2192,171100
