Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
92007,531,37,001,0,3
92007,531,36,210,0,3
92007,541,102,001,0,3
92007,541,85,210,0,3
92007,541,9,220,0,3
92007,541,6,230,0,3
92007,561,21,001,0,3
92007,561,12,210,0,3
92007,561,6,220,0,3
92007,561,3,230,0,3
92007,621,30,001,0,3
92007,621,24,210,0,3
92007,621,6,220,0,3
92007,711,5,001,0,3
92007,711,5,210,0,3
92007,722,27,001,0,3
92007,722,3,210,0,3
92007,722,4,220,0,3
92007,722,6,230,0,3
92007,722,10,241,0,3
92007,722,3,242,0,3
92007,812,14,001,0,3
92007,812,11,210,0,3
92007,812,3,220,0,3
92007,813,7,001,0,3
92007,813,4,210,0,3
92007,236,20,001,0,3
92007,236,16,210,0,3
92007,238,21,001,0,3
92007,238,17,210,0,3
92007,238,3,220,0,3
92007,424,7,001,0,3
92007,424,4,210,0,3
92007,425,5,001,0,3
92007,425,5,210,0,3
92007,445,3,001,0,3
92007,447,3,001,0,3
92007,448,3,001,0,3
92007,453,3,001,0,3
92007,454,6,001,0,3
92007,454,6,210,0,3
92007,511,5,001,0,3
92007,511,4,210,0,3
92007,512,3,001,0,3
92007,512,3,210,0,3
92007,523,12,001,0,3
92007,523,10,210,0,3
92007,524,9,001,0,3
92007,524,9,210,0,3
