,fips,relevant_naics,estab,emp,payann
1,22,11,568,3686,178098
3,22,21,1353,29060,2477737
5,22,22,465,11005,1085911
7,22,23,8125,136857,8354281
9,22,42,5179,72092,4245869
11,22,51,1534,22857,1273358
13,22,52,7386,62497,4242042
15,22,53,5165,29687,1504995
17,22,54,12216,92430,6277018
19,22,55,616,26548,2041729
21,22,56,4712,79770,3055421
23,22,61,1249,44218,1650938
25,22,62,12646,298207,13329029
27,22,71,1541,26646,867398
29,22,72,9921,216773,4059751
31,22,81,9701,74390,2309757
33,22,99,76,88,2275
