Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,344,99,193,8750,4947,1549,6250,3091,6408,453,3728,775,8686,1443,7279,9223,26
2018,364,97,193,8794,4907,1579,6187,3207,6459,442,3761,775,8599,1434,7311,9176,55
2019,324,104,184,8741,4806,1555,6167,3279,6414,437,3801,783,8753,1445,7299,9125,50
2020,326,98,305,8707,4724,1548,6085,3360,6399,437,3830,791,8749,1404,7185,9070,70
2021,312,91,323,8941,4682,1525,5815,3495,6405,437,3973,772,8896,1450,7244,9170,27
