Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,1484,4764,20570,207868,320830,124128,325233,81171,382698,177888,332667,163701,803138,88892,539389,247674,208
2018,1635,5811,28168,212442,320779,128113,330455,81394,386157,216770,328677,167634,805940,89098,543452,247910,269
2019,1510,6197,27414,217677,318399,128673,329455,82209,390785,199967,329807,172274,814492,89475,543862,246774,242
2020,1481,5305,26437,219287,315195,123207,330405,82042,400783,204945,313841,173002,825370,90694,536055,241288,267
2021,1525,4506,25867,211551,303607,107289,336326,77290,405127,208208,303494,155635,794728,64371,431297,220529,299
