Zip Code,naics,Establishments,Employees,Payroll,IND Level
70447,61,3,001,0,2
70447,62,41,001,0,2
70447,62,26,210,0,2
70447,62,7,220,0,2
70447,62,5,230,0,2
70447,62,3,241,0,2
70447,71,5,001,0,2
70447,71,3,210,0,2
70447,72,15,001,0,2
70447,72,3,210,0,2
70447,72,4,230,0,2
70447,72,6,241,0,2
70447,81,19,001,0,2
70447,81,14,210,0,2
70447,00,310,001,108446,2
70447,00,216,210,0,2
70447,00,37,220,0,2
70447,00,28,230,0,2
70447,00,20,241,0,2
70447,00,7,242,0,2
70447,21,3,001,0,2
70447,23,38,001,0,2
70447,23,25,210,0,2
70447,23,6,220,0,2
70447,23,3,230,0,2
70447,31-33,3,001,0,2
70447,42,21,001,0,2
70447,42,13,210,0,2
70447,42,4,220,0,2
70447,44-45,20,001,0,2
70447,44-45,10,210,0,2
70447,44-45,4,220,0,2
70447,44-45,4,241,0,2
70447,48-49,8,001,0,2
70447,48-49,7,210,0,2
70447,51,5,001,0,2
70447,51,4,210,0,2
70447,52,24,001,0,2
70447,52,20,210,0,2
70447,52,3,220,0,2
70447,53,17,001,0,2
70447,53,16,210,0,2
70447,54,61,001,0,2
70447,54,46,210,0,2
70447,54,6,220,0,2
70447,54,5,230,0,2
70447,56,24,001,0,2
70447,56,20,210,0,2
70447,81,4,230,0,2
