Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,198,40,147,14185,5318,2488,7338,6715,20892,1312,8380,2193,16849,2166,12150,13938,116
2018,200,38,215,14192,5256,2471,7386,6867,20757,1256,8301,2200,17086,2189,12230,14007,168
2019,186,39,192,14271,5181,2420,7293,6933,20733,1203,8363,2222,17164,2210,12403,13873,170
2020,180,34,200,14242,5057,2402,7240,7200,21081,1215,8443,2245,17426,2121,12147,13884,253
2021,193,34,219,14430,4979,2434,7152,7465,21210,1254,8560,2258,17805,2200,12244,14068,185
