Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,41376,40427,265392,9496648,5972795,4499312,9852656,2879629,23837202,5481494,7230289,4106423,19154184,1392657,4920144,4615862,6674
2018,45656,92650,1249125,10080869,6167314,4421058,10260348,2968640,25417917,5739784,7419991,4255107,20071846,1419049,5126026,4733294,16080
2019,40213,57607,1272837,10741309,6395612,4389671,10176470,3097814,26603683,5914518,7411071,4371373,21047089,1452923,5320023,4923284,6601
2020,40556,60903,1199136,10865671,6385441,4618147,11276092,3462056,28162385,5962978,7275905,4335603,21133981,1223297,4228381,4740426,10939
2021,39688,48581,1183658,11254124,6669860,4762371,12402780,3358090,30679877,6217730,7833929,4468301,22287993,1366622,5119180,5065913,11743
