Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
45102,5411,3,1,0,4
45102,5412,4,1,0,4
45102,5413,4,1,0,4
45102,5413,4,210,0,4
45102,5415,4,1,0,4
45102,5415,3,210,0,4
45102,5416,3,1,0,4
45102,5419,6,1,0,4
45102,5613,3,1,0,4
45102,5617,18,1,0,4
45102,5617,14,210,0,4
45102,6211,4,1,0,4
45102,6212,5,1,0,4
45102,6212,3,220,0,4
45102,6244,7,1,0,4
45102,6244,3,210,0,4
45102,7225,39,1,0,4
45102,7225,8,220,0,4
45102,7225,17,230,0,4
45102,7225,8,241,0,4
45102,7225,3,242,0,4
45102,8111,12,1,0,4
45102,8111,8,210,0,4
45102,8129,3,1,0,4
45102,8131,9,1,0,4
45102,8131,8,210,0,4
45102,2361,9,1,0,4
45102,2361,8,210,0,4
45102,2381,8,1,0,4
45102,2381,4,210,0,4
45102,2381,3,230,0,4
45102,2382,10,1,0,4
45102,2382,8,210,0,4
45102,2383,4,1,0,4
45102,2389,4,1,0,4
45102,3261,3,1,0,4
45102,3329,3,1,0,4
45102,4238,4,1,0,4
45102,4411,4,1,0,4
45102,4411,3,210,0,4
45102,4413,4,1,0,4
45102,4442,4,1,0,4
45102,4442,3,210,0,4
45102,4451,6,1,0,4
45102,3327,4,1,0,4
45102,3327,3,210,0,4
45102,4451,3,210,0,4
45102,4461,5,1,0,4
45102,4471,7,1,0,4
45102,4471,3,220,0,4
45102,4481,3,1,0,4
45102,4523,4,1,0,4
45102,4539,5,1,0,4
45102,4539,4,210,0,4
45102,5173,5,1,0,4
45102,5173,4,210,0,4
45102,5221,9,1,0,4
45102,5221,4,220,0,4
45102,5221,3,230,0,4
45102,5222,6,1,0,4
45102,5222,3,210,0,4
45102,5242,8,1,0,4
45102,5242,6,210,0,4
45102,5311,6,1,0,4
45102,5311,5,210,0,4
45102,5312,3,1,0,4
45102,5312,3,210,0,4
