,fips,relevant_naics,YEAR,estab,emp,payann
0,37,114111,2017,3,3,154
2,37,113310,2017,434,2590,108646
4,37,115114,2017,3,0,0
6,37,114112,2017,3,3,47
8,37,115112,2017,6,33,1251
10,37,115210,2017,77,327,8491
12,37,115310,2017,30,117,7943
15,37,212321,2017,6,15,655
17,37,212313,2017,23,277,15987
19,37,212311,2017,3,47,1345
21,37,212319,2017,3,0,0
23,37,221121,2017,26,0,0
24,37,221122,2017,439,2627,271302
26,37,221112,2017,93,0,0
28,37,221111,2017,6,0,0
30,37,221210,2017,19,0,0
32,37,221113,2017,30,0,0
34,37,221320,2017,3,0,0
35,37,221114,2017,5,44,5422
37,37,221310,2017,26,86,3188
39,37,238990,2017,860,5939,256013
41,37,236220,2017,1097,12928,861659
43,37,238310,2017,455,4435,196543
45,37,238210,2017,2520,24945,1180464
47,37,238350,2017,815,3037,119942
49,37,238330,2017,438,2090,93104
51,37,238130,2017,345,940,35659
53,37,238150,2017,151,1283,58976
55,37,237310,2017,296,8056,444322
57,37,236210,2017,44,364,21003
59,37,237210,2017,182,1019,60076
61,37,238140,2017,596,4826,185356
63,37,236117,2017,794,5403,443576
65,37,236116,2017,62,728,58218
67,37,236115,2017,2405,6754,285246
69,37,237120,2017,11,505,52182
71,37,238290,2017,159,3071,206144
73,37,238390,2017,181,1507,62547
75,37,238190,2017,130,895,44800
77,37,237990,2017,97,868,37705
79,37,238320,2017,934,3696,139046
81,37,238220,2017,3452,35611,1688902
83,37,238110,2017,501,5947,280494
85,37,237130,2017,251,5308,311057
87,37,236118,2017,2629,8414,333439
89,37,238160,2017,522,4578,228097
91,37,238170,2017,261,1127,44643
93,37,238910,2017,1190,12935,626915
95,37,238120,2017,84,995,45661
97,37,238340,2017,206,1156,61001
99,37,237110,2017,347,4012,198273
101,37,316998,2017,3,43,1193
103,37,311999,2017,4,7,501
104,37,314999,2017,70,1238,41600
106,37,311611,2017,11,25,597
108,37,312120,2017,114,1571,50963
110,37,313210,2017,11,569,16675
112,37,314110,2017,7,32,964
115,37,311920,2017,10,40,907
117,37,311812,2017,54,1248,42602
119,37,311352,2017,4,0,0
121,37,311821,2017,4,0,0
123,37,314120,2017,55,946,28165
125,37,315210,2017,8,5,215
127,37,312140,2017,12,21,674
129,37,313320,2017,3,81,6240
130,37,313110,2017,40,4280,148369
132,37,311421,2017,3,0,0
134,37,315110,2017,50,3817,107539
136,37,313240,2017,14,1041,44437
138,37,311941,2017,3,14,360
139,37,311612,2017,3,0,0
140,37,313220,2017,6,0,0
142,37,313230,2017,17,1170,53133
144,37,311119,2017,11,153,8081
146,37,311919,2017,4,0,0
148,37,311615,2017,11,3908,140727
150,37,311811,2017,118,817,14396
152,37,311911,2017,3,0,0
154,37,311710,2017,3,19,871
156,37,313310,2017,50,2158,84556
158,37,314910,2017,6,33,1293
160,37,312230,2017,14,1686,48887
162,37,312130,2017,14,82,1634
164,37,315240,2017,5,59,1128
166,37,325520,2017,7,312,22850
168,37,325199,2017,8,408,29644
170,37,322299,2017,5,269,13600
172,37,325998,2017,10,319,19186
174,37,321999,2017,60,1002,34473
176,37,326199,2017,128,10029,450974
178,37,326299,2017,5,273,9288
180,37,324121,2017,7,180,9364
182,37,325414,2017,4,0,0
184,37,327120,2017,6,329,17745
186,37,323111,2017,482,9429,428232
188,37,323113,2017,137,907,27212
190,37,327331,2017,3,52,2050
192,37,327332,2017,3,102,4734
194,37,322211,2017,30,2024,130714
196,37,325991,2017,3,0,0
198,37,321912,2017,26,384,13191
200,37,327991,2017,49,842,36941
202,37,322212,2017,7,728,37913
204,37,327215,2017,11,67,2230
206,37,321211,2017,22,345,9730
209,37,325180,2017,3,0,0
211,37,327390,2017,22,519,23768
213,37,321918,2017,35,352,11070
216,37,325510,2017,14,1029,78284
218,37,322220,2017,20,1351,71223
220,37,325412,2017,28,3061,308023
222,37,325992,2017,7,0,0
224,37,325211,2017,19,1359,79922
226,37,325612,2017,4,381,21226
228,37,326140,2017,6,426,19806
230,37,327110,2017,8,16,312
232,37,325910,2017,9,364,22926
234,37,327320,2017,178,1948,99158
236,37,326220,2017,10,566,32730
238,37,321113,2017,81,1797,74331
240,37,325611,2017,7,0,0
242,37,323120,2017,34,756,32860
244,37,325613,2017,10,291,25611
246,37,325130,2017,3,275,26451
248,37,326212,2017,6,187,7133
250,37,325620,2017,15,11,287
252,37,321214,2017,9,388,12299
254,37,326150,2017,24,1885,70850
256,37,321920,2017,28,791,24838
258,37,321114,2017,3,33,1440
260,37,321911,2017,4,468,16409
262,37,333415,2017,5,301,18923
265,37,335999,2017,10,456,29880
267,37,332999,2017,32,241,9771
269,37,333999,2017,23,749,52198
271,37,339999,2017,70,626,24682
