,fips,relevant_naics,estab,emp,payann
1,37,1141,11,12,412
3,37,1133,432,2580,109705
5,37,1152,70,261,8339
7,37,1151,55,697,28034
9,37,1153,29,126,8176
10,37,1131,3,2,147
12,37,2123,95,1584,116801
14,37,2211,446,17698,1892568
16,37,2212,12,282,20467
18,37,2213,36,375,17530
20,37,2382,6324,66639,3328331
22,37,2383,3295,18120,793369
24,37,2381,3010,24569,1132578
26,37,2373,304,11815,610964
28,37,2372,175,980,62677
30,37,2362,1167,14721,1012512
32,37,2379,104,960,40950
34,37,2389,2144,20609,1024636
36,37,2361,6331,24255,1308924
38,37,2371,699,19082,1139187
40,37,3111,14,418,22980
42,37,3116,54,15860,526353
44,37,3151,54,3675,114691
46,37,3118,238,7591,295473
48,37,3121,256,5923,237864
50,37,3152,26,318,6531
52,37,3115,7,182,8589
54,37,3132,91,6256,274479
56,37,3131,38,5260,193937
58,37,3114,10,314,16429
60,37,3112,3,323,4451
62,37,3119,43,1690,86447
64,37,3169,5,48,1417
66,37,3149,115,2346,93301
68,37,3117,3,19,1147
70,37,3113,18,168,3551
72,37,3133,59,4252,182181
74,37,3141,67,1584,46748
76,37,3122,13,4071,272363
78,37,3251,22,1807,168375
80,37,3273,279,4640,219664
82,37,3271,26,843,38388
84,37,3222,118,9634,549729
86,37,3272,26,886,50816
88,37,3259,45,1853,110476
90,37,3279,67,1287,64035
92,37,3219,317,9776,397907
94,37,3255,29,1481,105716
96,37,3253,3,63,2712
98,37,3241,7,404,14288
100,37,3254,49,9470,904120
102,37,3261,273,22711,1105667
104,37,3231,718,11976,520313
106,37,3252,38,2328,147151
108,37,3262,37,1749,84593
110,37,3211,114,3011,131306
112,37,3256,61,4011,267992
114,37,3212,44,2345,107104
116,37,3364,16,2218,195949
118,37,3331,20,1578,98961
120,37,3323,333,10061,500783
122,37,3324,16,547,31416
124,37,3328,95,1765,67815
126,37,3333,12,1012,68383
128,37,3342,7,239,10458
130,37,3341,8,404,26067
132,37,3322,8,287,13402
