	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
1	28	999	Statewide	11	Forest nurseries and gathering of forest products	28	1132	1.0	1.0
8	28	999	Statewide	21	Coal mining	28	2121	3.8	3.8
28	28	999	Statewide	31	Apparel knitting mills	28	3151	2.0	1.3333333333333333
34	28	999	Statewide	31	Fruit and vegetable preserving and specialty food manufacturing	28	3114	3.0	3.0
38	28	999	Statewide	31	Other leather and allied product manufacturing	28	3169	4.0	1.8
49	28	999	Statewide	32	Lime and gypsum product manufacturing	28	3274	2.0	2.0
67	28	999	Statewide	33	Alumina and aluminum production and processing	28	3313	4.0	3.0
69	28	999	Statewide	33	Audio and video equipment manufacturing	28	3343	1.0	1.0
83	28	999	Statewide	33	Household appliance manufacturing	28	3352	5.4	5.4
87	28	999	Statewide	33	Manufacturing and reproducing magnetic and optical media	28	3346	2.0	1.0
91	28	999	Statewide	33	Motor vehicle manufacturing	28	3361	4.0	3.2
101	28	999	Statewide	33	Other transportation equipment manufacturing	28	3369	4.0	2.0
165	28	999	Statewide	48	Scenic and sightseeing transportation, land	28	4871	2.0	1.0
179	28	999	Statewide	51	Cable and other subscription programming	28	5152	1.0	1.0
186	28	999	Statewide	51	Satellite telecommunications	28	5174	1.0	1.0
195	28	999	Statewide	52	Monetary authorities - central bank	28	5211	1.0	1.0
254	28	999	Statewide	71	Agents and managers for artists, athletes, entertainers, and other public figures	28	7114	4.0	2.8
