,fips,relevant_naics,YEAR,estab,emp,payann
1,16,11,2018,485,3637,149564
3,16,21,2018,89,1391,105841
5,16,22,2018,199,3763,355653
7,16,23,2018,7502,45263,2128642
9,16,42,2018,2085,31753,1915584
11,16,51,2018,773,12601,667229
13,16,52,2018,2869,22584,1363331
15,16,53,2018,2837,8217,324749
17,16,54,2018,4815,33431,2038297
19,16,55,2018,217,7756,611557
21,16,56,2018,2549,32196,1121229
23,16,61,2018,516,15013,334099
25,16,62,2018,5529,100207,4532950
27,16,71,2018,852,10139,193112
29,16,72,2018,3947,68392,1137654
31,16,81,2018,3612,21287,613076
33,16,99,2018,41,29,876
