,relevant_naics,estab,emp,payann,fips
71950,55,19,533,57479,16019
71951,56,149,3809,234551,16019
71952,61,34,404,9428,16019
71953,81,17,41,1066,16035
71954,62,606,9311,387398,16019
71955,56,73,769,19215,16017
71956,61,20,201,5048,16017
71957,62,148,1791,66351,16017
71958,81,344,2232,67731,16027
71959,99,4,1,55,16027
71961,11,8,136,4398,16051
71962,22,4,26,1982,16051
71963,23,141,741,27857,16051
71964,21,3,16,965,16057
71965,22,3,9,549,16057
71966,23,115,442,17233,16057
71967,42,22,322,14781,16057
71968,71,37,720,7273,16019
71969,72,247,5299,84872,16019
71970,81,226,1196,35288,16019
71971,99,3,5,73,16019
71972,71,32,106,2584,16017
71973,72,136,2009,30975,16017
71974,81,128,548,13540,16017
71975,42,31,494,22139,16051
71976,51,20,185,7589,16057
71977,51,5,24,657,16051
71978,52,22,104,5155,16051
71979,53,19,38,1036,16051
71980,54,36,119,4509,16051
71981,55,3,37,2888,16051
71982,56,26,100,2255,16051
71983,61,4,6,119,16051
71984,62,41,307,7953,16051
71985,71,8,35,976,16051
71986,72,30,205,2296,16051
71987,81,24,45,998,16051
71988,52,53,228,10215,16057
71989,53,56,169,4763,16057
71990,54,69,510,19846,16057
71991,56,44,249,6283,16057
71993,11,5,2,508,16059
71994,21,3,13,2148,16059
71995,22,3,11,775,16059
71996,23,42,169,6769,16059
71997,42,23,314,24799,16075
71998,51,3,33,1633,16075
71999,52,42,231,9990,16075
72000,61,23,250,6245,16057
72001,62,94,1513,62837,16057
72002,71,19,111,1473,16057
72003,72,116,1903,25878,16057
72004,81,94,597,14848,16057
72005,53,33,47,1218,16075
72006,54,41,165,8779,16075
72007,55,3,111,9346,16075
72008,56,30,628,11223,16075
72009,61,3,8,210,16075
72010,62,57,872,36752,16075
72011,42,6,46,1918,16059
72012,51,7,44,889,16059
72013,52,8,35,1179,16059
72014,53,14,22,914,16059
72015,54,26,59,1401,16059
72016,56,10,36,963,16059
72017,62,33,539,18302,16059
72018,71,22,44,1711,16059
72019,72,36,335,4561,16059
72020,81,25,80,2468,16059
72021,71,6,20,313,16075
72022,72,30,315,3402,16075
72023,81,47,182,3798,16075
72024,42,6,33,1158,16009
72025,51,5,34,1103,16009
72026,52,12,46,1354,16009
72027,53,7,6,141,16009
72028,54,9,31,836,16009
72029,56,6,17,416,16009
72030,62,13,361,13436,16009
72031,72,24,166,2189,16009
72032,81,23,100,2924,16009
72035,11,3,2,89,16037
72036,23,29,94,4372,16037
72037,21,4,59,4071,16037
72038,22,3,25,1784,16037
72039,51,3,25,1555,16037
72040,52,5,21,551,16037
72041,53,8,8,218,16037
72042,54,5,27,453,16037
72043,56,8,20,414,16037
72044,62,12,88,2233,16037
72045,71,19,39,1876,16037
72046,72,35,142,5091,16037
72048,11,4,3,248,16043
72049,22,6,37,3373,16043
72050,23,65,369,16919,16043
72051,81,11,18,448,16037
72053,11,3,2,175,16039
72054,21,3,7,147,16039
72055,22,5,39,3953,16039
72056,23,43,160,6139,16039
72057,42,17,87,4357,16039
72059,11,5,102,3411,16065
72060,22,8,64,4747,16065
72061,23,121,467,20008,16065
72062,42,14,114,5312,16043
72063,52,8,33,1390,16043
72064,53,21,40,959,16043
72065,54,10,58,1363,16043
72066,56,12,31,1334,16043
72067,62,19,225,8585,16043
72068,71,9,48,1225,16043
72069,72,36,195,4555,16043
72070,81,20,59,2260,16043
72071,42,42,666,30917,16065
72072,51,5,50,2452,16039
72073,52,31,182,7965,16039
72074,53,19,40,1063,16039
72075,54,22,112,4009,16039
72076,56,23,102,3027,16039
72077,61,7,28,1272,16039
72078,62,49,729,29783,16039
72079,71,7,26,274,16039
72080,72,54,681,9723,16039
72081,81,44,139,3192,16039
72083,11,33,91,4932,16049
72084,21,3,24,967,16049
72085,23,84,368,13615,16049
72086,42,15,110,3725,16049
72088,11,5,92,3760,16077
72089,22,3,13,1160,16077
72090,23,17,78,3743,16077
72091,42,15,253,11012,16077
