FIPS,NAICS,Establishments,Employees,Payroll,Population
01000,221111,2,45,1255950,4921532
01000,221112,2,26,837629,4921532
01000,221113,3,1336,47454677,4921532
01000,221121,5,58,1678863,4921532
01000,221122,7,18,540538,4921532
01000,441310,1,2,2328,4921532
01000,445110,4,229,1939859,4921532
01000,451110,1,1,2980,4921532
01000,452210,6,670,4769784,4921532
01000,488111,2,44,1058701,4921532
01000,491110,583,8895,127240594,4921532
01000,519120,2,10,83887,4921532
01000,522292,1,8,115230,4921532
01000,522294,8,68,1228243,4921532
01000,522298,7,10,220087,4921532
01000,524128,2,53,1418092,4921532
01000,541219,4,17,352350,4921532
01000,541330,25,1813,39544546,4921532
01000,541513,2,7,85954,4921532
01000,541612,1,3,39709,4921532
01000,541613,1,1,13265,4921532
01000,541614,1,3,33492,4921532
01000,541850,2,7,85151,4921532
01000,541990,3,77,2022948,4921532
01000,561520,1,1,4014,4921532
01000,561599,2,1,9387,4921532
01000,562111,2,9,75391,4921532
01000,611110,3,258,2860163,4921532
01000,611310,1,18,55192,4921532
01000,611699,3,25,294079,4921532
01000,621111,10,542,11157888,4921532
01000,621493,1,188,3348964,4921532
01000,622110,8,5799,106749767,4921532
01000,624110,4,49,413101,4921532
01000,624190,1,6,68612,4921532
01000,624210,1,7,17646,4921532
01000,624310,2,41,712586,4921532
01000,624410,5,279,1953063,4921532
01000,712190,1,8,141334,4921532
01000,713910,3,60,368109,4921532
01000,713940,3,69,242259,4921532
01000,713950,4,47,249195,4921532
01000,713990,6,107,1026548,4921532
01000,721110,2,12,52719,4921532
01000,721199,2,142,641153,4921532
01000,721211,2,2,16372,4921532
01000,722310,1,4,7935,4921532
01000,722511,4,127,860933,4921532
01000,722515,1,4,8627,4921532
01000,811310,1,457,14170902,4921532
01000,812220,2,22,247962,4921532
01000,813410,1,1,9143,4921532
01000,921130,8,410,9082419,4921532
01000,921190,13,99,2476400,4921532
01000,922110,21,582,13177722,4921532
01000,922120,23,1341,32968533,4921532
01000,922130,10,312,7646848,4921532
01000,922140,4,658,11643047,4921532
01000,922190,19,379,7229227,4921532
01000,923110,1,1,34311,4921532
01000,923120,5,11,245941,4921532
01000,923130,34,2588,44140301,4921532
01000,923140,5,924,18823389,4921532
01000,924110,3,83,2159102,4921532
01000,924120,116,639,10126841,4921532
01000,925110,2,43,1121069,4921532
01000,925120,2,1,16352,4921532
01000,926110,99,268,3311833,4921532
01000,926120,21,638,10956771,4921532
01000,926130,6,51,1678508,4921532
01000,926140,44,531,10299538,4921532
01000,926150,13,140,3338898,4921532
01000,927110,7,2365,67484423,4921532
01000,928110,40,21814,500135828,4921532
01000,928120,2,21,598300,4921532
01000,445310,173,2595,7641756,4921532
01000,488310,1,16,61539,4921532
01000,493190,1,3,23556,4921532
01000,515120,7,37,483628,4921532
01000,518210,1,17,48514,4921532
01000,519120,1,20,35919,4921532
01000,524114,2,8,112214,4921532
01000,611110,4,1286,13055330,4921532
01000,611210,52,7734,79347549,4921532
01000,611310,95,35854,588093309,4921532
01000,611430,3,153,94290,4921532
01000,611512,2,28,88996,4921532
01000,611519,2,102,44336,4921532
01000,621111,6,1275,29496707,4921532
01000,621420,2,28,100804,4921532
01000,621512,1,14,27624,4921532
01000,622110,10,16066,224026523,4921532
01000,622210,3,9,162150,4921532
01000,622310,1,8,39719,4921532
01000,623210,1,10,51721,4921532
01000,623990,1,9,35485,4921532
01000,624110,8,400,205568,4921532
01000,624120,11,137,1542685,4921532
01000,624310,22,669,7543492,4921532
01000,712110,5,100,311810,4921532
01000,712120,7,130,1032860,4921532
01000,721110,1,18,53586,4921532
01000,813311,1,16,63138,4921532
01000,813312,1,17,38213,4921532
01000,813319,1,16,36941,4921532
01000,813920,1,6,51705,4921532
01000,921110,5,25,316700,4921532
01000,921120,6,272,3463022,4921532
01000,921130,9,1920,24770405,4921532
01000,921140,2,26,74630,4921532
01000,921190,8,508,6731205,4921532
01000,922110,80,1707,15882681,4921532
01000,922120,71,1767,21409250,4921532
01000,922130,5,1333,16439444,4921532
01000,922140,46,4094,49425908,4921532
01000,922150,68,781,7809040,4921532
01000,922160,2,30,78912,4921532
01000,922190,2,28,54946,4921532
01000,923110,40,160,863520,4921532
01000,923120,88,3383,36852020,4921532
01000,923130,107,5126,52905182,4921532
01000,923140,1,5,48803,4921532
01000,924110,8,588,7737436,4921532
01000,924120,196,1439,12066781,4921532
01000,925110,1,8,43364,4921532
01000,925120,2,110,79602,4921532
01000,926110,12,96,713736,4921532
01000,926120,50,4356,46686805,4921532
01000,926130,1,9,58338,4921532
01000,926140,58,482,4879452,4921532
01000,926150,57,923,12730106,4921532
01000,928110,8,367,3742719,4921532
01000,221122,33,2243,37668796,4921532
01000,221210,45,946,12462514,4921532
01000,221310,235,3995,49580119,4921532
01000,221320,8,47,683715,4921532
01000,236220,1,19,22168,4921532
01000,237310,2,30,93838,4921532
01000,336413,1,9,49802,4921532
01000,423930,1,14,32082,4921532
01000,423990,1,9,44951,4921532
01000,446110,1,16,33754,4921532
01000,447110,2,8,50642,4921532
01000,453991,1,11,46554,4921532
01000,485113,1,19,47768,4921532
01000,485410,111,555,3130755,4921532
01000,488119,6,84,152952,4921532
01000,493110,2,48,49854,4921532
01000,519120,54,645,4073030,4921532
01000,522130,1,18,62362,4921532
01000,531110,32,256,1917728,4921532
01000,531210,20,432,5298342,4921532
01000,531311,75,830,9475554,4921532
01000,531312,3,12,124830,4921532
01000,531390,2,50,46318,4921532
01000,541214,1,11,51673,4921532
01000,541219,1,13,33743,4921532
01000,541320,1,36,34840,4921532
01000,541330,2,38,69960,4921532
01000,541370,2,32,95198,4921532
01000,541512,4,260,239528,4921532
01000,541513,1,4,21155,4921532
01000,541611,5,10,178645,4921532
01000,541614,1,36,22584,4921532
01000,541620,1,12,33194,4921532
01000,541715,1,3,40934,4921532
01000,541990,1,59,27783,4921532
01000,561210,44,418,5316578,4921532
01000,561612,2,16,114932,4921532
01000,561720,1,15,25138,4921532
01000,561790,11,220,657580,4921532
01000,561990,3,33,169413,4921532
01000,562111,1,19,28847,4921532
01000,562212,5,55,670329,4921532
01000,562213,1,44,48594,4921532
01000,562219,1,3,30975,4921532
01000,611110,1908,94631,1051557342,4921532
01000,611519,1,16,60553,4921532
01000,611699,4,60,137004,4921532
01000,611710,3,42,160851,4921532
01000,621111,14,184,2898030,4921532
01000,621330,2,12,126648,4921532
01000,621340,1,6,61060,4921532
01000,621399,1,17,59710,4921532
01000,621420,29,174,845814,4921532
01000,621498,2,34,104236,4921532
01000,621512,2,96,116756,4921532
01000,621610,7,168,1928741,4921532
01000,621910,8,128,256592,4921532
01000,621999,1,3,29956,4921532
01000,622110,35,28776,380006068,4921532
01000,622210,1,43,56557,4921532
01000,622310,1,63,28087,4921532
01000,623110,8,894,7187938,4921532
01000,623210,20,99,704859,4921532
01000,623220,35,220,1663068,4921532
01000,623311,1,24,43350,4921532
01000,623990,3,42,99834,4921532
01000,624120,27,765,5976036,4921532
01000,624190,14,255,2195675,4921532
01000,624229,3,54,77961,4921532
01000,624310,5,165,993042,4921532
01000,624410,8,424,429336,4921532
01000,711130,1,7,28375,4921532
01000,711211,1,15,32074,4921532
01000,711310,2,36,53000,4921532
01000,712110,4,60,178816,4921532
01000,712190,2,32,85098,4921532
01000,713110,1,14,23874,4921532
01000,713290,4,2066,23190032,4921532
01000,713910,2,4,106972,4921532
01000,713940,7,201,1255779,4921532
01000,713990,14,339,1394965,4921532
01000,721211,1,19,60114,4921532
01000,722514,143,2288,6900179,4921532
01000,811111,16,190,2627920,4921532
01000,811310,4,49,493616,4921532
01000,812331,1,9,64468,4921532
01000,813211,1,15,58906,4921532
01000,813311,1,12,34611,4921532
01000,813410,2,32,124634,4921532
01000,813910,5,20,316004,4921532
01000,921110,25,440,4382227,4921532
01000,921120,8,329,2790464,4921532
01000,921130,5,35,215430,4921532
01000,921140,447,54303,577723511,4921532
01000,921150,4,72,170080,4921532
01000,921190,22,428,4716357,4921532
01000,922110,3,19,224739,4921532
01000,922120,15,783,10680312,4921532
01000,922130,1,4,26259,4921532
01000,922140,3,48,443069,4921532
01000,922150,4,92,204904,4921532
01000,922160,18,589,5645655,4921532
01000,922190,26,340,3376746,4921532
01000,923110,1,15,23774,4921532
01000,923120,2,108,61748,4921532
01000,923130,1,14,28641,4921532
01000,924110,5,58,728580,4921532
01000,924120,5,8,38428,4921532
01000,925110,3,13,111609,4921532
01000,925120,21,964,8881586,4921532
01000,926110,12,54,754603,4921532
01000,926120,3,33,189927,4921532
01000,926130,2,10,46938,4921532
01000,926140,1,35,63985,4921532
01000,926150,5,15,171268,4921532
01000,928110,2,10,56338,4921532
01000,111110,6,66,342972,4921532
01000,111120,1,13,42562,4921532
01000,111150,17,61,555914,4921532
01000,111191,6,30,332808,4921532
01000,111199,1,20,24914,4921532
01000,111211,7,18,105114,4921532
01000,111219,25,367,3782541,4921532
01000,111334,3,13,97781,4921532
01000,111335,6,372,371706,4921532
01000,111336,1,20,30422,4921532
01000,111339,4,18,117824,4921532
01000,111411,1,22,63463,4921532
01000,111419,4,200,243812,4921532
01000,111421,99,1346,12439788,4921532
01000,111422,16,335,2421759,4921532
01000,111920,83,420,3522720,4921532
01000,111940,7,18,109060,4921532
01000,111991,1,52,38478,4921532
01000,111992,31,159,1257800,4921532
01000,111998,14,266,723366,4921532
01000,112111,78,263,2162451,4921532
01000,112112,3,6,44161,4921532
01000,112120,10,42,270091,4921532
01000,112210,3,27,102666,4921532
01000,112310,12,168,1555153,4921532
01000,112320,35,433,3555793,4921532
01000,112340,28,873,13097341,4921532
01000,112390,6,23,195194,4921532
01000,112410,1,10,45104,4921532
01000,112420,1,30,42519,4921532
01000,112511,29,152,1557128,4921532
01000,112512,4,14,104862,4921532
01000,112519,3,13,73001,4921532
01000,112910,1,2,60338,4921532
01000,112920,3,186,188667,4921532
01000,112990,11,83,822113,4921532
01000,113110,69,265,3112416,4921532
01000,113210,13,72,1173538,4921532
01000,113310,530,3679,41375382,4921532
01000,114111,5,100,185875,4921532
01000,114112,12,17,182160,4921532
01000,114119,2,6,114790,4921532
01000,114210,7,23,130030,4921532
01000,115111,27,237,3101067,4921532
01000,115112,24,61,462882,4921532
01000,115113,2,22,77388,4921532
01000,115114,15,389,4298828,4921532
01000,115115,6,81,801055,4921532
01000,115116,3,21,80598,4921532
01000,115210,70,937,8795776,4921532
01000,115310,155,848,13076984,4921532
01000,211120,18,182,5939797,4921532
01000,211130,8,109,5860563,4921532
01000,212111,22,439,7467877,4921532
01000,212112,26,1903,52492139,4921532
01000,212210,1,18,55605,4921532
01000,212291,1,31,49588,4921532
