Fips,Naics,Establishments,Employees,Payroll,Population
01000,1021,616,11324,186781903,4921532
01000,1022,2,10,83887,4921532
01000,1023,18,139,2981652,4921532
01000,1024,44,1939,42266207,4921532
01000,1025,39,7194,127575869,4921532
01000,1026,29,582,3615184,4921532
01000,1027,4,480,14428007,4921532
01000,1028,498,33899,758695601,4921532
01000,2211,19,1483,51767657,4921532
01000,4413,1,2,2328,4921532
01000,4451,4,229,1939859,4921532
01000,4511,1,1,2980,4921532
01000,4522,6,670,4769784,4921532
01000,4881,2,44,1058701,4921532
01000,4911,583,8895,127240594,4921532
01000,5191,2,10,83887,4921532
01000,5222,16,86,1563560,4921532
01000,5241,2,53,1418092,4921532
01000,5412,4,17,352350,4921532
01000,5413,25,1813,39544546,4921532
01000,5415,2,7,85954,4921532
01000,5416,3,7,86466,4921532
01000,5418,2,7,85151,4921532
01000,5419,3,77,2022948,4921532
01000,5615,3,2,13401,4921532
01000,5621,2,9,75391,4921532
01000,6111,3,258,2860163,4921532
01000,6113,1,17,31408,4921532
01000,6116,3,25,294079,4921532
01000,6211,10,542,11157888,4921532
01000,6214,1,188,3348964,4921532
01000,6221,8,5799,106749767,4921532
01000,6241,5,55,481713,4921532
01000,6242,1,7,17646,4921532
01000,6243,2,41,712586,4921532
01000,6244,5,279,1953063,4921532
01000,7121,1,8,141334,4921532
01000,7139,16,283,1886111,4921532
01000,7211,4,154,693872,4921532
01000,7212,2,2,16372,4921532
01000,7223,1,4,7935,4921532
01000,7225,5,131,869560,4921532
01000,8113,1,457,14170902,4921532
01000,8122,2,22,247962,4921532
01000,8134,1,1,9143,4921532
01000,9211,21,509,11558819,4921532
01000,9221,77,3272,72665377,4921532
01000,9231,45,3524,63243942,4921532
01000,9241,119,722,12285943,4921532
01000,9251,4,44,1137421,4921532
01000,9261,183,1628,29585548,4921532
01000,9271,7,2365,67484423,4921532
01000,9281,42,21835,500734128,4921532
01000,1021,175,1073,11086517,4921532
01000,1022,9,82,1128500,4921532
01000,1023,2,94,87222,4921532
01000,1025,224,65023,966941575,4921532
01000,1026,13,251,1966593,4921532
01000,1027,4,56,143728,4921532
01000,1028,933,30689,346527021,4921532
01000,4453,173,2768,7080025,4921532
01000,4883,1,5,58752,4921532
01000,4931,1,20,54085,4921532
01000,5151,7,37,483628,4921532
01000,5182,1,9,31297,4921532
01000,5191,1,2,21599,4921532
01000,5241,2,32,64978,4921532
01000,6111,4,1286,13055330,4921532
01000,6112,52,7734,79347549,4921532
01000,6113,95,35854,588093309,4921532
01000,6114,3,51,63681,4921532
01000,6115,4,48,223920,4921532
01000,6211,6,1275,29496707,4921532
01000,6214,2,38,79560,4921532
01000,6215,1,19,55845,4921532
01000,6221,10,16066,224026523,4921532
01000,6222,3,54,85782,4921532
01000,6223,1,14,55933,4921532
01000,6232,1,2,21743,4921532
01000,6239,1,13,31316,4921532
01000,6241,19,950,434929,4921532
01000,6243,22,669,7543492,4921532
01000,7121,12,228,340536,4921532
01000,7211,1,10,59303,4921532
01000,8133,3,45,113055,4921532
01000,8139,1,2,58952,4921532
01000,9211,30,2830,37124319,4921532
01000,9221,274,9714,111235992,4921532
01000,9231,236,9592,105343652,4921532
01000,9241,204,2027,19804217,4921532
01000,9251,3,108,1385846,4921532
01000,9261,178,6051,67890276,4921532
01000,9281,8,367,3742719,4921532
01000,1012,3,54,107208,4921532
01000,1013,1,11,52997,4921532
01000,1021,447,12162,134190103,4921532
01000,1022,54,645,4073030,4921532
01000,1023,133,1683,19510198,4921532
01000,1024,90,1003,13868781,4921532
01000,1025,2144,128945,1483953632,4921532
01000,1026,182,3987,35989158,4921532
01000,1027,30,410,5329155,4921532
01000,1028,644,59960,638688045,4921532
01000,2211,33,2243,37668796,4921532
01000,2212,45,946,12462514,4921532
01000,2213,243,4042,50263834,4921532
01000,2362,1,5,50117,4921532
01000,2373,2,4,107512,4921532
01000,3364,1,3,57991,4921532
01000,4239,2,16,41022,4921532
01000,4461,1,20,47450,4921532
01000,4471,2,102,55026,4921532
01000,4539,1,15,56140,4921532
01000,4851,1,6,36436,4921532
01000,4854,111,888,5370624,4921532
01000,4881,6,48,276558,4921532
01000,4931,2,4,44782,4921532
01000,5191,54,645,4073030,4921532
01000,5221,1,43,56524,4921532
01000,5311,32,320,2009056,4921532
01000,5312,20,432,5298342,4921532
01000,5313,80,872,9922437,4921532
01000,5412,2,16,117198,4921532
01000,5413,5,83,1654295,4921532
01000,5415,5,61,556487,4921532
01000,5416,7,12,246923,4921532
01000,5417,1,31,64460,4921532
01000,5419,1,9,44105,4921532
01000,5612,44,418,5316578,4921532
01000,5616,2,18,75538,4921532
01000,5617,12,164,1497378,4921532
01000,5619,3,21,119574,4921532
01000,5621,1,33,58703,4921532
01000,5622,7,77,395262,4921532
01000,6111,1908,94631,1051557342,4921532
01000,6115,1,5,50683,4921532
01000,6116,4,60,218480,4921532
01000,6117,3,18,184848,4921532
01000,6211,14,184,2898030,4921532
01000,6213,4,48,117584,4921532
01000,6214,31,1553,17404111,4921532
01000,6215,2,16,77328,4921532
01000,6216,7,168,1928741,4921532
01000,6219,9,326,2600431,4921532
01000,6221,35,28776,380006068,4921532
01000,6222,1,46,27553,4921532
01000,6223,1,10,51990,4921532
01000,6231,8,894,7187938,4921532
01000,6232,55,319,2367927,4921532
01000,6233,1,43,55802,4921532
01000,6239,3,45,117855,4921532
01000,6241,41,1020,8171711,4921532
01000,6242,3,96,79614,4921532
01000,6243,5,165,993042,4921532
01000,6244,8,152,342808,4921532
01000,7111,1,17,29204,4921532
01000,7112,1,5,32813,4921532
01000,7113,2,34,81478,4921532
01000,7121,6,140,1648130,4921532
01000,7131,1,8,62371,4921532
01000,7132,4,2066,23190032,4921532
01000,7139,23,621,656995,4921532
01000,7212,1,14,61493,4921532
01000,7225,143,1001,7637630,4921532
01000,8111,16,190,2627920,4921532
01000,8113,4,49,493616,4921532
01000,8123,1,37,47911,4921532
01000,8132,1,7,36495,4921532
01000,8133,1,8,43462,4921532
01000,8134,2,16,68006,4921532
01000,8139,5,20,316004,4921532
01000,9211,511,56344,600505695,4921532
01000,9221,70,1820,20810851,4921532
01000,9231,4,32,107076,4921532
01000,9241,10,66,767008,4921532
01000,9251,24,977,8993195,4921532
01000,9261,23,131,1423355,4921532
01000,9281,2,12,89606,4921532
01000,1011,1844,17128,243438139,4921532
01000,1012,10676,92959,1290502082,4921532
01000,1013,5896,263135,3884044505,4921532
01000,1021,32893,376722,4469893958,4921532
01000,1022,2890,19123,355785389,4921532
01000,1023,14232,94899,2041078130,4921532
01000,1024,23868,249082,3743635326,4921532
01000,1025,16562,226626,2730818401,4921532
01000,1026,11424,180440,827064501,4921532
01000,1027,9230,42480,434893298,4921532
01000,1111,31,90,784951,4921532
01000,1112,32,385,3887655,4921532
01000,1113,14,40,252072,4921532
01000,1114,120,1697,14949359,4921532
01000,1119,136,697,5785597,4921532
01000,1121,91,311,2476703,4921532
01000,1122,3,165,143661,4921532
01000,1123,81,1497,18403481,4921532
01000,1124,2,4,69818,4921532
01000,1125,36,179,1734991,4921532
01000,1129,15,88,850807,4921532
01000,1131,69,265,3112416,4921532
01000,1132,13,72,1173538,4921532
01000,1133,530,3679,41375382,4921532
01000,1141,19,35,351959,4921532
01000,1142,7,23,130030,4921532
01000,1151,77,792,8807430,4921532
01000,1152,70,937,8795776,4921532
01000,1153,155,848,13076984,4921532
01000,2111,26,291,11800360,4921532
01000,2121,48,2342,59960016,4921532
01000,2122,6,99,1281036,4921532
01000,2123,127,1931,30991425,4921532
01000,2131,136,819,13332889,4921532
01000,2211,251,10913,531792320,4921532
01000,2212,53,1339,25893951,4921532
01000,2213,114,779,9705804,4921532
01000,2361,1855,7359,101422511,4921532
01000,2362,1186,13445,235341701,4921532
01000,2371,570,8557,160748875,4921532
01000,2372,128,549,10542920,4921532
01000,2373,209,5969,74001817,4921532
01000,2379,205,2112,30326479,4921532
01000,2381,1206,7838,88398467,4921532
01000,2382,3235,32156,419808729,4921532
01000,2383,1089,5871,65082596,4921532
01000,2389,993,9103,104827987,4921532
01000,3111,42,1494,19545345,4921532
01000,3112,9,688,12298532,4921532
01000,3113,12,213,1122177,4921532
01000,3114,13,483,4156970,4921532
01000,3115,14,895,10716057,4921532
01000,3116,92,22325,201905822,4921532
01000,3117,29,881,7396659,4921532
01000,3118,145,1946,16798090,4921532
01000,3119,58,1900,22296695,4921532
01000,3121,81,162,3572181,4921532
01000,3122,3,105,178656,4921532
01000,3131,9,2350,24113301,4921532
01000,3132,19,2527,30658858,4921532
01000,3133,4,76,440456,4921532
01000,3141,26,2031,17144288,4921532
01000,3149,77,1672,16226763,4921532
01000,3151,19,1326,8956434,4921532
01000,3152,35,1035,6877179,4921532
01000,3159,6,24,135552,4921532
01000,3161,1,13,43082,4921532
01000,3162,2,4,103426,4921532
01000,3169,8,26,165148,4921532
01000,3211,142,6318,82057888,4921532
01000,3212,53,3244,46859205,4921532
01000,3219,206,9009,94626538,4921532
01000,3221,30,7183,172114037,4921532
01000,3222,67,3867,55908996,4921532
01000,3231,421,3067,30505590,4921532
01000,3241,58,2199,52446554,4921532
01000,3251,83,3061,82305286,4921532
01000,3252,37,3684,84206487,4921532
01000,3253,27,1134,26275235,4921532
01000,3254,71,1281,26555313,4921532
01000,3255,32,896,17558919,4921532
01000,3256,35,439,4357678,4921532
01000,3259,40,428,7255056,4921532
01000,3261,181,14322,169786738,4921532
01000,3262,50,3710,48686603,4921532
01000,3271,35,901,12002871,4921532
01000,3272,18,1155,17332347,4921532
01000,3273,228,3212,47319021,4921532
01000,3274,11,673,14719947,4921532
01000,3279,93,1317,18127709,4921532
01000,3311,27,4797,119128760,4921532
01000,3312,33,3438,71920788,4921532
01000,3313,18,1919,34199175,4921532
01000,3314,13,1680,25199597,4921532
01000,3315,54,4971,98500190,4921532
01000,3321,22,678,8185583,4921532
01000,3322,10,229,2824817,4921532
01000,3323,467,10845,138242855,4921532
01000,3324,49,1064,16138197,4921532
01000,3325,8,520,6738557,4921532
01000,3326,15,477,6993255,4921532
01000,3327,383,6245,82490890,4921532
01000,3328,85,1449,18110114,4921532
01000,3329,101,4224,66957188,4921532
01000,3331,57,1992,32494992,4921532
01000,3332,51,690,10280270,4921532
01000,3333,41,819,11868623,4921532
01000,3334,44,1818,24166027,4921532
01000,3335,63,642,7849056,4921532
01000,3336,27,1183,16879300,4921532
01000,3339,138,2650,41527123,4921532
01000,3341,27,1860,26241827,4921532
01000,3342,38,1576,39625279,4921532
01000,3343,4,4,80445,4921532
01000,3344,58,1689,26943086,4921532
01000,3345,105,2308,43676168,4921532
01000,3346,15,349,3987875,4921532
01000,3351,11,126,1322191,4921532
01000,3352,7,2689,37145727,4921532
01000,3353,49,1481,22213288,4921532
01000,3359,38,1441,21656893,4921532
01000,3361,31,15864,284704450,4921532
01000,3362,57,4347,52980143,4921532
01000,3363,204,24374,297343763,4921532
01000,3364,89,12980,308911930,4921532
01000,3365,11,406,8329872,4921532
01000,3366,51,4318,66184263,4921532
01000,3369,15,2633,42463614,4921532
01000,3371,321,6908,68094560,4921532
01000,3372,37,2413,26481861,4921532
01000,3379,11,241,2536726,4921532
01000,3391,150,3367,41156247,4921532
01000,3399,239,4141,45689965,4921532
01000,4231,352,4524,59726297,4921532
01000,4232,74,546,9697367,4921532
01000,4233,228,2810,50702290,4921532
01000,4234,328,3504,83620707,4921532
01000,4235,151,2823,52859030,4921532
01000,4236,270,3043,61769405,4921532
01000,4237,309,3137,52188715,4921532
01000,4238,828,9642,167346670,4921532
01000,4239,393,4686,64087016,4921532
01000,4241,92,1142,18672181,4921532
01000,4242,106,1143,27491438,4921532
01000,4243,36,492,5487948,4921532
01000,4244,326,9470,128569303,4921532
01000,4245,44,436,2608185,4921532
01000,4246,122,1267,24537994,4921532
01000,4247,141,1572,22669649,4921532
01000,4248,51,2503,34746846,4921532
01000,4249,262,3317,33790351,4921532
01000,4251,5709,16840,434781960,4921532
01000,4411,905,18013,280231565,4921532
01000,4412,235,2843,39102557,4921532
01000,4413,1317,10907,90581269,4921532
01000,4421,499,3751,36460564,4921532
01000,4422,333,2695,20321173,4921532
01000,4431,677,5046,62313473,4921532
01000,4441,928,19741,181872178,4921532
01000,4442,364,3054,22521118,4921532
01000,4451,828,30908,175256329,4921532
01000,4452,242,1715,10677232,4921532
01000,4453,233,955,5141253,4921532
01000,4461,2002,15455,142170705,4921532
01000,4471,3451,18580,102301351,4921532
01000,4481,1316,9596,42867606,4921532
01000,4482,197,2188,8940967,4921532
01000,4483,228,1202,11508483,4921532
01000,4511,606,6724,35030956,4921532
01000,4512,104,797,3530819,4921532
01000,4522,171,12670,81634667,4921532
01000,4523,1571,44300,315128403,4921532
01000,4531,209,837,4081298,4921532
01000,4532,395,2823,20516386,4921532
01000,4533,340,3494,15792724,4921532
01000,4539,662,3334,29536621,4921532
01000,4541,342,1694,17592435,4921532
01000,4542,65,467,4021349,4921532
01000,4543,318,1307,15160359,4921532
01000,4811,23,334,3371335,4921532
01000,4812,40,145,3527560,4921532
01000,4831,10,26,671503,4921532
01000,4832,19,387,7888577,4921532
01000,4841,1305,16876,227341652,4921532
01000,4842,1189,9347,114946632,4921532
01000,4851,9,418,3734706,4921532
01000,4852,8,58,502553,4921532
01000,4853,30,103,789268,4921532
01000,4854,16,393,1949365,4921532
01000,4855,35,228,1393535,4921532
01000,4859,49,441,2868241,4921532
01000,4861,3,33,148896,4921532
01000,4862,43,478,16327536,4921532
01000,4869,6,24,379446,4921532
01000,4871,4,104,172120,4921532
01000,4872,42,79,821527,4921532
01000,4879,2,6,58806,4921532
01000,4881,155,3189,54318116,4921532
01000,4882,61,926,10030795,4921532
01000,4883,64,1113,16350438,4921532
01000,4884,211,1656,16670956,4921532
01000,4885,257,1329,23686917,4921532
01000,4889,17,415,3781022,4921532
01000,4911,8,66,728869,4921532
01000,4921,196,10151,95364078,4921532
01000,4922,55,444,3381424,4921532
01000,4931,258,16998,179878015,4921532
01000,5111,281,2391,33672694,4921532
01000,5112,803,2802,67720162,4921532
01000,5121,184,933,7262305,4921532
01000,5122,27,37,416755,4921532
01000,5151,187,2656,37933388,4921532
01000,5152,22,174,2484497,4921532
01000,5173,386,6508,129453579,4921532
01000,5174,16,19,383245,4921532
01000,5179,94,670,15441243,4921532
01000,5182,691,2224,46020377,4921532
01000,5191,199,709,14997144,4921532
01000,5211,4,28,824257,4921532
01000,5221,2065,30688,681440016,4921532
01000,5222,1841,7728,162665757,4921532
01000,5223,253,1197,29454389,4921532
01000,5231,414,2125,150683442,4921532
01000,5239,695,2204,75061589,4921532
01000,5241,432,11754,309220793,4921532
01000,5242,2911,15612,336265517,4921532
01000,5251,9,17,320392,4921532
01000,5259,68,80,1815338,4921532
01000,5311,1835,6926,91913418,4921532
01000,5312,1432,3462,47058073,4921532
01000,5313,1304,6463,71305220,4921532
01000,5321,267,2390,26538291,4921532
01000,5322,365,1881,17868530,4921532
01000,5323,53,393,4763701,4921532
01000,5324,232,1813,31430146,4921532
01000,5331,52,138,2449261,4921532
01000,5411,2774,12917,235496968,4921532
01000,5412,2091,11357,152379057,4921532
01000,5413,2360,28004,678965754,4921532
01000,5414,287,816,9462180,4921532
01000,5415,2779,25755,617717456,4921532
01000,5416,3009,12955,243768819,4921532
01000,5417,448,8866,237957349,4921532
01000,5418,473,2859,42924367,4921532
01000,5419,1053,7860,71695556,4921532
01000,5511,975,15668,463409171,4921532
01000,5611,234,2483,39232642,4921532
01000,5612,217,3976,49624095,4921532
01000,5613,2223,55410,414791146,4921532
01000,5614,548,11473,98719583,4921532
01000,5615,152,547,8830788,4921532
01000,5616,586,11208,81021174,4921532
01000,5617,2947,26888,187795106,4921532
01000,5619,234,4133,25704237,4921532
01000,5621,164,2285,33370231,4921532
01000,5622,104,1538,22476602,4921532
01000,5629,210,2084,28293045,4921532
01000,6111,138,6202,51288304,4921532
01000,6112,15,227,2411007,4921532
01000,6113,133,6240,71500008,4921532
01000,6114,138,520,9997597,4921532
01000,6115,149,1218,20059817,4921532
01000,6116,511,2720,13299832,4921532
01000,6117,138,879,12119901,4921532
01000,6211,3237,39806,744069189,4921532
01000,6212,1508,12141,146699220,4921532
01000,6213,2135,13859,152793886,4921532
01000,6214,538,11234,207254647,4921532
01000,6215,528,3711,49935973,4921532
01000,6216,481,11593,142261794,4921532
01000,6219,380,5510,61289868,4921532
01000,6221,104,41099,539070317,4921532
01000,6222,62,2041,19003565,4921532
01000,6223,23,2052,28849683,4921532
01000,6231,244,22815,196881629,4921532
01000,6232,406,6634,45802321,4921532
01000,6233,253,7385,48498839,4921532
01000,6239,77,1695,12214234,4921532
01000,6241,4230,14697,85170982,4921532
01000,6242,119,1447,13000605,4921532
01000,6243,94,1615,10235517,4921532
01000,6244,921,9286,47109666,4921532
01000,7111,82,423,3193064,4921532
01000,7112,58,631,4842292,4921532
01000,7113,60,369,3938245,4921532
01000,7114,16,29,427395,4921532
01000,7115,88,132,1313576,4921532
01000,7121,49,874,6304571,4921532
01000,7131,58,954,3328393,4921532
01000,7132,17,427,3006520,4921532
01000,7139,950,13142,59161090,4921532
01000,7211,1016,13085,68320894,4921532
01000,7212,96,515,3214557,4921532
01000,7213,36,84,600344,4921532
01000,7223,467,6378,34605728,4921532
01000,7224,297,2141,11203098,4921532
01000,7225,8134,141256,623604734,4921532
01000,8111,2248,11552,115543065,4921532
01000,8112,242,1916,38170168,4921532
01000,8113,658,5295,79100955,4921532
01000,8114,240,780,6996442,4921532
01000,8121,1328,5479,35299852,4921532
01000,8122,366,2406,22497484,4921532
01000,8123,339,3655,29141134,4921532
01000,8129,453,2160,16165594,4921532
01000,8131,56,395,3464329,4921532
01000,8132,147,923,11505053,4921532
01000,8133,256,1840,16163068,4921532
01000,8134,157,1225,9068687,4921532
01000,8139,732,3019,40889912,4921532
01000,8141,2008,1835,10887555,4921532
02000,1021,222,2367,36728956,731158
02000,1022,1,6,57352,731158
02000,1023,4,27,615443,731158
02000,1024,30,706,17335151,731158
02000,1025,16,785,12023495,731158
02000,1026,52,969,14153485,731158
