Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
07726,541910,3,1,0,6
07726,541940,8,1,0,6
07726,541940,3,230,0,6
07726,541990,3,1,0,6
07726,561110,6,1,0,6
07726,561110,3,210,0,6
07726,561320,4,1,0,6
07726,561421,3,1,0,6
07726,561510,3,1,0,6
07726,115210,3,1,0,6
07726,115210,3,210,0,6
07726,236115,7,1,0,6
07726,236115,6,210,0,6
07726,236118,21,1,0,6
07726,236118,16,210,0,6
07726,236118,3,230,0,6
07726,236220,7,1,0,6
07726,236220,5,210,0,6
07726,561621,6,1,0,6
07726,561621,3,230,0,6
07726,561720,6,1,0,6
07726,561720,5,210,0,6
07726,561730,33,1,0,6
07726,561730,26,210,0,6
07726,561730,3,230,0,6
07726,611610,3,1,0,6
07726,238110,3,1,0,6
07726,238140,3,1,0,6
07726,238140,3,210,0,6
07726,238150,3,1,0,6
07726,238210,13,1,0,6
07726,238210,7,210,0,6
07726,238220,28,1,0,6
07726,238220,23,210,0,6
07726,238310,4,1,0,6
07726,238310,3,210,0,6
07726,238320,9,1,0,6
07726,238320,8,210,0,6
07726,621111,51,1,0,6
07726,621111,31,210,0,6
07726,621111,11,220,0,6
07726,621111,5,230,0,6
07726,621111,4,241,0,6
07726,621112,3,1,0,6
07726,621112,3,210,0,6
07726,621210,36,1,0,6
07726,621210,15,210,0,6
07726,621210,13,220,0,6
07726,621210,8,230,0,6
07726,238340,3,1,0,6
07726,238340,3,210,0,6
07726,238350,7,1,0,6
07726,238350,5,210,0,6
07726,238910,8,1,0,6
07726,238910,4,210,0,6
07726,238910,4,220,0,6
07726,238990,5,1,0,6
07726,238990,5,210,0,6
07726,323111,3,1,0,6
07726,323111,3,210,0,6
07726,621310,10,1,0,6
07726,621310,7,210,0,6
07726,621330,4,1,0,6
07726,621340,20,1,0,6
07726,621340,11,210,0,6
07726,621340,4,220,0,6
07726,621340,4,230,0,6
07726,621391,7,1,0,6
07726,621391,6,210,0,6
07726,621399,4,1,0,6
07726,621399,4,210,0,6
07726,621420,3,1,0,6
07726,621493,4,1,0,6
07726,621511,4,1,0,6
07726,623210,3,1,0,6
07726,339116,3,1,0,6
07726,339116,3,210,0,6
07726,423210,3,1,0,6
07726,423430,3,1,0,6
07726,423450,3,1,0,6
07726,423450,3,210,0,6
07726,423610,4,1,0,6
07726,624120,3,1,0,6
07726,624190,3,1,0,6
07726,624410,16,1,0,6
07726,624410,6,210,0,6
07726,624410,5,230,0,6
07726,711219,4,1,0,6
07726,711320,3,1,0,6
07726,423830,6,1,0,6
07726,423830,3,210,0,6
07726,423830,3,220,0,6
07726,423940,6,1,0,6
07726,423940,6,210,0,6
07726,424210,4,1,0,6
07726,424210,3,210,0,6
07726,424490,5,1,0,6
07726,424490,4,210,0,6
07726,424990,3,1,0,6
07726,711510,8,1,0,6
07726,711510,4,210,0,6
07726,713940,17,1,0,6
07726,713940,7,210,0,6
07726,713940,3,220,0,6
07726,713940,5,230,0,6
07726,713990,3,1,0,6
07726,722310,4,1,0,6
07726,424990,3,210,0,6
07726,425120,15,1,0,6
07726,425120,12,210,0,6
07726,441310,3,1,0,6
07726,442110,5,1,0,6
07726,442110,4,210,0,6
07726,442299,7,1,0,6
07726,442299,5,210,0,6
07726,443142,4,1,0,6
07726,722511,53,1,0,6
07726,722511,19,210,0,6
07726,722511,13,220,0,6
07726,722511,6,230,0,6
07726,722511,12,241,0,6
07726,722511,3,242,0,6
07726,722513,34,1,0,6
07726,722513,15,210,0,6
07726,722513,8,220,0,6
07726,722513,5,230,0,6
07726,722513,5,241,0,6
07726,722515,15,1,0,6
07726,722515,6,210,0,6
07726,722515,5,230,0,6
07726,444190,3,1,0,6
07726,444220,6,1,0,6
07726,444220,4,210,0,6
07726,445110,10,1,0,6
07726,445110,3,210,0,6
07726,445120,3,1,0,6
07726,445310,6,1,0,6
07726,811111,14,1,0,6
07726,811111,12,210,0,6
07726,811121,3,1,0,6
07726,811191,3,1,0,6
07726,812111,5,1,0,6
07726,812111,3,210,0,6
07726,812112,33,1,0,6
07726,812112,12,210,0,6
07726,812112,11,220,0,6
07726,812112,6,230,0,6
07726,812112,3,241,0,6
