Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
77904,62131,4,1,0,5
77904,62131,4,210,0,5
77904,62132,8,1,0,5
77904,62132,4,210,0,5
77904,62134,5,1,0,5
77904,62139,5,1,0,5
77904,62139,5,210,0,5
77904,62149,6,1,0,5
77904,62151,3,1,0,5
77904,62151,3,220,0,5
77904,62161,8,1,0,5
77904,62161,3,241,0,5
77904,62231,3,1,0,5
77904,62231,3,251,0,5
77904,62311,5,1,0,5
77904,62331,3,1,0,5
77904,62412,3,1,0,5
77904,62419,3,1,0,5
77904,62441,6,1,0,5
77904,71394,8,1,0,5
77904,71394,7,210,0,5
77904,72111,9,1,0,5
77904,72111,3,210,0,5
77904,72111,5,230,0,5
77904,72241,4,1,0,5
77904,72241,3,230,0,5
77904,72251,70,1,0,5
77904,72251,13,210,0,5
77904,72251,8,220,0,5
77904,72251,19,230,0,5
77904,72251,21,241,0,5
77904,72251,7,242,0,5
77904,21112,4,1,0,5
77904,21112,4,210,0,5
77904,21311,14,1,0,5
77904,21311,9,210,0,5
77904,21311,3,230,0,5
77904,81111,6,1,0,5
77904,81111,4,220,0,5
77904,81112,4,1,0,5
77904,81112,3,210,0,5
77904,81131,5,1,0,5
77904,81131,3,210,0,5
77904,23611,13,1,0,5
77904,23611,9,210,0,5
77904,23611,3,220,0,5
77904,23622,4,1,0,5
77904,23731,3,1,0,5
77904,23821,8,1,0,5
77904,23821,5,210,0,5
77904,23822,8,1,0,5
77904,23822,4,210,0,5
77904,81211,10,1,0,5
77904,81211,5,210,0,5
77904,81211,3,230,0,5
77904,81219,5,1,0,5
77904,81219,4,210,0,5
77904,81311,15,1,0,5
77904,81311,5,210,0,5
77904,81311,5,220,0,5
77904,81311,3,241,0,5
77904,23822,3,230,0,5
77904,23891,4,1,0,5
77904,23891,4,210,0,5
77904,31181,3,1,0,5
77904,33271,3,1,0,5
77904,44111,6,1,0,5
77904,44111,3,241,0,5
77904,44111,3,242,0,5
77904,44112,4,1,0,5
77904,44112,4,210,0,5
77904,44122,3,1,0,5
77904,44131,6,1,0,5
77904,44131,5,220,0,5
77904,44132,5,1,0,5
77904,44211,8,1,0,5
77904,44211,4,210,0,5
77904,44229,5,1,0,5
77904,44229,3,210,0,5
77904,44314,5,1,0,5
77904,44422,3,1,0,5
77904,44512,3,1,0,5
77904,44512,3,210,0,5
77904,44531,3,1,0,5
77904,44611,4,1,0,5
77904,44612,3,1,0,5
77904,44612,3,220,0,5
77904,44613,5,1,0,5
77904,44613,3,220,0,5
77904,44619,3,1,0,5
77904,44711,19,1,0,5
77904,44711,5,210,0,5
77904,44711,9,220,0,5
77904,44711,5,230,0,5
77904,44812,7,1,0,5
77904,44812,4,230,0,5
77904,44813,3,1,0,5
77904,44814,9,1,0,5
77904,44814,3,230,0,5
77904,44814,4,241,0,5
77904,44815,3,1,0,5
77904,44821,7,1,0,5
77904,44821,3,220,0,5
77904,44821,3,230,0,5
77904,44831,7,1,0,5
77904,44831,6,220,0,5
77904,45231,7,1,0,5
77904,45322,4,1,0,5
77904,45322,3,220,0,5
77904,45399,7,1,0,5
77904,45399,5,210,0,5
77904,45439,5,1,0,5
77904,45439,3,230,0,5
77904,48412,3,1,0,5
77904,48412,3,210,0,5
77904,51731,11,1,0,5
77904,51731,6,210,0,5
77904,52211,10,1,0,5
77904,52211,3,220,0,5
77904,52211,6,230,0,5
77904,52213,4,1,0,5
77904,52213,3,220,0,5
77904,52229,7,1,0,5
77904,52229,4,210,0,5
77904,52229,3,220,0,5
77904,52239,3,1,0,5
77904,52312,5,1,0,5
77904,52312,4,210,0,5
77904,52392,5,1,0,5
77904,52392,3,210,0,5
77904,52421,15,1,0,5
77904,52421,13,210,0,5
77904,53111,7,1,0,5
77904,53111,5,210,0,5
77904,53112,7,1,0,5
77904,53112,5,210,0,5
77904,53113,5,1,0,5
77904,53113,5,210,0,5
77904,53121,5,1,0,5
77904,53131,6,1,0,5
77904,53131,3,210,0,5
77904,53131,3,220,0,5
77904,53241,3,1,0,5
77904,54111,9,1,0,5
77904,54111,7,210,0,5
77904,54121,10,1,0,5
77904,54121,4,210,0,5
77904,54121,4,230,0,5
77904,54133,7,1,0,5
77904,54133,6,210,0,5
77904,54161,6,1,0,5
77904,54161,6,210,0,5
77904,54169,6,1,0,5
77904,54169,5,210,0,5
77904,54194,6,1,0,5
77904,55111,5,1,0,5
77904,56111,3,1,0,5
77904,56171,7,1,0,5
77904,56171,5,210,0,5
77904,56172,4,1,0,5
77904,56172,3,210,0,5
77904,56173,13,1,0,5
77904,56173,7,210,0,5
77904,56173,4,220,0,5
77904,56174,4,1,0,5
77904,56174,4,210,0,5
77904,62111,37,1,0,5
77904,62111,18,210,0,5
77904,62111,9,220,0,5
77904,62111,5,230,0,5
77904,62111,4,241,0,5
77904,62121,23,1,0,5
77904,62121,4,210,0,5
77904,62121,13,220,0,5
77904,62121,6,230,0,5
