Naics,Establishments,Employees,Payroll
336112,3,10979,811517
336211,5,149,7411
336212,9,292,10513
336214,8,194,5432
336310,17,3162,175654
336320,12,2958,198885
336330,5,785,43636
336340,6,3062,237306
336350,10,4708,244338
336360,9,1998,96821
336370,9,2416,152600
336390,29,3769,184110
336411,3,6253,534989
336412,11,901,75570
336413,7,369,22158
336510,5,807,56370
336611,7,499,33110
336612,25,2808,125333
336992,6,241,16719
336991,3,90,3254
336999,10,1206,59959
337122,19,125,4385
337124,4,369,18809
337212,24,508,22800
337910,8,601,28465
339113,26,729,36332
337110,82,657,25022
337121,9,132,3709
337127,9,99,3877
337215,12,333,14422
337920,5,223,10826
339112,10,1267,66813
339116,48,295,11874
339910,10,40,1142
339920,16,140,6150
339930,3,42,1824
339940,5,113,5223
339950,102,1281,57906
339991,17,1117,97665
423120,135,2278,134961
423130,52,1079,58734
423140,22,260,8950
423210,67,681,35204
423220,75,1397,71291
339994,3,177,6996
339999,49,568,22601
423330,64,880,61106
423410,8,224,10486
423110,91,1656,70589
423440,53,523,25181
423510,117,1934,110036
423520,5,164,15682
423310,126,2548,124959
423610,243,3578,218683
423320,39,205,11529
423620,14,163,7828
423390,62,892,55803
423710,68,1628,112071
423420,159,1113,62343
423430,69,1762,176509
423730,139,970,68500
423740,31,270,15708
423450,125,2959,214718
423460,9,79,2052
423810,71,1462,102488
423490,21,120,6941
423830,451,4687,322389
423690,100,1534,143135
423910,77,1303,76665
423720,76,739,52226
423940,30,114,5764
423990,126,945,49709
424110,14,170,22517
423820,84,716,34831
424130,45,1378,124620
424210,94,1939,168173
423840,147,2269,162143
423850,64,670,32139
424310,51,637,47049
423860,28,243,15918
424320,37,1045,79282
424410,21,2688,195656
424420,18,1239,69849
423920,23,218,8974
423930,137,2102,92353
424460,15,135,4732
424120,58,485,30234
424330,40,377,15545
424340,7,359,28789
424430,22,218,10412
424440,6,103,3743
424450,38,504,22940
424470,20,135,4552
424710,69,838,40984
424820,32,1381,87237
424910,90,777,36323
424920,12,42,2689
424930,54,371,13985
424480,36,1436,45416
424490,151,4543,191803
424510,15,81,5479
424520,5,25,414
424590,12,28,1416
424610,40,1010,47981
424690,142,1570,110510
424720,37,390,27033
424810,27,1970,101468
424990,104,424,16452
425120,407,2337,124252
424940,29,430,17801
424950,31,289,16542
425110,12,17,774
441110,347,17037,853510
441120,486,2561,101518
441210,43,643,34724
443142,244,2755,70026
441222,100,952,41606
441228,123,1207,46060
441310,650,6309,138032
444130,279,2365,61661
441320,382,3045,119920
444190,410,3907,185694
442110,479,3674,135157
442210,161,1228,55285
444220,213,1814,47007
442291,25,125,4678
442299,227,2315,43944
445110,867,43914,881725
443141,111,826,30352
445220,52,185,3935
444110,105,13984,305134
445230,36,159,3738
444120,118,680,30164
444210,76,510,19384
445120,445,1083,22114
445210,46,319,6718
445291,31,223,4572
445292,30,287,5631
445299,66,299,4198
445310,455,1507,33502
446110,708,11025,416848
446120,332,2310,41692
446130,142,1010,26895
448190,254,2212,40727
446191,130,559,10621
446199,169,791,34609
448210,398,3745,54494
447110,2469,16881,322867
448310,267,1434,40528
447190,140,2472,49120
448110,126,845,24612
451120,124,2062,36764
448120,562,4629,65771
448130,103,931,12019
448140,526,10766,155314
448150,152,968,18051
451212,4,13,215
448320,6,31,618
451110,277,3746,71551
453220,344,1921,33677
451130,59,383,6050
451140,54,316,7840
451211,98,959,15518
453920,73,170,4593
452210,75,7165,114412
453991,127,466,10927
452311,129,29182,814605
452319,1114,9591,155136
453110,166,640,13619
453210,88,864,19113
454390,306,1237,42624
453310,351,3175,56343
481111,27,1009,36556
453910,142,1529,30633
483113,6,40,2036
483212,4,5,325
453930,73,367,24716
453998,354,1594,39732
454110,384,6448,231386
454210,60,807,26122
454310,119,966,44657
481112,5,39,2000
485113,4,486,19748
485119,3,25,559
485210,7,70,2006
481211,14,73,3990
481212,3,22,1981
481219,3,7,296
485410,15,239,6113
484110,413,2485,106434
484121,463,7252,313853
484122,137,4828,282024
484210,97,1309,37709
484220,243,2955,141263
484230,133,2418,138846
485310,36,107,1777
485320,24,189,6510
485510,15,247,6354
485991,51,728,17225
486210,4,38,3607
485999,14,66,1045
486110,6,9,775
486910,8,41,4022
487110,12,252,6359
487990,3,49,1727
488119,21,451,12196
487210,56,264,9457
488111,6,22,2157
488190,41,508,30102
488210,25,756,37491
488310,3,34,2303
488320,9,1814,84486
488330,10,334,22025
488390,12,268,12105
488490,56,672,16885
492110,131,8755,343986
488410,145,717,24650
493190,35,795,50692
488510,236,3476,197995
488991,19,309,7619
511120,56,258,13317
488999,8,23,803
492210,41,620,12784
493110,225,19162,754630
493120,17,303,14982
493130,10,73,4075
511110,90,2061,85256
511130,17,234,15759
511140,9,110,6376
511199,3,3,420
512110,77,499,15282
512290,3,3,135
515120,35,1583,97394
517311,428,13011,790579
511210,115,4342,525989
518210,174,5475,404062
512131,47,1494,17809
512191,8,12,741
512240,11,17,532
515111,5,42,2262
515112,68,813,35771
515210,4,205,27626
522120,28,293,16977
517312,396,8166,355263
517911,16,60,2196
517919,23,154,6561
522220,69,1458,87754
522292,267,2106,208156
522320,43,170,12223
519120,17,432,14731
519130,58,658,37961
519190,20,40,1539
522110,1417,20447,1297403
522130,327,4782,237148
522210,11,32,3483
523999,20,33,2165
522291,820,3812,180935
522298,392,1511,62238
524113,95,3208,310705
524114,73,11844,784008
522310,72,308,22216
524126,122,2847,180615
522390,326,706,25447
523110,26,132,21183
523120,330,3386,458892
523140,3,7,528
523910,47,151,8288
523920,557,1607,191975
523930,211,712,53089
523991,27,107,10984
524127,17,86,9063
524128,9,14,906
524130,12,34,4370
524210,1975,9020,510822
524291,56,159,10254
524292,67,4371,307050
524298,59,215,14588
525990,6,16,401
531110,642,2590,97490
531130,320,705,17784
531210,2406,6343,298793
531311,736,6672,268612
532111,135,1377,37792
532112,6,55,3838
541940,447,5556,206094
531390,332,558,35767
532120,91,933,50781
531120,325,1490,87298
531190,110,254,8010
532289,85,825,23342
531312,198,1190,51557
531320,244,412,19262
532210,130,549,20501
532281,10,33,1187
532282,16,69,950
532283,62,473,19146
532284,65,286,13666
532310,60,234,8891
532411,6,9,185
532412,55,940,69348
532420,5,12,555
532490,128,1200,56781
533110,19,141,8580
541360,5,11,442
541110,2509,13953,1069449
541410,194,617,28141
541420,14,117,6686
541191,101,336,13534
541199,42,77,3327
541211,688,4059,236368
541213,484,2861,29328
541214,86,1602,108311
541219,471,2251,77150
541310,271,1852,154642
541320,73,393,20383
541330,873,20548,1846874
541340,42,140,6331
541350,87,213,8279
541614,129,3592,171749
541618,122,193,10046
541370,170,1133,51904
541380,77,960,54834
541690,227,1136,86303
541430,162,356,13898
541490,26,45,1506
541511,498,3333,266805
541512,485,6411,508817
541513,62,1574,173994
541519,128,1403,130495
541820,89,260,17946
541870,6,82,756
541611,868,8980,588319
541612,110,2770,146340
541613,332,4358,220688
541910,52,251,17866
541620,118,885,58871
541713,37,1534,171358
541714,18,140,12325
541715,69,848,57947
541720,18,49,2353
541810,165,1382,93193
541830,4,9,453
541840,10,49,2793
541850,48,375,22824
541860,24,335,17649
541890,110,988,22073
541921,124,438,8614
541922,43,68,1725
541930,20,127,3550
541990,322,916,44246
551111,4,21,778
551112,65,1073,129516
551114,581,28176,2511492
561440,35,1964,103238
561491,6,27,900
561492,42,131,5194
561110,403,9384,439991
561499,42,223,9645
561520,33,209,8287
561210,77,3621,118379
561591,9,148,8675
561599,44,367,14541
561311,83,3345,82744
561312,76,807,28019
561320,611,61118,1703700
561621,116,1319,67723
561330,39,123486,3908500
561410,30,141,3410
561421,16,1460,28678
561422,49,5881,134158
561431,60,291,6936
561439,49,388,11622
561730,1685,11176,363398
561510,90,378,17825
561790,211,927,32098
561611,53,1269,46903
561612,83,8854,230435
561613,15,326,11658
561622,56,186,7616
562111,181,3249,166390
562112,6,114,6818
562119,18,87,3963
561710,356,3182,125110
561720,1054,19637,367232
562910,67,634,29848
562998,17,103,5002
561740,111,553,19029
561910,14,435,21729
561920,51,197,6568
561990,130,1900,58339
611210,8,554,18553
562211,15,5935,542753
562212,37,324,13459
562219,5,84,5697
611512,13,63,5851
611513,6,53,1488
611519,44,446,12328
562920,21,276,9598
562991,42,266,11873
611620,214,1350,24995
611692,31,199,2327
611110,313,11394,352478
611310,76,14672,399664
611420,14,44,1741
611430,74,297,18684
611511,32,283,8156
611610,152,921,10632
611630,11,76,1466
611691,81,675,11999
611699,53,256,9461
611710,115,384,11761
621111,2317,32051,2701169
621210,1671,12612,677272
621310,575,1888,55934
621420,68,922,38420
721191,29,166,3191
722330,57,85,1573
722410,356,3545,67650
621399,244,1060,46150
621112,139,382,20778
621512,64,621,34269
621320,307,1566,63417
621330,199,528,18299
621340,585,4131,180617
621391,65,337,13987
621410,30,152,5745
621492,174,2535,106659
621493,148,3148,162100
621498,203,2994,159795
621511,120,1216,62850
621610,493,14838,465626
623220,42,1710,54412
621910,85,3227,89745
621991,24,1073,46092
621999,70,663,24264
623311,81,8538,203164
622110,83,76770,4337631
622210,9,2139,91248
623990,91,2113,56975
622310,10,1729,90730
623110,199,20839,664391
623210,328,4725,100749
624190,363,2730,89827
624230,11,66,3786
623312,210,4707,106882
624410,933,12943,239851
624110,214,2587,61013
711130,34,347,6838
624120,394,14205,203824
624210,53,499,13749
624221,55,660,17803
624229,52,583,18262
624310,70,1602,22801
712120,18,426,9204
712130,11,629,15740
711110,47,709,13292
711120,8,76,1348
711211,17,461,10980
711212,7,91,1895
711219,38,212,9702
713930,66,715,19885
711310,60,2234,46800
711320,51,317,11067
711410,24,51,1643
713950,33,527,8871
711510,142,234,8625
713990,289,2318,47584
712110,58,630,13589
712190,10,46,2271
713110,9,121,5983
713120,50,1299,22582
713290,29,290,6818
713910,244,9841,219514
